dep,jour,P,T,cl_age90,pop,taux_incidence_quot,positif_7j,taux_incid_7j
70,2020-05-13,1,101,0,236659,0.42254889947139135,,
70,2020-05-14,5,131,0,236659,2.1127444973569567,,
70,2020-05-15,2,204,0,236659,0.8450977989427827,,
70,2020-05-16,0,103,0,236659,0.0,,
70,2020-05-17,0,26,0,236659,0.0,,
70,2020-05-18,1,211,0,236659,0.42254889947139135,,
70,2020-05-19,1,252,0,236659,0.42254889947139135,10.0,4.225488994713913
70,2020-05-20,1,180,0,236659,0.42254889947139135,10.0,4.225488994713913
70,2020-05-21,0,10,0,236659,0.0,5.0,2.1127444973569567
70,2020-05-22,1,163,0,236659,0.42254889947139135,4.0,1.6901955978855654
70,2020-05-23,0,78,0,236659,0.0,4.0,1.6901955978855654
70,2020-05-24,0,6,0,236659,0.0,4.0,1.6901955978855654
70,2020-05-25,0,200,0,236659,0.0,3.0,1.267646698414174
70,2020-05-26,0,199,0,236659,0.0,2.0,0.8450977989427827
70,2020-05-27,1,190,0,236659,0.42254889947139135,2.0,0.8450977989427827
70,2020-05-28,2,176,0,236659,0.8450977989427827,4.0,1.6901955978855654
70,2020-05-29,1,174,0,236659,0.42254889947139135,4.0,1.6901955978855654
70,2020-05-30,1,115,0,236659,0.42254889947139135,5.0,2.1127444973569567
70,2020-05-31,0,22,0,236659,0.0,5.0,2.1127444973569567
70,2020-06-01,0,50,0,236659,0.0,5.0,2.1127444973569567
70,2020-06-02,2,141,0,236659,0.8450977989427827,7.0,2.9578422962997393
70,2020-06-03,3,173,0,236659,1.267646698414174,9.0,3.802940095242522
70,2020-06-04,0,143,0,236659,0.0,7.0,2.9578422962997393
70,2020-06-05,0,135,0,236659,0.0,6.0,2.535293396828348
70,2020-06-06,1,124,0,236659,0.42254889947139135,6.0,2.535293396828348
70,2020-06-07,0,43,0,236659,0.0,6.0,2.535293396828348
70,2020-06-08,0,182,0,236659,0.0,6.0,2.535293396828348
70,2020-06-09,1,171,0,236659,0.42254889947139135,5.0,2.1127444973569567
70,2020-06-10,1,160,0,236659,0.42254889947139135,3.0,1.267646698414174
70,2020-06-11,2,101,0,236659,0.8450977989427827,5.0,2.1127444973569567
70,2020-06-12,1,133,0,236659,0.42254889947139135,6.0,2.535293396828348
70,2020-06-13,0,132,0,236659,0.0,5.0,2.1127444973569567
70,2020-06-14,0,42,0,236659,0.0,5.0,2.1127444973569567
70,2020-06-15,0,144,0,236659,0.0,5.0,2.1127444973569567
70,2020-06-16,0,148,0,236659,0.0,4.0,1.6901955978855654
70,2020-06-17,1,116,0,236659,0.42254889947139135,4.0,1.6901955978855654
70,2020-06-18,0,280,0,236659,0.0,2.0,0.8450977989427827
70,2020-06-19,1,161,0,236659,0.42254889947139135,2.0,0.8450977989427827
70,2020-06-20,0,88,0,236659,0.0,2.0,0.8450977989427827
70,2020-06-21,0,60,0,236659,0.0,2.0,0.8450977989427827
70,2020-06-22,0,168,0,236659,0.0,2.0,0.8450977989427827
70,2020-06-23,0,165,0,236659,0.0,2.0,0.8450977989427827
70,2020-06-24,0,111,0,236659,0.0,1.0,0.42254889947139135
70,2020-06-25,0,99,0,236659,0.0,1.0,0.42254889947139135
70,2020-06-26,0,134,0,236659,0.0,0.0,0.0
70,2020-06-27,0,103,0,236659,0.0,0.0,0.0
70,2020-06-28,0,31,0,236659,0.0,0.0,0.0
70,2020-06-29,0,153,0,236659,0.0,0.0,0.0
70,2020-06-30,0,133,0,236659,0.0,0.0,0.0
70,2020-07-01,0,112,0,236659,0.0,0.0,0.0
70,2020-07-02,0,117,0,236659,0.0,0.0,0.0
70,2020-07-03,0,138,0,236659,0.0,0.0,0.0
70,2020-07-04,0,103,0,236659,0.0,0.0,0.0
70,2020-07-05,1,43,0,236659,0.42254889947139135,1.0,0.42254889947139135
70,2020-07-06,0,134,0,236659,0.0,1.0,0.42254889947139135
70,2020-07-07,1,246,0,236659,0.42254889947139135,2.0,0.8450977989427827
70,2020-07-08,0,237,0,236659,0.0,2.0,0.8450977989427827
70,2020-07-09,0,136,0,236659,0.0,2.0,0.8450977989427827
70,2020-07-10,0,367,0,236659,0.0,2.0,0.8450977989427827
70,2020-07-11,0,90,0,236659,0.0,2.0,0.8450977989427827
70,2020-07-12,1,29,0,236659,0.42254889947139135,2.0,0.8450977989427827
70,2020-07-13,0,157,0,236659,0.0,2.0,0.8450977989427827
70,2020-07-14,0,21,0,236659,0.0,1.0,0.42254889947139135
70,2020-07-15,1,141,0,236659,0.42254889947139135,2.0,0.8450977989427827
70,2020-07-16,0,242,0,236659,0.0,2.0,0.8450977989427827
70,2020-07-17,0,259,0,236659,0.0,2.0,0.8450977989427827
70,2020-07-18,0,125,0,236659,0.0,2.0,0.8450977989427827
70,2020-07-19,0,28,0,236659,0.0,1.0,0.42254889947139135
70,2020-07-20,0,193,0,236659,0.0,1.0,0.42254889947139135
70,2020-07-21,2,241,0,236659,0.8450977989427827,3.0,1.267646698414174
70,2020-07-22,0,238,0,236659,0.0,2.0,0.8450977989427827
70,2020-07-23,0,209,0,236659,0.0,2.0,0.8450977989427827
70,2020-07-24,3,198,0,236659,1.267646698414174,5.0,2.1127444973569567
70,2020-07-25,0,146,0,236659,0.0,5.0,2.1127444973569567
70,2020-07-26,0,28,0,236659,0.0,5.0,2.1127444973569567
70,2020-07-27,1,213,0,236659,0.42254889947139135,6.0,2.535293396828348
70,2020-07-28,0,244,0,236659,0.0,4.0,1.6901955978855654
70,2020-07-29,1,210,0,236659,0.42254889947139135,5.0,2.1127444973569567
70,2020-07-30,2,184,0,236659,0.8450977989427827,7.0,2.9578422962997393
70,2020-07-31,3,226,0,236659,1.267646698414174,7.0,2.9578422962997393
70,2020-08-01,1,105,0,236659,0.42254889947139135,8.0,3.380391195771131
70,2020-08-02,0,63,0,236659,0.0,8.0,3.380391195771131
70,2020-08-03,5,273,0,236659,2.1127444973569567,12.0,5.070586793656696
70,2020-08-04,4,214,0,236659,1.6901955978855654,16.0,6.760782391542262
70,2020-08-05,2,178,0,236659,0.8450977989427827,17.0,7.183331291013652
70,2020-08-06,4,254,0,236659,1.6901955978855654,19.0,8.028429089956436
70,2020-08-07,10,215,0,236659,4.225488994713913,26.0,10.986271386256174
70,2020-08-08,3,148,0,236659,1.267646698414174,28.0,11.831369185198957
70,2020-08-09,0,38,0,236659,0.0,28.0,11.831369185198957
70,2020-08-10,8,284,0,236659,3.380391195771131,31.0,13.09901588361313
70,2020-08-11,6,217,0,236659,2.535293396828348,33.0,13.944113682555912
70,2020-08-12,1,252,0,236659,0.42254889947139135,32.0,13.521564783084523
70,2020-08-13,3,299,0,236659,1.267646698414174,31.0,13.09901588361313
70,2020-08-14,7,371,0,236659,2.9578422962997393,28.0,11.831369185198957
70,2020-08-15,1,61,0,236659,0.42254889947139135,26.0,10.986271386256174
70,2020-08-16,3,36,0,236659,1.267646698414174,29.0,12.253918084670348
70,2020-08-17,10,399,0,236659,4.225488994713913,31.0,13.09901588361313
70,2020-08-18,5,300,0,236659,2.1127444973569567,30.0,12.67646698414174
70,2020-08-19,3,299,0,236659,1.267646698414174,32.0,13.521564783084523
70,2020-08-20,4,428,0,236659,1.6901955978855654,33.0,13.944113682555912
70,2020-08-21,2,377,0,236659,0.8450977989427827,28.0,11.831369185198957
70,2020-08-22,4,211,0,236659,1.6901955978855654,31.0,13.09901588361313
70,2020-08-23,0,42,0,236659,0.0,28.0,11.831369185198957
70,2020-08-24,6,577,0,236659,2.535293396828348,24.0,10.141173587313393
70,2020-08-25,5,459,0,236659,2.1127444973569567,24.0,10.141173587313393
70,2020-08-26,0,316,0,236659,0.0,21.0,8.873526888899217
70,2020-08-27,9,410,0,236659,3.802940095242522,26.0,10.986271386256174
70,2020-08-28,8,705,0,236659,3.380391195771131,32.0,13.521564783084523
70,2020-08-29,9,236,0,236659,3.802940095242522,37.0,15.63430928044148
70,2020-08-30,0,63,0,236659,0.0,37.0,15.63430928044148
70,2020-08-31,10,479,0,236659,4.225488994713913,41.0,17.324504878327044
70,2020-09-01,8,352,0,236659,3.380391195771131,44.0,18.592151576741216
70,2020-09-02,10,432,0,236659,4.225488994713913,54.0,22.817640571455133
70,2020-09-03,4,471,0,236659,1.6901955978855654,49.0,20.704896074098173
70,2020-09-04,10,615,0,236659,4.225488994713913,51.0,21.549993873040957
70,2020-09-05,12,275,0,236659,5.070586793656696,54.0,22.817640571455133
70,2020-09-06,0,36,0,236659,0.0,54.0,22.817640571455133
70,2020-09-07,10,552,0,236659,4.225488994713913,54.0,22.817640571455133
70,2020-09-08,12,544,0,236659,5.070586793656696,58.0,24.507836169340695
70,2020-09-09,8,638,0,236659,3.380391195771131,56.0,23.662738370397914
70,2020-09-10,8,768,0,236659,3.380391195771131,60.0,25.35293396828348
70,2020-09-11,2,637,0,236659,0.8450977989427827,52.0,21.972542772512348
70,2020-09-12,6,406,0,236659,2.535293396828348,46.0,19.437249375684
70,2020-09-13,3,52,0,236659,1.267646698414174,49.0,20.704896074098173
70,2020-09-14,6,686,0,236659,2.535293396828348,45.0,19.01470047621261
70,2020-09-15,9,592,0,236659,3.802940095242522,42.0,17.747053777798435
70,2020-09-16,6,542,0,236659,2.535293396828348,40.0,16.901955978855653
70,2020-09-17,6,469,0,236659,2.535293396828348,38.0,16.056858179912872
70,2020-09-18,13,513,0,236659,5.493135693128087,49.0,20.704896074098173
70,2020-09-19,3,278,0,236659,1.267646698414174,46.0,19.437249375684
70,2020-09-20,0,47,0,236659,0.0,43.0,18.16960267726983
70,2020-09-21,10,487,0,236659,4.225488994713913,47.0,19.85979827515539
70,2020-09-22,10,427,0,236659,4.225488994713913,48.0,20.282347174626786
70,2020-09-23,5,403,0,236659,2.1127444973569567,47.0,19.85979827515539
70,2020-09-24,6,353,0,236659,2.535293396828348,47.0,19.85979827515539
70,2020-09-25,9,405,0,236659,3.802940095242522,43.0,18.16960267726983
70,2020-09-26,9,229,0,236659,3.802940095242522,49.0,20.704896074098173
70,2020-09-27,2,50,0,236659,0.8450977989427827,51.0,21.549993873040957
70,2020-09-28,12,415,0,236659,5.070586793656696,53.0,22.395091671983742
70,2020-09-29,9,367,0,236659,3.802940095242522,52.0,21.972542772512348
70,2020-09-30,12,298,0,236659,5.070586793656696,59.0,24.93038506881209
70,2020-10-01,12,405,0,236659,5.070586793656696,65.0,27.465678465640437
70,2020-10-02,12,425,0,236659,5.070586793656696,68.0,28.73332516405461
70,2020-10-03,10,287,0,236659,4.225488994713913,69.0,29.155874063526003
70,2020-10-04,3,54,0,236659,1.267646698414174,70.0,29.578422962997394
70,2020-10-05,17,388,0,236659,7.183331291013652,75.0,31.69116746035435
70,2020-10-06,17,385,0,236659,7.183331291013652,83.0,35.071558656125475
70,2020-10-07,24,367,0,236659,10.141173587313393,95.0,40.14214544978218
70,2020-10-08,25,416,0,236659,10.563722486784783,108.0,45.635281142910266
70,2020-10-09,15,515,0,236659,6.33823349207087,111.0,46.902927841324434
70,2020-10-10,19,270,0,236659,8.028429089956436,120.0,50.70586793656696
70,2020-10-11,2,38,0,236659,0.8450977989427827,119.0,50.28331903709557
