dep,jour,P,T,cl_age90,pop,taux_incidence_quot,positif_7j,taux_incid_7j
71,2020-05-13,5,483,0,553595,0.903187348151627,,
71,2020-05-14,15,457,0,553595,2.709562044454881,,
71,2020-05-15,9,596,0,553595,1.6257372266729286,,
71,2020-05-16,3,142,0,553595,0.5419124088909762,,
71,2020-05-17,3,66,0,553595,0.5419124088909762,,
71,2020-05-18,15,516,0,553595,2.709562044454881,,
71,2020-05-19,4,473,0,553595,0.7225498785213017,54.0,9.754423360037572
71,2020-05-20,7,616,0,553595,1.264462287412278,56.0,10.115698299298224
71,2020-05-21,0,70,0,553595,0.0,41.0,7.406136254843342
71,2020-05-22,7,452,0,553595,1.264462287412278,39.0,7.044861315582691
71,2020-05-23,3,147,0,553595,0.5419124088909762,39.0,7.044861315582691
71,2020-05-24,0,68,0,553595,0.0,36.0,6.5029489066917145
71,2020-05-25,12,529,0,553595,2.167649635563905,33.0,5.961036497800739
71,2020-05-26,2,460,0,553595,0.36127493926065085,31.0,5.599761558540088
71,2020-05-27,1,324,0,553595,0.18063746963032543,25.0,4.515936740758136
71,2020-05-28,1,320,0,553595,0.18063746963032543,26.0,4.696574210388461
71,2020-05-29,1,373,0,553595,0.18063746963032543,20.0,3.612749392606508
71,2020-05-30,1,98,0,553595,0.18063746963032543,18.0,3.2514744533458573
71,2020-05-31,1,63,0,553595,0.18063746963032543,19.0,3.4321119229761834
71,2020-06-01,1,143,0,553595,0.18063746963032543,8.0,1.4450997570426034
71,2020-06-02,3,345,0,553595,0.5419124088909762,9.0,1.6257372266729286
71,2020-06-03,2,288,0,553595,0.36127493926065085,10.0,1.806374696303254
71,2020-06-04,0,280,0,553595,0.0,9.0,1.6257372266729286
71,2020-06-05,4,314,0,553595,0.7225498785213017,12.0,2.167649635563905
71,2020-06-06,0,148,0,553595,0.0,11.0,1.9870121659335795
71,2020-06-07,0,42,0,553595,0.0,10.0,1.806374696303254
71,2020-06-08,2,330,0,553595,0.36127493926065085,11.0,1.9870121659335795
71,2020-06-09,0,307,0,553595,0.0,8.0,1.4450997570426034
71,2020-06-10,2,313,0,553595,0.36127493926065085,8.0,1.4450997570426034
71,2020-06-11,0,229,0,553595,0.0,8.0,1.4450997570426034
71,2020-06-12,1,334,0,553595,0.18063746963032543,5.0,0.903187348151627
