dep,jour,pop,P,cl_age90,taux_incidence_quot,positif_7j,taux_incid_7j
58,2020-05-13,199596.0,0,0,0.0,,
58,2020-05-14,199596.0,0,0,0.0,,
58,2020-05-15,199596.0,29,0,14.529349285556824,,
58,2020-05-16,199596.0,1,0,0.5010120443295457,,
58,2020-05-17,199596.0,0,0,0.0,,
58,2020-05-18,199596.0,1,0,0.5010120443295457,,
58,2020-05-19,199596.0,0,0,0.0,31.0,15.531373374215915
58,2020-05-20,199596.0,2,0,1.0020240886590914,33.0,16.53339746287501
58,2020-05-21,199596.0,0,0,0.0,33.0,16.53339746287501
58,2020-05-22,199596.0,0,0,0.0,4.0,2.004048177318183
58,2020-05-23,199596.0,2,0,1.0020240886590914,5.0,2.5050602216477285
58,2020-05-24,199596.0,0,0,0.0,5.0,2.5050602216477285
58,2020-05-25,199596.0,1,0,0.5010120443295457,5.0,2.5050602216477285
58,2020-05-26,199596.0,1,0,0.5010120443295457,6.0,3.006072265977274
58,2020-05-27,199596.0,0,0,0.0,4.0,2.004048177318183
58,2020-05-28,199596.0,1,0,0.5010120443295457,5.0,2.5050602216477285
58,2020-05-29,199596.0,2,0,1.0020240886590914,7.0,3.5070843103068197
58,2020-05-30,199596.0,1,0,0.5010120443295457,6.0,3.006072265977274
58,2020-05-31,199596.0,0,0,0.0,6.0,3.006072265977274
58,2020-06-01,199596.0,0,0,0.0,5.0,2.5050602216477285
58,2020-06-02,199596.0,1,0,0.5010120443295457,5.0,2.5050602216477285
58,2020-06-03,199596.0,0,0,0.0,5.0,2.5050602216477285
58,2020-06-04,199596.0,1,0,0.5010120443295457,5.0,2.5050602216477285
58,2020-06-05,199596.0,0,0,0.0,3.0,1.503036132988637
58,2020-06-06,199596.0,0,0,0.0,2.0,1.0020240886590914
58,2020-06-07,199596.0,0,0,0.0,2.0,1.0020240886590914
58,2020-06-08,199596.0,0,0,0.0,2.0,1.0020240886590914
58,2020-06-09,199596.0,0,0,0.0,1.0,0.5010120443295457
58,2020-06-10,199596.0,2,0,1.0020240886590914,3.0,1.503036132988637
58,2020-06-11,199596.0,0,0,0.0,2.0,1.0020240886590914
58,2020-06-12,199596.0,0,0,0.0,2.0,1.0020240886590914
58,2020-06-13,199596.0,0,0,0.0,2.0,1.0020240886590914
58,2020-06-14,199596.0,0,0,0.0,2.0,1.0020240886590914
58,2020-06-15,199596.0,0,0,0.0,2.0,1.0020240886590914
58,2020-06-16,199596.0,0,0,0.0,2.0,1.0020240886590914
58,2020-06-17,199596.0,0,0,0.0,0.0,0.0
58,2020-06-18,199596.0,0,0,0.0,0.0,0.0
58,2020-06-19,199596.0,1,0,0.5010120443295457,1.0,0.5010120443295457
58,2020-06-20,199596.0,0,0,0.0,1.0,0.5010120443295457
58,2020-06-21,199596.0,1,0,0.5010120443295457,2.0,1.0020240886590914
58,2020-06-22,199596.0,0,0,0.0,2.0,1.0020240886590914
58,2020-06-23,199596.0,0,0,0.0,2.0,1.0020240886590914
58,2020-06-24,199596.0,0,0,0.0,2.0,1.0020240886590914
58,2020-06-25,199596.0,0,0,0.0,2.0,1.0020240886590914
58,2020-06-26,199596.0,1,0,0.5010120443295457,2.0,1.0020240886590914
58,2020-06-27,199596.0,0,0,0.0,2.0,1.0020240886590914
58,2020-06-28,199596.0,0,0,0.0,1.0,0.5010120443295457
58,2020-06-29,199596.0,3,0,1.503036132988637,4.0,2.004048177318183
58,2020-06-30,199596.0,0,0,0.0,4.0,2.004048177318183
58,2020-07-01,199596.0,8,0,4.008096354636366,12.0,6.012144531954548
58,2020-07-02,199596.0,1,0,0.5010120443295457,13.0,6.513156576284094
58,2020-07-03,199596.0,0,0,0.0,12.0,6.012144531954548
58,2020-07-04,199596.0,7,0,3.5070843103068197,19.0,9.519228842261368
58,2020-07-05,199596.0,0,0,0.0,19.0,9.519228842261368
58,2020-07-06,199596.0,1,0,0.5010120443295457,17.0,8.517204753602277
58,2020-07-07,199596.0,0,0,0.0,17.0,8.517204753602277
58,2020-07-08,199596.0,2,0,1.0020240886590914,11.0,5.5111324876250025
58,2020-07-09,199596.0,3,0,1.503036132988637,13.0,6.513156576284094
58,2020-07-10,199596.0,0,0,0.0,13.0,6.513156576284094
58,2020-07-11,199596.0,0,0,0.0,6.0,3.006072265977274
58,2020-07-12,199596.0,0,0,0.0,6.0,3.006072265977274
58,2020-07-13,199596.0,1,0,0.5010120443295457,6.0,3.006072265977274
58,2020-07-14,199596.0,0,0,0.0,6.0,3.006072265977274
58,2020-07-15,199596.0,2,0,1.0020240886590914,6.0,3.006072265977274
58,2020-07-16,199596.0,1,0,0.5010120443295457,4.0,2.004048177318183
58,2020-07-17,199596.0,2,0,1.0020240886590914,6.0,3.006072265977274
58,2020-07-18,199596.0,0,0,0.0,6.0,3.006072265977274
58,2020-07-19,199596.0,1,0,0.5010120443295457,7.0,3.5070843103068197
58,2020-07-20,199596.0,0,0,0.0,6.0,3.006072265977274
58,2020-07-21,199596.0,0,0,0.0,6.0,3.006072265977274
58,2020-07-22,199596.0,0,0,0.0,4.0,2.004048177318183
58,2020-07-23,199596.0,1,0,0.5010120443295457,4.0,2.004048177318183
58,2020-07-24,199596.0,0,0,0.0,2.0,1.0020240886590914
58,2020-07-25,199596.0,1,0,0.5010120443295457,3.0,1.503036132988637
58,2020-07-26,199596.0,1,0,0.5010120443295457,3.0,1.503036132988637
58,2020-07-27,199596.0,0,0,0.0,3.0,1.503036132988637
58,2020-07-28,199596.0,1,0,0.5010120443295457,4.0,2.004048177318183
58,2020-07-29,199596.0,0,0,0.0,4.0,2.004048177318183
58,2020-07-30,199596.0,1,0,0.5010120443295457,4.0,2.004048177318183
58,2020-07-31,199596.0,0,0,0.0,4.0,2.004048177318183
58,2020-08-01,199596.0,0,0,0.0,3.0,1.503036132988637
58,2020-08-02,199596.0,0,0,0.0,2.0,1.0020240886590914
58,2020-08-03,199596.0,2,0,1.0020240886590914,4.0,2.004048177318183
58,2020-08-04,199596.0,0,0,0.0,3.0,1.503036132988637
58,2020-08-05,199596.0,1,0,0.5010120443295457,4.0,2.004048177318183
58,2020-08-06,199596.0,1,0,0.5010120443295457,4.0,2.004048177318183
58,2020-08-07,199596.0,2,0,1.0020240886590914,6.0,3.006072265977274
58,2020-08-08,199596.0,2,0,1.0020240886590914,8.0,4.008096354636366
58,2020-08-09,199596.0,0,0,0.0,8.0,4.008096354636366
58,2020-08-10,199596.0,0,0,0.0,6.0,3.006072265977274
58,2020-08-11,199596.0,4,0,2.004048177318183,10.0,5.010120443295457
58,2020-08-12,199596.0,2,0,1.0020240886590914,11.0,5.5111324876250025
58,2020-08-13,199596.0,0,0,0.0,10.0,5.010120443295457
58,2020-08-14,199596.0,1,0,0.5010120443295457,9.0,4.509108398965911
58,2020-08-15,199596.0,2,0,1.0020240886590914,9.0,4.509108398965911
58,2020-08-16,199596.0,1,0,0.5010120443295457,10.0,5.010120443295457
