Commune,Taux d'incidence,Taux de positivité
Époisses (21),250 à 500,25 à 30
Saint-Didier-en-Bresse (71),500 à 1000,30 et plus
Oulon (58),20 à 50,1 à 5
Censerey (21),0 à 10,0 à 1
Beaulieu (21),0 à 10,5 à 10
Balot (21),0 à 10,5 à 10
Authiou (58),20 à 50,10 à 15
Montbozon (70),150 à 250,10 à 15
Épernay-sous-Gevrey (21),500 à 1000,30 et plus
Molesme (21),0 à 10,0 à 1
Asnois (58),0 à 10,0 à 1
Roussillon-en-Morvan (71),10 à 20,0 à 1
Sommant (71),10 à 20,1 à 5
Colméry (58),250 à 500,30 et plus
Auvillars-sur-Saône (21),500 à 1000,25 à 30
Fontaines (89),250 à 500,25 à 30
Beaumont-Sardolles (58),20 à 50,1 à 5
Courtivron (21),500 à 1000,10 à 15
Novillard (90),0 à 10,0 à 1
Saint-Symphorien-sur-Saône (21),20 à 50,1 à 5
Petitefontaine (90),500 à 1000,15 à 20
Bellefond (21),150 à 250,15 à 20
Auxey-Duresses (21),500 à 1000,25 à 30
Saint-Martin-de-Lixy (71),1000 et plus,30 et plus
Vic-sous-Thil (21),1000 et plus,15 à 20
Arthonnay (89),0 à 10,1 à 5
Les Bouchoux (39),500 à 1000,30 et plus
Rouvres-sous-Meilly (21),0 à 10,0 à 1
Fléty (58),0 à 10,1 à 5
Vaux-Saules (21),0 à 10,0 à 1
Baron (71),10 à 20,1 à 5
Boncourt-le-Bois (21),250 à 500,30 et plus
Juillenay (21),20 à 50,20 à 25
Fontenay-près-Vézelay (89),50 à 150,1 à 5
Aubaine (21),50 à 150,30 et plus
Lent (39),500 à 1000,30 et plus
Saint-Hilaire-en-Morvan (58),20 à 50,1 à 5
Planchez (58),50 à 150,1 à 5
Mhère (58),20 à 50,5 à 10
Vieilmoulin (21),0 à 10,0 à 1
Épagny (21),250 à 500,10 à 15
Bondeval (25),500 à 1000,25 à 30
Gergueil (21),0 à 10,0 à 1
Sauvigny-le-Beuréal (89),0 à 10,5 à 10
Billy-Chevannes (58),20 à 50,1 à 5
Cussy-la-Colonne (21),50 à 150,1 à 5
Gouloux (58),500 à 1000,20 à 25
Antigny-la-Ville (21),0 à 10,0 à 1
Boudreville (21),0 à 10,10 à 15
Moloy (21),500 à 1000,30 et plus
Chamb½uf (21),250 à 500,15 à 20
Auxy (71),20 à 50,5 à 10
Salives (21),250 à 500,15 à 20
Veuxhaulles-sur-Aube (21),0 à 10,0 à 1
Anost (71),10 à 20,1 à 5
Foissy-lès-Vézelay (89),50 à 150,1 à 5
Besnans (70),250 à 500,10 à 15
Chorey-les-Beaune (21),150 à 250,5 à 10
Vassy-sous-Pisy (89),10 à 20,5 à 10
Martrois (21),0 à 10,0 à 1
Saint-Brancher (89),250 à 500,30 et plus
Champagny (21),0 à 10,5 à 10
Lacanche (21),150 à 250,10 à 15
Saulieu (21),250 à 500,15 à 20
Chitry (89),250 à 500,15 à 20
Civry-en-Montagne (21),500 à 1000,30 et plus
Verdonnet (21),0 à 10,0 à 1
Bessey-la-Cour (21),50 à 150,30 et plus
Guipy (58),500 à 1000,30 et plus
Sardy-lès-Épiry (58),1000 et plus,30 et plus
Glanon (21),20 à 50,1 à 5
Esbarres (21),500 à 1000,15 à 20
Andryes (89),250 à 500,30 et plus
Fontenay (71),10 à 20,10 à 15
Blaisy-Haut (21),0 à 10,0 à 1
Châteauneuf (21),0 à 10,0 à 1
Missery (21),500 à 1000,30 et plus
Dompierre-les-Ormes (71),500 à 1000,30 et plus
Hauteville-lès-Dijon (21),500 à 1000,30 et plus
Lesme (71),10 à 20,0 à 1
Lacour-d'Arcenay (21),20 à 50,1 à 5
Charigny (21),50 à 150,1 à 5
Festigny (89),10 à 20,15 à 20
