dep,jour,P,cl_age90,pop,taux_incidence_quot,positif_7j,taux_incid_7j,dep_ok
21,2020-05-13,4,0,532886.0,0.7506295905690898,,,Cote-d'Or
21,2020-05-14,7,0,532886.0,1.3136017834959073,,,Cote-d'Or
21,2020-05-15,7,0,532886.0,1.3136017834959073,,,Cote-d'Or
21,2020-05-16,4,0,532886.0,0.7506295905690898,,,Cote-d'Or
21,2020-05-17,0,0,532886.0,0.0,,,Cote-d'Or
21,2020-05-18,10,0,532886.0,1.8765739764227245,,,Cote-d'Or
21,2020-05-19,13,0,532886.0,2.439546169349542,45.0,8.444582893902261,Cote-d'Or
21,2020-05-20,5,0,532886.0,0.9382869882113622,46.0,8.632240291544534,Cote-d'Or
21,2020-05-21,0,0,532886.0,0.0,39.0,7.318638508048625,Cote-d'Or
21,2020-05-22,13,0,532886.0,2.439546169349542,45.0,8.444582893902261,Cote-d'Or
21,2020-05-23,0,0,532886.0,0.0,41.0,7.693953303333171,Cote-d'Or
21,2020-05-24,1,0,532886.0,0.1876573976422725,42.0,7.881610700975442,Cote-d'Or
21,2020-05-25,4,0,532886.0,0.7506295905690898,36.0,6.755666315121808,Cote-d'Or
21,2020-05-26,3,0,532886.0,0.5629721929268174,26.0,4.879092338699084,Cote-d'Or
21,2020-05-27,5,0,532886.0,0.9382869882113622,26.0,4.879092338699084,Cote-d'Or
21,2020-05-28,3,0,532886.0,0.5629721929268174,29.0,5.442064531625902,Cote-d'Or
21,2020-05-29,2,0,532886.0,0.3753147952845449,18.0,3.3778331575609046,Cote-d'Or
21,2020-05-30,2,0,532886.0,0.3753147952845449,20.0,3.753147952845449,Cote-d'Or
21,2020-05-31,0,0,532886.0,0.0,19.0,3.5654905552031764,Cote-d'Or
21,2020-06-01,0,0,532886.0,0.0,15.0,2.8148609646340867,Cote-d'Or
21,2020-06-02,1,0,532886.0,0.1876573976422725,13.0,2.439546169349542,Cote-d'Or
21,2020-06-03,0,0,532886.0,0.0,8.0,1.5012591811381797,Cote-d'Or
21,2020-06-04,1,0,532886.0,0.1876573976422725,6.0,1.1259443858536349,Cote-d'Or
21,2020-06-05,0,0,532886.0,0.0,4.0,0.7506295905690898,Cote-d'Or
21,2020-06-06,1,0,532886.0,0.1876573976422725,3.0,0.5629721929268174,Cote-d'Or
21,2020-06-07,0,0,532886.0,0.0,3.0,0.5629721929268174,Cote-d'Or
21,2020-06-08,3,0,532886.0,0.5629721929268174,6.0,1.1259443858536349,Cote-d'Or
21,2020-06-09,2,0,532886.0,0.3753147952845449,7.0,1.3136017834959073,Cote-d'Or
21,2020-06-10,0,0,532886.0,0.0,7.0,1.3136017834959073,Cote-d'Or
21,2020-06-11,2,0,532886.0,0.3753147952845449,8.0,1.5012591811381797,Cote-d'Or
21,2020-06-12,5,0,532886.0,0.9382869882113622,13.0,2.439546169349542,Cote-d'Or
21,2020-06-13,0,0,532886.0,0.0,12.0,2.2518887717072698,Cote-d'Or
21,2020-06-14,0,0,532886.0,0.0,12.0,2.2518887717072698,Cote-d'Or
21,2020-06-15,5,0,532886.0,0.9382869882113622,14.0,2.6272035669918146,Cote-d'Or
21,2020-06-16,3,0,532886.0,0.5629721929268174,15.0,2.8148609646340867,Cote-d'Or
21,2020-06-17,1,0,532886.0,0.1876573976422725,16.0,3.00251836227636,Cote-d'Or
21,2020-06-18,5,0,532886.0,0.9382869882113622,19.0,3.5654905552031764,Cote-d'Or
21,2020-06-19,1,0,532886.0,0.1876573976422725,15.0,2.8148609646340867,Cote-d'Or
21,2020-06-20,0,0,532886.0,0.0,15.0,2.8148609646340867,Cote-d'Or
21,2020-06-21,0,0,532886.0,0.0,15.0,2.8148609646340867,Cote-d'Or
21,2020-06-22,2,0,532886.0,0.3753147952845449,12.0,2.2518887717072698,Cote-d'Or
21,2020-06-23,4,0,532886.0,0.7506295905690898,13.0,2.439546169349542,Cote-d'Or
21,2020-06-24,3,0,532886.0,0.5629721929268174,15.0,2.8148609646340867,Cote-d'Or
21,2020-06-25,0,0,532886.0,0.0,10.0,1.8765739764227245,Cote-d'Or
21,2020-06-26,2,0,532886.0,0.3753147952845449,11.0,2.0642313740649967,Cote-d'Or
21,2020-06-27,0,0,532886.0,0.0,11.0,2.0642313740649967,Cote-d'Or
21,2020-06-28,0,0,532886.0,0.0,11.0,2.0642313740649967,Cote-d'Or
21,2020-06-29,1,0,532886.0,0.1876573976422725,10.0,1.8765739764227245,Cote-d'Or
21,2020-06-30,4,0,532886.0,0.7506295905690898,10.0,1.8765739764227245,Cote-d'Or
21,2020-07-01,2,0,532886.0,0.3753147952845449,9.0,1.6889165787804523,Cote-d'Or
21,2020-07-02,0,0,532886.0,0.0,9.0,1.6889165787804523,Cote-d'Or
21,2020-07-03,1,0,532886.0,0.1876573976422725,8.0,1.5012591811381797,Cote-d'Or
21,2020-07-04,0,0,532886.0,0.0,8.0,1.5012591811381797,Cote-d'Or
21,2020-07-05,0,0,532886.0,0.0,8.0,1.5012591811381797,Cote-d'Or
21,2020-07-06,1,0,532886.0,0.1876573976422725,8.0,1.5012591811381797,Cote-d'Or
21,2020-07-07,3,0,532886.0,0.5629721929268174,7.0,1.3136017834959073,Cote-d'Or
21,2020-07-08,3,0,532886.0,0.5629721929268174,8.0,1.5012591811381797,Cote-d'Or
21,2020-07-09,7,0,532886.0,1.3136017834959073,15.0,2.8148609646340867,Cote-d'Or
21,2020-07-10,1,0,532886.0,0.1876573976422725,15.0,2.8148609646340867,Cote-d'Or
21,2020-07-11,3,0,532886.0,0.5629721929268174,18.0,3.3778331575609046,Cote-d'Or
21,2020-07-12,0,0,532886.0,0.0,18.0,3.3778331575609046,Cote-d'Or
21,2020-07-13,1,0,532886.0,0.1876573976422725,18.0,3.3778331575609046,Cote-d'Or
21,2020-07-14,1,0,532886.0,0.1876573976422725,16.0,3.00251836227636,Cote-d'Or
21,2020-07-15,3,0,532886.0,0.5629721929268174,16.0,3.00251836227636,Cote-d'Or
21,2020-07-16,2,0,532886.0,0.3753147952845449,11.0,2.0642313740649967,Cote-d'Or
21,2020-07-17,5,0,532886.0,0.9382869882113622,15.0,2.8148609646340867,Cote-d'Or
21,2020-07-18,1,0,532886.0,0.1876573976422725,13.0,2.439546169349542,Cote-d'Or
21,2020-07-19,1,0,532886.0,0.1876573976422725,14.0,2.6272035669918146,Cote-d'Or
21,2020-07-20,4,0,532886.0,0.7506295905690898,17.0,3.190175759918632,Cote-d'Or
21,2020-07-21,0,0,532886.0,0.0,16.0,3.00251836227636,Cote-d'Or
21,2020-07-22,3,0,532886.0,0.5629721929268174,16.0,3.00251836227636,Cote-d'Or
21,2020-07-23,7,0,532886.0,1.3136017834959073,21.0,3.9408053504877216,Cote-d'Or
21,2020-07-24,3,0,532886.0,0.5629721929268174,19.0,3.5654905552031764,Cote-d'Or
