Date,Code,Département,Personnes décédées (cumul),Personnes en réanimation,Personnes hospitalisées,Personnes de retour à domicile (cumul)
2020-04-03,39,Jura,10,11,60,36
2020-04-03,58,Nièvre,5,7,21,2
2020-04-03,70,Haute-Saône,30,14,81,63
2020-04-03,71,Saône-et-Loire,60,36,163,137
2020-04-03,89,Yonne,10,20,101,25
2020-04-03,90,Territoire de Belfort,78,43,217,131
2020-04-04,21,Côte-d'Or,69,66,255,297
2020-04-04,25,Doubs,46,76,175,168
2020-04-04,39,Jura,13,11,70,39
2020-04-04,58,Nièvre,5,8,27,5
2020-04-04,70,Haute-Saône,33,16,80,69
2020-04-04,71,Saône-et-Loire,63,37,162,146
2020-04-04,89,Yonne,11,19,102,31
2020-04-04,90,Territoire de Belfort,83,41,204,155
2020-04-05,21,Côte-d'Or,73,65,259,307
2020-04-05,25,Doubs,49,73,183,178
2020-04-05,39,Jura,14,11,78,42
2020-04-05,58,Nièvre,5,11,34,6
2020-04-05,70,Haute-Saône,37,17,80,70
2020-04-05,71,Saône-et-Loire,65,37,173,148
2020-04-05,89,Yonne,12,18,101,31
2020-04-05,90,Territoire de Belfort,86,43,212,160
2020-04-06,21,Côte-d'Or,76,76,284,311
2020-04-06,25,Doubs,51,75,183,184
2020-04-06,39,Jura,17,10,77,42
2020-04-06,58,Nièvre,6,10,36,6
2020-04-06,70,Haute-Saône,44,16,79,72
2020-04-06,71,Saône-et-Loire,69,38,193,170
2020-04-06,89,Yonne,15,18,103,37
2020-04-06,90,Territoire de Belfort,89,42,221,164
