dep,jour,P,cl_age90,pop,taux_incidence_quot,positif_7j,taux_incid_7j
71,2020-05-13,5,0,547824.0,0.9127018896579923,,
71,2020-05-14,15,0,547824.0,2.738105668973977,,
71,2020-05-15,9,0,547824.0,1.6428634013843864,,
71,2020-05-16,3,0,547824.0,0.5476211337947955,,
71,2020-05-17,3,0,547824.0,0.5476211337947955,,
71,2020-05-18,15,0,547824.0,2.738105668973977,,
71,2020-05-19,4,0,547824.0,0.7301615117263939,54.0,9.857180408306316
71,2020-05-20,7,0,547824.0,1.2777826455211894,56.0,10.222261164169515
71,2020-05-21,0,0,547824.0,0.0,41.0,7.484155495195537
71,2020-05-22,7,0,547824.0,1.2777826455211894,39.0,7.119074739332341
71,2020-05-23,3,0,547824.0,0.5476211337947955,39.0,7.119074739332341
71,2020-05-24,0,0,547824.0,0.0,36.0,6.571453605537545
71,2020-05-25,12,0,547824.0,2.190484535179182,33.0,6.023832471742749
71,2020-05-26,2,0,547824.0,0.36508075586319694,31.0,5.658751715879553
71,2020-05-27,1,0,547824.0,0.18254037793159847,25.0,4.563509448289962
71,2020-05-28,1,0,547824.0,0.18254037793159847,26.0,4.74604982622156
71,2020-05-29,1,0,547824.0,0.18254037793159847,20.0,3.650807558631969
71,2020-05-30,1,0,547824.0,0.18254037793159847,18.0,3.2857268027687727
71,2020-05-31,1,0,547824.0,0.18254037793159847,19.0,3.4682671807003707
71,2020-06-01,1,0,547824.0,0.18254037793159847,8.0,1.4603230234527877
71,2020-06-02,3,0,547824.0,0.5476211337947955,9.0,1.6428634013843864
71,2020-06-03,2,0,547824.0,0.36508075586319694,10.0,1.8254037793159845
71,2020-06-04,0,0,547824.0,0.0,9.0,1.6428634013843864
71,2020-06-05,4,0,547824.0,0.7301615117263939,12.0,2.190484535179182
71,2020-06-06,0,0,547824.0,0.0,11.0,2.007944157247583
71,2020-06-07,0,0,547824.0,0.0,10.0,1.8254037793159845
71,2020-06-08,2,0,547824.0,0.36508075586319694,11.0,2.007944157247583
71,2020-06-09,0,0,547824.0,0.0,8.0,1.4603230234527877
71,2020-06-10,2,0,547824.0,0.36508075586319694,8.0,1.4603230234527877
71,2020-06-11,0,0,547824.0,0.0,8.0,1.4603230234527877
