dep,sexe,jour,Personnes hospitalisées,Personnes en réanimation,Personnes décédées (cumul),dep_ok
89,0,2020-03-18,6,0,0,89
89,0,2020-03-19,5,1,2,89
89,0,2020-03-20,10,3,2,89
89,0,2020-03-21,11,3,2,89
89,0,2020-03-22,13,3,2,89
89,0,2020-03-23,16,7,2,89
89,0,2020-03-24,18,8,2,89
89,0,2020-03-25,32,11,2,89
89,0,2020-03-26,35,12,3,89
89,0,2020-03-27,37,12,3,89
89,0,2020-03-28,38,12,3,89
89,0,2020-03-29,40,13,4,89
89,0,2020-03-30,52,15,4,89
89,0,2020-03-31,75,16,5,89
89,0,2020-04-01,85,21,8,89
89,0,2020-04-02,97,19,9,89
89,0,2020-04-03,101,20,10,89
89,0,2020-04-04,102,19,11,89
89,0,2020-04-05,101,18,12,89
89,0,2020-04-06,103,18,15,89
89,0,2020-04-07,94,19,17,89
89,0,2020-04-08,95,19,17,89
89,0,2020-04-09,91,18,18,89
89,0,2020-04-10,88,20,23,89
89,0,2020-04-11,85,20,25,89
89,0,2020-04-12,84,20,26,89
89,0,2020-04-13,83,20,28,89
89,0,2020-04-14,91,21,32,89
89,0,2020-04-15,86,19,32,89
89,0,2020-04-16,96,19,33,89
89,0,2020-04-17,97,19,33,89
89,0,2020-04-18,90,19,37,89
89,0,2020-04-19,94,19,38,89
89,0,2020-04-20,93,20,41,89
89,0,2020-04-21,104,20,41,89
89,0,2020-04-22,119,26,43,89
89,0,2020-04-23,117,27,49,89
89,0,2020-04-24,109,23,50,89
89,0,2020-04-25,115,23,51,89
89,0,2020-04-26,113,22,53,89
89,0,2020-04-27,112,21,54,89
89,0,2020-04-28,108,21,55,89
89,0,2020-04-29,110,21,59,89
89,0,2020-04-30,109,22,59,89
89,0,2020-05-01,102,21,62,89
89,0,2020-05-02,100,18,64,89
89,0,2020-05-03,106,18,64,89
89,0,2020-05-04,115,20,65,89
89,0,2020-05-05,110,18,67,89
89,0,2020-05-06,109,16,69,89
89,0,2020-05-07,107,17,70,89
89,0,2020-05-08,108,17,71,89
89,0,2020-05-09,109,17,72,89
89,0,2020-05-10,113,17,72,89
89,0,2020-05-11,113,16,74,89
89,0,2020-05-12,110,13,74,89
89,0,2020-05-13,110,13,74,89
89,0,2020-05-14,112,13,74,89
89,0,2020-05-15,108,13,74,89
89,0,2020-05-16,109,13,74,89
89,0,2020-05-17,109,13,74,89
89,0,2020-05-18,106,12,77,89
89,0,2020-05-19,103,10,78,89
89,0,2020-05-20,100,10,79,89
89,0,2020-05-21,101,10,81,89
89,0,2020-05-22,94,9,82,89
89,0,2020-05-23,98,9,82,89
89,0,2020-05-24,99,9,82,89
89,0,2020-05-25,94,9,83,89
89,0,2020-05-26,78,9,83,89
89,0,2020-05-27,80,9,84,89
89,0,2020-05-28,78,9,84,89
89,0,2020-05-29,70,9,84,89
89,0,2020-05-30,69,9,84,89
