dep,sexe,jour,Personnes hospitalisées,Personnes en réanimation,Personnes décédées (cumul),dep_ok
58,0,2020-03-18,0,0,0,58
58,0,2020-03-19,0,0,0,58
58,0,2020-03-20,1,1,0,58
58,0,2020-03-21,1,1,0,58
58,0,2020-03-22,1,1,0,58
58,0,2020-03-23,3,2,0,58
58,0,2020-03-24,3,2,0,58
58,0,2020-03-25,3,2,0,58
58,0,2020-03-26,4,2,0,58
58,0,2020-03-27,6,3,0,58
58,0,2020-03-28,7,4,0,58
58,0,2020-03-29,9,6,0,58
58,0,2020-03-30,12,7,0,58
58,0,2020-03-31,12,8,2,58
58,0,2020-04-01,12,9,3,58
58,0,2020-04-02,15,7,4,58
58,0,2020-04-03,21,7,5,58
58,0,2020-04-04,27,8,5,58
58,0,2020-04-05,34,11,5,58
58,0,2020-04-06,36,10,6,58
58,0,2020-04-07,34,9,7,58
58,0,2020-04-08,36,9,7,58
58,0,2020-04-09,37,8,7,58
58,0,2020-04-10,48,10,7,58
58,0,2020-04-11,53,10,7,58
58,0,2020-04-12,56,10,7,58
58,0,2020-04-13,60,11,8,58
58,0,2020-04-14,58,10,12,58
58,0,2020-04-15,55,11,12,58
58,0,2020-04-16,63,11,12,58
58,0,2020-04-17,61,10,12,58
58,0,2020-04-18,60,11,14,58
58,0,2020-04-19,59,11,15,58
58,0,2020-04-20,58,10,18,58
58,0,2020-04-21,58,9,19,58
58,0,2020-04-22,55,7,21,58
58,0,2020-04-23,51,7,21,58
58,0,2020-04-24,52,8,21,58
58,0,2020-04-25,52,8,22,58
58,0,2020-04-26,51,7,22,58
58,0,2020-04-27,50,6,22,58
58,0,2020-04-28,50,6,22,58
58,0,2020-04-29,51,6,22,58
58,0,2020-04-30,52,4,22,58
58,0,2020-05-01,50,4,22,58
58,0,2020-05-02,49,4,23,58
58,0,2020-05-03,49,4,23,58
58,0,2020-05-04,49,4,23,58
58,0,2020-05-05,48,4,23,58
58,0,2020-05-06,46,3,24,58
58,0,2020-05-07,42,3,24,58
58,0,2020-05-08,42,3,24,58
58,0,2020-05-09,42,3,24,58
58,0,2020-05-10,41,1,25,58
58,0,2020-05-11,42,3,25,58
58,0,2020-05-12,44,4,25,58
58,0,2020-05-13,39,2,25,58
58,0,2020-05-14,38,2,25,58
58,0,2020-05-15,39,3,25,58
58,0,2020-05-16,38,3,25,58
58,0,2020-05-17,38,3,25,58
58,0,2020-05-18,38,3,25,58
58,0,2020-05-19,38,3,25,58
58,0,2020-05-20,29,2,25,58
58,0,2020-05-21,24,2,25,58
58,0,2020-05-22,24,2,25,58
58,0,2020-05-23,24,2,25,58
58,0,2020-05-24,23,2,26,58
58,0,2020-05-25,23,2,26,58
58,0,2020-05-26,21,2,26,58
58,0,2020-05-27,18,1,27,58
58,0,2020-05-28,17,1,27,58
58,0,2020-05-29,8,1,27,58
58,0,2020-05-30,11,1,27,58
58,0,2020-05-31,11,1,27,58
58,0,2020-06-01,11,1,27,58
58,0,2020-06-02,11,1,27,58
58,0,2020-06-03,12,1,27,58
58,0,2020-06-04,12,1,27,58
58,0,2020-06-05,12,1,27,58
58,0,2020-06-06,12,1,27,58
58,0,2020-06-07,12,1,27,58
58,0,2020-06-08,11,1,27,58
58,0,2020-06-09,10,1,27,58
58,0,2020-06-10,10,1,27,58
58,0,2020-06-11,10,1,27,58
58,0,2020-06-12,10,1,27,58
58,0,2020-06-13,10,1,27,58
58,0,2020-06-14,10,1,27,58
58,0,2020-06-15,10,1,27,58
58,0,2020-06-16,10,1,27,58
58,0,2020-06-17,10,1,27,58
58,0,2020-06-18,10,1,27,58
58,0,2020-06-19,10,1,27,58
58,0,2020-06-20,11,1,27,58
58,0,2020-06-21,11,1,27,58
58,0,2020-06-22,12,1,27,58
58,0,2020-06-23,12,1,27,58
58,0,2020-06-24,9,1,27,58
58,0,2020-06-25,9,1,27,58
58,0,2020-06-26,8,1,27,58
58,0,2020-06-27,8,1,27,58
58,0,2020-06-28,8,1,27,58
58,0,2020-06-29,8,1,27,58
58,0,2020-06-30,8,1,27,58
58,0,2020-07-01,7,1,27,58
58,0,2020-07-02,7,1,27,58
58,0,2020-07-03,8,1,27,58
58,0,2020-07-04,8,1,27,58
58,0,2020-07-05,8,1,27,58
58,0,2020-07-06,8,1,27,58
58,0,2020-07-07,8,1,27,58
58,0,2020-07-08,7,1,27,58
58,0,2020-07-09,7,1,27,58
58,0,2020-07-10,7,1,27,58
58,0,2020-07-11,7,1,27,58
58,0,2020-07-12,7,1,27,58
58,0,2020-07-13,7,1,27,58
58,0,2020-07-14,7,1,27,58
58,0,2020-07-15,8,1,27,58
58,0,2020-07-16,9,1,27,58
58,0,2020-07-17,8,0,28,58
58,0,2020-07-18,7,0,28,58
58,0,2020-07-19,7,0,28,58
58,0,2020-07-20,6,0,28,58
58,0,2020-07-21,2,0,28,58
58,0,2020-07-22,2,0,28,58
58,0,2020-07-23,2,0,28,58
58,0,2020-07-24,0,0,28,58
58,0,2020-07-25,0,0,28,58
58,0,2020-07-26,0,0,28,58
58,0,2020-07-27,0,0,28,58
58,0,2020-07-28,0,0,28,58
58,0,2020-07-29,0,0,28,58
58,0,2020-07-30,0,0,28,58
58,0,2020-07-31,0,0,28,58
58,0,2020-08-01,0,0,28,58
58,0,2020-08-02,0,0,28,58
58,0,2020-08-03,0,0,28,58
58,0,2020-08-04,0,0,28,58
58,0,2020-08-05,0,0,28,58
58,0,2020-08-06,0,0,28,58
58,0,2020-08-07,0,0,28,58
58,0,2020-08-08,0,0,28,58
58,0,2020-08-09,0,0,28,58
58,0,2020-08-10,0,0,28,58
58,0,2020-08-11,0,0,28,58
58,0,2020-08-12,0,0,28,58
58,0,2020-08-13,0,0,28,58
58,0,2020-08-14,0,0,28,58
58,0,2020-08-15,0,0,28,58
58,0,2020-08-16,0,0,28,58
58,0,2020-08-17,0,0,28,58
58,0,2020-08-18,0,0,28,58
58,0,2020-08-19,0,0,28,58
58,0,2020-08-20,0,0,28,58
58,0,2020-08-21,0,0,28,58
58,0,2020-08-22,0,0,28,58
58,0,2020-08-23,0,0,28,58
58,0,2020-08-24,0,0,28,58
58,0,2020-08-25,1,0,28,58
58,0,2020-08-26,1,0,28,58
58,0,2020-08-27,1,0,28,58
58,0,2020-08-28,1,0,28,58
58,0,2020-08-29,1,0,28,58
58,0,2020-08-30,1,0,28,58
58,0,2020-08-31,1,0,28,58
58,0,2020-09-01,1,0,28,58
58,0,2020-09-02,2,0,28,58
58,0,2020-09-03,2,0,28,58
58,0,2020-09-04,3,0,28,58
58,0,2020-09-05,3,0,28,58
58,0,2020-09-06,3,0,28,58
58,0,2020-09-07,4,0,28,58
58,0,2020-09-08,4,0,28,58
58,0,2020-09-09,4,0,28,58
58,0,2020-09-10,4,0,28,58
58,0,2020-09-11,4,0,28,58
58,0,2020-09-12,4,0,28,58
58,0,2020-09-13,4,0,28,58
58,0,2020-09-14,4,0,28,58
58,0,2020-09-15,4,0,28,58
58,0,2020-09-16,5,0,28,58
58,0,2020-09-17,6,0,28,58
58,0,2020-09-18,6,0,28,58
58,0,2020-09-19,7,0,28,58
58,0,2020-09-20,7,0,28,58
58,0,2020-09-21,7,0,28,58
58,0,2020-09-22,6,0,28,58
58,0,2020-09-23,4,0,28,58
58,0,2020-09-24,4,0,28,58
