geometry,INSEE_COM,INSEE_DEP,NOM_COM_OK,fin_periode,clage_65,ti_classe,tp_classe,td_classe
"{""type"":""Polygon"",""coordinates"":[[[4.10679,47.376501],[4.113757,47.378552],[4.119304,47.384531],[4.113677,47.390202],[4.113181,47.39828],[4.105485,47.405212],[4.099366,47.413241],[4.083783,47.419811],[4.076761,47.416462],[4.072079,47.409005],[4.065197,47.407263],[4.069798,47.399997],[4.088452,47.396622],[4.089937,47.391779],[4.081686,47.388706],[4.076128,47.382912],[4.080174,47.376088],[4.087616,47.372757],[4.10679,47.376501]]]}",21538,21,Saint-Andeux (21),31/10,65,0 à 10,1 à 5,300 à 600
"{""type"":""Polygon"",""coordinates"":[[[6.957684,47.689094],[6.954877,47.693078],[6.950163,47.692119],[6.938473,47.693977],[6.934286,47.692964],[6.937808,47.688696],[6.943174,47.689234],[6.943968,47.682972],[6.936675,47.679588],[6.938664,47.66679],[6.94085,47.666896],[6.953741,47.668674],[6.972168,47.669818],[6.973705,47.673691],[6.963155,47.670526],[6.961645,47.679655],[6.957684,47.689094]]]}",90067,90,Menoncourt (90),31/10,65,0 à 10,0 à 1,2000 à 2500
"{""type"":""Polygon"",""coordinates"":[[[4.80854,47.548795],[4.801617,47.543804],[4.7999,47.541112],[4.78768,47.534973],[4.794839,47.530029],[4.798049,47.52515],[4.813603,47.525293],[4.815447,47.513693],[4.80467,47.501319],[4.8036,47.496641],[4.81113,47.500969],[4.818414,47.496816],[4.825628,47.501565],[4.832536,47.496362],[4.848749,47.49797],[4.857976,47.493843],[4.870962,47.492312],[4.878461,47.482361],[4.887433,47.485212],[4.881693,47.489692],[4.872204,47.501636],[4.865121,47.522316],[4.874077,47.527275],[4.860722,47.533765],[4.860221,47.540045],[4.852808,47.53855],[4.847305,47.545997],[4.830472,47.544832],[4.816218,47.54662],[4.80854,47.548795]]]}",21338,21,Lamargelle (21),31/10,65,0 à 10,0 à 1,2500 et plus
"{""type"":""Polygon"",""coordinates"":[[[3.829675,47.484716],[3.826853,47.491799],[3.821644,47.496963],[3.813203,47.499995],[3.808365,47.505196],[3.801978,47.503108],[3.790926,47.49461],[3.789737,47.489868],[3.810302,47.475592],[3.818222,47.47487],[3.825371,47.477607],[3.829675,47.484716]]]}",89146,89,Domecy-sur-le-Vault (89),31/10,65,10 à 20,25 à 30,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[4.619867,47.171284],[4.616469,47.162823],[4.627513,47.160699],[4.638864,47.156517],[4.645224,47.150068],[4.651246,47.147279],[4.660161,47.1492],[4.662246,47.162423],[4.656267,47.164013],[4.655755,47.170077],[4.663809,47.1742],[4.659557,47.176604],[4.647421,47.171965],[4.642684,47.167651],[4.63212,47.16622],[4.625876,47.170371],[4.619867,47.171284]]]}",21155,21,Chaudenay-la-Ville (21),31/10,65,0 à 10,30 et plus,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[3.779578,47.296486],[3.766892,47.29956],[3.757386,47.304297],[3.745175,47.303654],[3.735765,47.30187],[3.72751,47.29568],[3.725077,47.291412],[3.726569,47.283329],[3.71632,47.279176],[3.725814,47.277554],[3.749036,47.281918],[3.760476,47.282962],[3.770571,47.285532],[3.779578,47.296486]]]}",58153,58,Magny-Lormes (58),31/10,65,0 à 10,1 à 5,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[3.876351,46.732271],[3.884658,46.727615],[3.889191,46.728228],[3.893543,46.732911],[3.911544,46.736071],[3.915219,46.739533],[3.927876,46.739788],[3.932505,46.744147],[3.93158,46.751843],[3.942063,46.750948],[3.957195,46.756142],[3.96329,46.76627],[3.962992,46.770313],[3.944374,46.779474],[3.939319,46.785121],[3.932705,46.783299],[3.924935,46.777954],[3.915618,46.77915],[3.902757,46.777766],[3.895217,46.77513],[3.881714,46.778133],[3.875259,46.781974],[3.873462,46.776807],[3.876928,46.767952],[3.876245,46.764744],[3.884867,46.762768],[3.885328,46.748362],[3.873069,46.740414],[3.871352,46.733784],[3.876351,46.732271]]]}",58287,58,Tazilly (58),31/10,65,0 à 10,10 à 15,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[4.351993,47.166465],[4.348179,47.163535],[4.341936,47.154383],[4.332941,47.150154],[4.332256,47.144906],[4.3384,47.140724],[4.355396,47.133511],[4.365598,47.126308],[4.375577,47.122285],[4.388005,47.12182],[4.390401,47.131486],[4.40512,47.137481],[4.406777,47.141872],[4.415632,47.143223],[4.417763,47.148908],[4.405277,47.149933],[4.393007,47.159452],[4.395901,47.163352],[4.387237,47.161659],[4.375101,47.153138],[4.373246,47.160212],[4.36468,47.161852],[4.351993,47.166465]]]}",21379,21,Marcheseuil (21),31/10,65,0 à 10,1 à 5,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[4.813556,47.189374],[4.810709,47.177618],[4.816998,47.178817],[4.835025,47.179152],[4.857518,47.175378],[4.862952,47.170554],[4.871073,47.174216],[4.867673,47.18275],[4.853406,47.184714],[4.847039,47.186962],[4.82551,47.191099],[4.813556,47.189374]]]}",21070,21,Bévy (21),31/10,65,0 à 10,30 et plus,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[4.779564,46.91854],[4.792067,46.925282],[4.788934,46.932273],[4.786379,46.934695],[4.777915,46.938209],[4.771348,46.935384],[4.769531,46.92867],[4.779892,46.923969],[4.779564,46.91854]]]}",21236,21,Ébaty (21),31/10,65,0 à 10,25 à 30,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[6.87904,47.350464],[6.879645,47.352543],[6.879363,47.35778],[6.884219,47.366239],[6.8836,47.372865],[6.895816,47.379898],[6.895095,47.381708],[6.890081,47.384315],[6.873067,47.381707],[6.853478,47.375709],[6.856747,47.37226],[6.856501,47.366866],[6.844776,47.362772],[6.8455,47.360769],[6.853308,47.360609],[6.868783,47.352802],[6.87904,47.350464]]]}",25615,25,Villars-lès-Blamont (25),31/10,65,1000 et plus,30 et plus,2500 et plus
"{""type"":""Polygon"",""coordinates"":[[[3.476981,47.33949],[3.4792,47.335118],[3.486344,47.335277],[3.490342,47.333535],[3.514387,47.34211],[3.523955,47.342238],[3.520123,47.346671],[3.519483,47.354856],[3.512302,47.364095],[3.499919,47.364388],[3.49271,47.367909],[3.482789,47.368161],[3.47999,47.364878],[3.478666,47.348851],[3.474641,47.343537],[3.476981,47.33949]]]}",58029,58,Beuvron (58),31/10,65,0 à 10,1 à 5,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[6.282218,47.451779],[6.293932,47.465891],[6.29728,47.470499],[6.289492,47.474695],[6.271195,47.47901],[6.264198,47.484725],[6.260174,47.478669],[6.265281,47.475131],[6.268961,47.46647],[6.278622,47.463308],[6.278729,47.457789],[6.282218,47.451779]]]}",70501,70,Thiénans (70),31/10,65,250 à 500,20 à 25,1000 à 1500
"{""type"":""Polygon"",""coordinates"":[[[4.26148,47.375248],[4.274765,47.38111],[4.277829,47.38442],[4.290052,47.384662],[4.302219,47.387709],[4.299413,47.396053],[4.304874,47.404259],[4.299095,47.408147],[4.29364,47.405205],[4.275907,47.40685],[4.2728,47.408657],[4.266864,47.403942],[4.25403,47.395927],[4.260275,47.3882],[4.254977,47.386684],[4.256376,47.378241],[4.26148,47.375248]]]}",21007,21,Aisy-sous-Thil (21),31/10,65,1000 et plus,30 et plus,2000 à 2500
"{""type"":""Polygon"",""coordinates"":[[[5.898123,46.379794],[5.896342,46.373508],[5.878699,46.362184],[5.88423,46.3484],[5.882963,46.346312],[5.882937,46.342541],[5.889424,46.334251],[5.893467,46.332106],[5.908263,46.331361],[5.917013,46.328455],[5.927819,46.335286],[5.944975,46.336431],[5.940229,46.328998],[5.926039,46.313809],[5.941407,46.309402],[5.948199,46.316928],[5.953338,46.326409],[5.975202,46.350292],[5.962815,46.356968],[5.969471,46.363594],[5.953112,46.37779],[5.954805,46.381702],[5.946313,46.389639],[5.944817,46.395169],[5.934371,46.402951],[5.930118,46.401184],[5.913864,46.38831],[5.904065,46.384119],[5.898123,46.379794]]]}",39510,39,Septmoncel les Molunes (39),31/10,65,1000 et plus,30 et plus,1000 à 1500
"{""type"":""Polygon"",""coordinates"":[[[4.673597,47.377457],[4.674771,47.374013],[4.678982,47.366324],[4.68067,47.359137],[4.68928,47.361669],[4.696671,47.355687],[4.703934,47.354881],[4.699673,47.368022],[4.686047,47.380673],[4.673597,47.377457]]]}",21669,21,Verrey-sous-Drée (21),31/10,65,0 à 10,1 à 5,0 à 300
"{""type"":""Polygon"",""coordinates"":[[[3.995724,47.462471],[4.002181,47.478216],[4.015471,47.486529],[4.019113,47.501705],[4.009154,47.509301],[4.000191,47.511676],[3.991817,47.50823],[3.981516,47.506109],[3.973616,47.495315],[3.965834,47.488731],[3.956684,47.481248],[3.947172,47.477812],[3.937351,47.480459],[3.935189,47.460651],[3.931377,47.450594],[3.92973,47.439662],[3.932487,47.434689],[3.938081,47.431868],[3.946076,47.434098],[3.953819,47.425647],[3.95769,47.425581],[3.965866,47.427136],[3.972608,47.431925],[3.968221,47.4463],[3.974297,47.457472],[3.97231,47.462954],[3.995724,47.462471]]]}",89235,89,Magny (89),31/10,65,20 à 50,25 à 30,0 à 300
