dep,sexe,jour,Personnes hospitalisées,Personnes en réanimation,Personnes décédées (cumul),dep_ok
21,0,2020-03-18,60,16,0,21
21,0,2020-03-19,53,19,2,21
21,0,2020-03-20,82,31,3,21
21,0,2020-03-21,79,30,3,21
21,0,2020-03-22,101,31,4,21
21,0,2020-03-23,113,34,13,21
21,0,2020-03-24,114,34,22,21
21,0,2020-03-25,153,42,27,21
21,0,2020-03-26,163,40,32,21
21,0,2020-03-27,170,42,34,21
21,0,2020-03-28,202,45,35,21
21,0,2020-03-29,218,48,37,21
21,0,2020-03-30,211,46,37,21
21,0,2020-03-31,166,40,42,21
21,0,2020-04-01,190,44,45,21
21,0,2020-04-02,202,56,63,21
21,0,2020-04-03,212,62,67,21
21,0,2020-04-04,255,66,69,21
21,0,2020-04-05,259,65,73,21
21,0,2020-04-06,284,76,76,21
21,0,2020-04-07,307,79,83,21
21,0,2020-04-08,310,74,94,21
21,0,2020-04-09,290,73,95,21
21,0,2020-04-10,350,79,102,21
21,0,2020-04-11,325,72,106,21
21,0,2020-04-12,344,72,116,21
21,0,2020-04-13,340,73,119,21
21,0,2020-04-14,346,73,133,21
21,0,2020-04-15,361,78,141,21
21,0,2020-04-16,384,81,149,21
21,0,2020-04-17,380,74,154,21
21,0,2020-04-18,391,77,159,21
21,0,2020-04-19,367,66,165,21
21,0,2020-04-20,367,65,171,21
21,0,2020-04-21,366,63,178,21
21,0,2020-04-22,361,63,179,21
21,0,2020-04-23,340,56,189,21
21,0,2020-04-24,303,54,200,21
21,0,2020-04-25,292,59,203,21
21,0,2020-04-26,285,50,207,21
21,0,2020-04-27,288,52,213,21
21,0,2020-04-28,288,53,215,21
21,0,2020-04-29,285,54,217,21
21,0,2020-04-30,287,57,218,21
21,0,2020-05-01,274,56,218,21
21,0,2020-05-02,278,57,218,21
21,0,2020-05-03,276,57,220,21
21,0,2020-05-04,273,50,220,21
21,0,2020-05-05,267,34,221,21
21,0,2020-05-06,270,27,224,21
21,0,2020-05-07,244,28,227,21
21,0,2020-05-08,225,28,228,21
21,0,2020-05-09,226,27,230,21
21,0,2020-05-10,218,24,230,21
