Commune,Taux d'incidence,Taux de positivité
Armes (58),50 à 150,5 à 10
Pagny-le-Château (21),0 à 10,0 à 1
Fâchin (58),0 à 10,1 à 5
Prégilbert (89),1000 et plus,30 et plus
Villapourçon (58),10 à 20,0 à 1
Moussy (58),10 à 20,1 à 5
Dracy-lès-Couches (71),10 à 20,1 à 5
Les Nans (39),50 à 150,15 à 20
Cérilly (89),10 à 20,0 à 1
Saint-Père (89),1000 et plus,30 et plus
Saint-Andeux (21),250 à 500,10 à 15
Menoncourt (90),0 à 10,0 à 1
Lamargelle (21),0 à 10,0 à 1
Domecy-sur-le-Vault (89),20 à 50,1 à 5
Chaudenay-la-Ville (21),50 à 150,0 à 1
Magny-Lormes (58),0 à 10,1 à 5
Tazilly (58),10 à 20,1 à 5
Marcheseuil (21),0 à 10,0 à 1
Bévy (21),0 à 10,1 à 5
Ébaty (21),20 à 50,15 à 20
Villars-lès-Blamont (25),10 à 20,0 à 1
Beuvron (58),10 à 20,1 à 5
Thiénans (70),0 à 10,0 à 1
Aisy-sous-Thil (21),0 à 10,0 à 1
Septmoncel les Molunes (39),0 à 10,0 à 1
Verrey-sous-Drée (21),0 à 10,10 à 15
Magny (89),500 à 1000,10 à 15
Chancia (39),0 à 10,0 à 1
Merry-la-Vallée (89),50 à 150,20 à 25
Painblanc (21),50 à 150,30 et plus
Trucy-l'Orgueilleux (58),1000 et plus,25 à 30
Pouilly-sur-Saône (21),0 à 10,0 à 1
Ternant (21),0 à 10,1 à 5
Montret (71),10 à 20,1 à 5
Colombier (21),50 à 150,30 et plus
Villebichot (21),150 à 250,10 à 15
Châtellenot (21),0 à 10,10 à 15
Villars-sous-Écot (25),10 à 20,1 à 5
Bissey-la-Côte (21),0 à 10,1 à 5
Arcey (21),0 à 10,1 à 5
Vignoles (21),50 à 150,1 à 5
Norges-la-Ville (21),0 à 10,0 à 1
Tannay (58),0 à 10,0 à 1
Cognières (70),0 à 10,0 à 1
Beurey-Bauguay (21),0 à 10,5 à 10
Savigny-sous-Mâlain (21),0 à 10,10 à 15
Argiésans (90),0 à 10,0 à 1
Voutenay-sur-Cure (89),10 à 20,0 à 1
Préporché (58),10 à 20,0 à 1
Chastellux-sur-Cure (89),20 à 50,0 à 1
Neuchâtel-Urtière (25),10 à 20,5 à 10
Meilly-sur-Rouvres (21),0 à 10,5 à 10
Bellenod-sur-Seine (21),0 à 10,5 à 10
Saizy (58),10 à 20,1 à 5
Sainte-Sabine (21),0 à 10,0 à 1
La Frette (71),10 à 20,1 à 5
Bussières (21),0 à 10,0 à 1
Riel-les-Eaux (21),0 à 10,5 à 10
B½urs-en-Othe (89),500 à 1000,30 et plus
Parigny-la-Rose (58),0 à 10,0 à 1
Saint-Germain-des-Bois (58),10 à 20,0 à 1
Bierry-les-Belles-Fontaines (89),1000 et plus,15 à 20
Menades (89),50 à 150,15 à 20
Ozolles (71),10 à 20,0 à 1
Meslières (25),1000 et plus,30 et plus
Champlin (58),0 à 10,1 à 5
Broindon (21),0 à 10,0 à 1
Marcilly-Ogny (21),0 à 10,0 à 1
Marcy (58),0 à 10,1 à 5
Foncegrive (21),0 à 10,15 à 20
Saint-Sulpice (58),50 à 150,15 à 20
Villiers-en-Morvan (21),0 à 10,1 à 5
Samerey (21),0 à 10,5 à 10
Ouagne (58),50 à 150,1 à 5
Nan-sous-Thil (21),0 à 10,5 à 10
Morvillars (90),0 à 10,0 à 1
Talon (58),10 à 20,1 à 5
Juif (71),10 à 20,1 à 5
Autricourt (21),0 à 10,0 à 1
Bouze-lès-Beaune (21),50 à 150,1 à 5
Montigny-en-Morvan (58),1000 et plus,30 et plus
Étaule (89),20 à 50,0 à 1
Nuars (58),0 à 10,1 à 5
Thizy (89),1000 et plus,30 et plus
Thoisy-la-Berchère (21),0 à 10,1 à 5
Loulans-Verchamp (70),0 à 10,0 à 1
Diénay (21),0 à 10,1 à 5
Villecomte (21),0 à 10,0 à 1
Aloxe-Corton (21),0 à 10,0 à 1
Saulx-le-Duc (21),0 à 10,0 à 1
Bethonvilliers (90),0 à 10,0 à 1
Corgengoux (21),0 à 10,0 à 1
Montréal (89),1000 et plus,30 et plus
Magnien (21),0 à 10,0 à 1
Brazey-en-Morvan (21),0 à 10,0 à 1
Merceuil (21),50 à 150,5 à 10
Écuelle (70),50 à 150,10 à 15
Vianges (21),0 à 10,1 à 5
Saint-Maurice-lès-Châteauneuf (71),10 à 20,0 à 1
Mailly (71),0 à 10,10 à 15
Les Goulles (21),0 à 10,0 à 1
Corpeau (21),20 à 50,1 à 5
Rouvray (21),500 à 1000,30 et plus
Maligny (21),0 à 10,0 à 1
Tronchy (71),10 à 20,0 à 1
Vougeot (21),0 à 10,0 à 1
Surgy (58),1000 et plus,30 et plus
Angeot (90),0 à 10,0 à 1
Vitry-Laché (58),0 à 10,1 à 5
Bellecombe (39),0 à 10,0 à 1
Saint-Mesmin (21),0 à 10,15 à 20
Guillon-Terre-Plaine (89),1000 et plus,30 et plus
Aubigny-la-Ronce (21),0 à 10,0 à 1
Bazarnes (89),20 à 50,0 à 1
Saint-Révérien (58),0 à 10,0 à 1
Vandoncourt (25),50 à 150,1 à 5
Prenois (21),0 à 10,0 à 1
Étaules (21),0 à 10,0 à 1
Moissy-Moulinot (58),10 à 20,1 à 5
Goux-lès-Dambelin (25),20 à 50,10 à 15
Vieux-Château (21),250 à 500,5 à 10
Sussey (21),0 à 10,1 à 5
Saint-Parize-le-Châtel (58),0 à 10,1 à 5
Noidan (21),0 à 10,0 à 1
Champlemy (58),0 à 10,0 à 1
Nuits (89),20 à 50,1 à 5
Chaumot (89),10 à 20,1 à 5
Thoires (21),0 à 10,5 à 10
Belfahy (70),20 à 50,0 à 1
La Petite-Verrière (71),20 à 50,5 à 10
Druyes-les-Belles-Fontaines (89),10 à 20,5 à 10
Sépeaux-Saint Romain (89),20 à 50,1 à 5
Buc (90),0 à 10,0 à 1
La Bussière-sur-Ouche (21),50 à 150,1 à 5
Château-Chinon (Ville) (58),500 à 1000,15 à 20
Écurcey (25),10 à 20,0 à 1
Bussy-la-Pesle (58),0 à 10,1 à 5
Chevannes (21),0 à 10,1 à 5
Trambly (71),10 à 20,1 à 5
Semarey (21),0 à 10,0 à 1
Chevannes-Changy (58),10 à 20,1 à 5
Époisses (21),1000 et plus,30 et plus
Saint-Didier-en-Bresse (71),10 à 20,5 à 10
Oulon (58),0 à 10,1 à 5
Censerey (21),0 à 10,0 à 1
Beaulieu (21),0 à 10,10 à 15
Balot (21),0 à 10,1 à 5
Authiou (58),10 à 20,1 à 5
Montbozon (70),0 à 10,0 à 1
Épernay-sous-Gevrey (21),0 à 10,1 à 5
Molesme (21),0 à 10,0 à 1
Asnois (58),0 à 10,0 à 1
Roussillon-en-Morvan (71),10 à 20,10 à 15
Sommant (71),10 à 20,0 à 1
Colméry (58),0 à 10,0 à 1
Auvillars-sur-Saône (21),0 à 10,0 à 1
Fontaines (89),10 à 20,1 à 5
Beaumont-Sardolles (58),50 à 150,15 à 20
Courtivron (21),0 à 10,0 à 1
Novillard (90),0 à 10,0 à 1
Saint-Symphorien-sur-Saône (21),0 à 10,0 à 1
Petitefontaine (90),0 à 10,0 à 1
Bellefond (21),0 à 10,0 à 1
Auxey-Duresses (21),50 à 150,1 à 5
Saint-Martin-de-Lixy (71),10 à 20,10 à 15
Vic-sous-Thil (21),0 à 10,0 à 1
Arthonnay (89),10 à 20,1 à 5
Les Bouchoux (39),0 à 10,0 à 1
Rouvres-sous-Meilly (21),0 à 10,5 à 10
Fléty (58),0 à 10,0 à 1
Vaux-Saules (21),0 à 10,0 à 1
Baron (71),10 à 20,1 à 5
Boncourt-le-Bois (21),50 à 150,15 à 20
Juillenay (21),0 à 10,0 à 1
Fontenay-près-Vézelay (89),1000 et plus,30 et plus
Aubaine (21),50 à 150,30 et plus
Lent (39),50 à 150,0 à 1
Saint-Hilaire-en-Morvan (58),10 à 20,0 à 1
Planchez (58),0 à 10,0 à 1
Mhère (58),500 à 1000,10 à 15
Vieilmoulin (21),0 à 10,0 à 1
Épagny (21),0 à 10,0 à 1
Bondeval (25),1000 et plus,30 et plus
Gergueil (21),0 à 10,1 à 5
Sauvigny-le-Beuréal (89),500 à 1000,10 à 15
Billy-Chevannes (58),50 à 150,1 à 5
Cussy-la-Colonne (21),150 à 250,30 et plus
Gouloux (58),10 à 20,1 à 5
Antigny-la-Ville (21),0 à 10,0 à 1
Boudreville (21),0 à 10,1 à 5
Moloy (21),0 à 10,1 à 5
Chamb½uf (21),0 à 10,0 à 1
Auxy (71),10 à 20,0 à 1
Salives (21),0 à 10,5 à 10
Veuxhaulles-sur-Aube (21),0 à 10,0 à 1
Anost (71),10 à 20,0 à 1
Foissy-lès-Vézelay (89),150 à 250,20 à 25
Besnans (70),0 à 10,0 à 1
Chorey-les-Beaune (21),50 à 150,1 à 5
Vassy-sous-Pisy (89),1000 et plus,30 et plus
Martrois (21),0 à 10,0 à 1
Saint-Brancher (89),1000 et plus,25 à 30
Champagny (21),0 à 10,5 à 10
Lacanche (21),500 à 1000,30 et plus
Saulieu (21),250 à 500,20 à 25
Chitry (89),20 à 50,0 à 1
Civry-en-Montagne (21),0 à 10,10 à 15
Verdonnet (21),0 à 10,1 à 5
Bessey-la-Cour (21),50 à 150,30 et plus
Guipy (58),0 à 10,1 à 5
Sardy-lès-Épiry (58),10 à 20,1 à 5
Glanon (21),0 à 10,0 à 1
Esbarres (21),500 à 1000,30 et plus
Andryes (89),50 à 150,10 à 15
Fontenay (71),10 à 20,5 à 10
Blaisy-Haut (21),0 à 10,10 à 15
Châteauneuf (21),0 à 10,5 à 10
Missery (21),0 à 10,0 à 1
Dompierre-les-Ormes (71),10 à 20,1 à 5
Hauteville-lès-Dijon (21),0 à 10,0 à 1
Lesme (71),10 à 20,5 à 10
Lacour-d'Arcenay (21),0 à 10,1 à 5
Charigny (21),0 à 10,1 à 5
Festigny (89),50 à 150,1 à 5
Genay (21),0 à 10,0 à 1
Poncey-sur-l'Ignon (21),0 à 10,5 à 10
La Comelle (71),10 à 20,10 à 15
Challement (58),0 à 10,1 à 5
Levernois (21),1000 et plus,20 à 25
Lamarche-sur-Saône (21),0 à 10,0 à 1
Montreuillon (58),500 à 1000,30 et plus
Arcenant (21),50 à 150,5 à 10
Chasnay (58),0 à 10,0 à 1
Cézy (89),10 à 20,1 à 5
Sermizelles (89),50 à 150,1 à 5
Alligny-en-Morvan (58),10 à 20,0 à 1
Grosbois-lès-Tichey (21),0 à 10,1 à 5
Mont-Saint-Jean (21),0 à 10,0 à 1
Monceaux-le-Comte (58),0 à 10,0 à 1
Coulanges-sur-Yonne (89),150 à 250,5 à 10
Frasnay-Reugny (58),50 à 150,1 à 5
Glux-en-Glenne (58),10 à 20,5 à 10
Saint-Didier (58),0 à 10,0 à 1
Mavilly-Mandelot (21),50 à 150,25 à 30
Taillecourt (25),250 à 500,10 à 15
Sainte-Magnance (89),1000 et plus,15 à 20
Savigny-lès-Beaune (21),250 à 500,15 à 20
Saint-André-en-Terre-Plaine (89),1000 et plus,15 à 20
Duesme (21),0 à 10,5 à 10
Magny-Cours (58),10 à 20,0 à 1
Darois (21),0 à 10,0 à 1
Baulme-la-Roche (21),0 à 10,1 à 5
Roche-sur-Linotte-et-Sorans-les-Cordiers (70),0 à 10,0 à 1
Précy-sur-Vrin (89),20 à 50,1 à 5
Courcelles-lès-Semur (21),0 à 10,0 à 1
Frénois (21),0 à 10,0 à 1
Montreux-Château (90),0 à 10,0 à 1
Germigny-sur-Loire (58),0 à 10,0 à 1
Brinon-sur-Beuvron (58),10 à 20,0 à 1
Saint-Martin-de-Commune (71),10 à 20,0 à 1
Cruzy-le-Châtel (89),10 à 20,1 à 5
Vermenton (89),20 à 50,1 à 5
Combertault (21),50 à 150,1 à 5
Bois-d'Arcy (89),20 à 50,1 à 5
Bretagne (90),0 à 10,0 à 1
Brebotte (90),0 à 10,0 à 1
Sainte-Marie-la-Blanche (21),50 à 150,5 à 10
Grenois (58),10 à 20,1 à 5
Onlay (58),0 à 10,5 à 10
Villiers-le-Sec (58),10 à 20,1 à 5
Dornecy (58),500 à 1000,25 à 30
Premeaux-Prissey (21),150 à 250,10 à 15
Empury (58),500 à 1000,15 à 20
Chailly-sur-Armançon (21),0 à 10,0 à 1
Anthien (58),10 à 20,1 à 5
La Nocle-Maulaix (58),10 à 20,1 à 5
Pisy (89),1000 et plus,30 et plus
Servance-Miellin (70),0 à 10,0 à 1
Vauthiermont (90),1000 et plus,30 et plus
Billy-sur-Oisy (58),1000 et plus,30 et plus
Fours (58),10 à 20,0 à 1
Breugnon (58),0 à 10,0 à 1
Chambolle-Musigny (21),0 à 10,1 à 5
Louesme (21),0 à 10,1 à 5
Source-Seine (21),0 à 10,5 à 10
Turcey (21),0 à 10,5 à 10
Marcigny-sous-Thil (21),0 à 10,5 à 10
Saint-Jean-aux-Amognes (58),50 à 150,15 à 20
Courlon (21),0 à 10,10 à 15
Entrains-sur-Nohain (58),10 à 20,0 à 1
Mouffy (89),20 à 50,0 à 1
Bellenot-sous-Pouilly (21),0 à 10,0 à 1
Limon (58),1000 et plus,30 et plus
Dompierre-sur-Nièvre (58),0 à 10,1 à 5
Champlitte (70),250 à 500,15 à 20
Fouronnes (89),20 à 50,5 à 10
La Bruyère (70),150 à 250,5 à 10
Montbouton (90),0 à 10,0 à 1
Badevel (25),500 à 1000,25 à 30
Poiseul-la-Grange (21),1000 et plus,30 et plus
Bessy-sur-Cure (89),20 à 50,0 à 1
Écot (25),10 à 20,0 à 1
Villegaudin (71),10 à 20,5 à 10
Annéot (89),50 à 150,1 à 5
Curtil-Vergy (21),0 à 10,0 à 1
La Postolle (89),10 à 20,1 à 5
Saint-Honoré-les-Bains (58),10 à 20,0 à 1
Tannerre-en-Puisaye (89),10 à 20,0 à 1
Saint-Malo-en-Donziois (58),10 à 20,1 à 5
Saint-Anthot (21),0 à 10,5 à 10
Blismes (58),0 à 10,0 à 1
Saussey (21),150 à 250,30 et plus
Chaudenay-le-Château (21),50 à 150,30 et plus
Quemigny-sur-Seine (21),0 à 10,5 à 10
Montot (21),0 à 10,0 à 1
Magny-la-Ville (21),0 à 10,0 à 1
Crain (89),50 à 150,30 et plus
Avot (21),0 à 10,10 à 15
Ménessaire (21),0 à 10,0 à 1
Cizely (58),50 à 150,15 à 20
Saint-Clément (89),1000 et plus,10 à 15
Arcy-sur-Cure (89),10 à 20,0 à 1
Sennevoy-le-Bas (89),250 à 500,20 à 25
Chaignay (21),0 à 10,1 à 5
Fontenois-lès-Montbozon (70),0 à 10,0 à 1
Ternant (58),10 à 20,1 à 5
Breuchotte (70),150 à 250,15 à 20
Messanges (21),0 à 10,1 à 5
Lain (89),20 à 50,0 à 1
Châtel-Censoir (89),500 à 1000,25 à 30
Labruyère (21),0 à 10,1 à 5
Frais (90),0 à 10,0 à 1
Sainte-Marie-sur-Ouche (21),0 à 10,0 à 1
Saint-Gervais-sur-Couches (71),10 à 20,0 à 1
Avrée (58),0 à 10,0 à 1
Les Bordes (89),10 à 20,1 à 5
Dracy-Saint-Loup (71),10 à 20,5 à 10
Clomot (21),0 à 10,1 à 5
Corcelles-lès-Cîteaux (21),0 à 10,0 à 1
Dracy (89),20 à 50,0 à 1
Hautefond (71),10 à 20,0 à 1
Corgoloin (21),150 à 250,5 à 10
Bey (71),0 à 10,0 à 1
Ormenans (70),0 à 10,0 à 1
Sainte-Marie (25),20 à 50,0 à 1
Cussy-en-Morvan (71),500 à 1000,30 et plus
Asnan (58),10 à 20,1 à 5
Gien-sur-Cure (58),10 à 20,1 à 5
Montsauche-les-Settons (58),10 à 20,0 à 1
Recouvrance (90),0 à 10,0 à 1
Drée (21),0 à 10,15 à 20
Gevrolles (21),0 à 10,0 à 1
Armeau (89),10 à 20,0 à 1
Savigny-sur-Seille (71),10 à 20,1 à 5
Arleuf (58),10 à 20,0 à 1
Villars-Fontaine (21),50 à 150,15 à 20
Liernais (21),0 à 10,0 à 1
Lavault-de-Frétoy (58),10 à 20,1 à 5
Mandeure (25),250 à 500,15 à 20
Mailly-le-Château (89),20 à 50,1 à 5
Longecourt-lès-Culêtre (21),0 à 10,1 à 5
Mont (71),10 à 20,5 à 10
Tanlay (89),1000 et plus,30 et plus
Lantilly (21),0 à 10,0 à 1
Perrigny (89),50 à 150,1 à 5
Culètre (21),0 à 10,1 à 5
Saussy (21),0 à 10,10 à 15
Pagny-la-Ville (21),0 à 10,0 à 1
Champrenault (21),0 à 10,25 à 30
Viévy (21),0 à 10,1 à 5
Vic-des-Prés (21),50 à 150,30 et plus
Lagrange (90),0 à 10,0 à 1
Raddon-et-Chapendu (70),150 à 250,15 à 20
Foussemagne (90),1000 et plus,30 et plus
Voudenay (21),0 à 10,0 à 1
Saint-Maurice-en-Rivière (71),10 à 20,1 à 5
Menestreau (58),10 à 20,0 à 1
Semezanges (21),0 à 10,1 à 5
Santosse (21),0 à 10,10 à 15
Corberon (21),0 à 10,1 à 5
Saint-Martin-du-Puy (58),500 à 1000,5 à 10
Cussy-le-Châtel (21),0 à 10,0 à 1
Saulon-la-Rue (21),0 à 10,0 à 1
Bouix (21),0 à 10,1 à 5
Dommartin (58),10 à 20,0 à 1
Vaumort (89),10 à 20,0 à 1
Dannemarie (25),20 à 50,1 à 5
Ruages (58),10 à 20,1 à 5
Vignol (58),10 à 20,0 à 1
Jeux-lès-Bard (21),250 à 500,20 à 25
Cordesse (71),10 à 20,0 à 1
Origny (21),0 à 10,0 à 1
Bussy-la-Pesle (21),1000 et plus,30 et plus
Framont (70),50 à 150,5 à 10
Échevannes (21),0 à 10,0 à 1
Dompierre-en-Morvan (21),0 à 10,0 à 1
Reppe (90),0 à 10,0 à 1
Aisy-sur-Armançon (89),20 à 50,0 à 1
Brosses (89),10 à 20,1 à 5
Issans (25),150 à 250,30 et plus
Le Val-Larrey (21),0 à 10,1 à 5
Saint-André-en-Bresse (71),0 à 10,0 à 1
Arzembouy (58),10 à 20,1 à 5
Tancon (71),10 à 20,0 à 1
Villedieu (21),0 à 10,1 à 5
Quincerot (89),10 à 20,1 à 5
Aignay-le-Duc (21),0 à 10,0 à 1
Thory (89),50 à 150,1 à 5
Sacquenay (21),0 à 10,0 à 1
Trivy (71),10 à 20,5 à 10
Berche (25),50 à 150,1 à 5
