jour,P,pop,positif_7j,taux_incid_7j
2020-08-24,146,2783039.0,626.0,22.493396607090308
2020-08-25,129,2783039.0,661.0,23.7510146282535
2020-08-26,146,2783039.0,724.0,26.014727066347255
2020-08-27,171,2783039.0,810.0,29.104874204062536
2020-08-28,187,2783039.0,881.0,31.656042189850737
2020-08-29,85,2783039.0,901.0,32.374681059086846
2020-08-30,34,2783039.0,898.0,32.26688522870143
2020-08-31,194,2783039.0,946.0,33.9916185148681
2020-09-01,189,2783039.0,1006.0,36.147535122576436
2020-09-02,170,2783039.0,1030.0,37.00990176565977
2020-09-03,189,2783039.0,1048.0,37.65667674797227
2020-09-04,229,2783039.0,1090.0,39.165818373368104
2020-09-05,117,2783039.0,1122.0,40.31564056414589
2020-09-06,45,2783039.0,1133.0,40.71089194222574
2020-09-07,278,2783039.0,1217.0,43.72917519301742
2020-09-08,273,2783039.0,1301.0,46.74745844380909
2020-09-09,203,2783039.0,1334.0,47.933212578048675
2020-09-10,278,2783039.0,1423.0,51.13115554614937
2020-09-11,295,2783039.0,1489.0,53.50266381462855
2020-09-12,157,2783039.0,1529.0,54.93994155310076
2020-09-13,66,2783039.0,1550.0,55.69451236579868
2020-09-14,336,2783039.0,1608.0,57.778565086583406
2020-09-15,272,2783039.0,1607.0,57.7426331431216
2020-09-16,309,2783039.0,1713.0,61.551419150072995
2020-09-17,338,2783039.0,1773.0,63.70733575778133
2020-09-18,322,2783039.0,1800.0,64.67749823125008
2020-09-19,141,2783039.0,1784.0,64.1025871358612
2020-09-20,76,2783039.0,1794.0,64.46190657047926
2020-09-21,348,2783039.0,1806.0,64.89308989202091
2020-09-22,351,2783039.0,1885.0,67.73171342550356
2020-09-23,313,2783039.0,1889.0,67.87544119935079
2020-09-24,351,2783039.0,1902.0,68.34255646435425
2020-09-25,270,2783039.0,1850.0,66.47409540434036
2020-09-26,162,2783039.0,1871.0,67.22866621703828
2020-09-27,44,2783039.0,1839.0,66.07884402626051
2020-09-28,327,2783039.0,1818.0,65.32427321356258
2020-09-29,279,2783039.0,1746.0,62.73717328431258
2020-09-30,370,2783039.0,1803.0,64.7852940616355
2020-10-01,327,2783039.0,1779.0,63.92292741855217
