dep,jour,P,T,cl_age90,taux_positivite_quotidien,positifs_7j,tests_7j,taux_positivite_7j
39,2020-05-13,0,140,0,0.0,,,
39,2020-05-14,0,126,0,0.0,,,
39,2020-05-15,6,144,0,4.166666666666666,,,
39,2020-05-16,0,39,0,0.0,,,
39,2020-05-17,1,31,0,3.225806451612903,,,
39,2020-05-18,0,97,0,0.0,,,
39,2020-05-19,1,183,0,0.546448087431694,8.0,760.0,1.0526315789473684
39,2020-05-20,2,171,0,1.1695906432748537,10.0,791.0,1.2642225031605563
39,2020-05-21,2,44,0,4.545454545454546,12.0,709.0,1.692524682651622
39,2020-05-22,7,186,0,3.763440860215054,13.0,751.0,1.7310252996005324
39,2020-05-23,0,84,0,0.0,13.0,796.0,1.6331658291457287
39,2020-05-24,0,34,0,0.0,12.0,799.0,1.5018773466833542
39,2020-05-25,3,186,0,1.6129032258064515,15.0,888.0,1.6891891891891893
39,2020-05-26,0,146,0,0.0,14.0,851.0,1.645123384253819
39,2020-05-27,0,159,0,0.0,12.0,839.0,1.430274135876043
39,2020-05-28,0,105,0,0.0,10.0,900.0,1.1111111111111112
39,2020-05-29,0,98,0,0.0,3.0,812.0,0.3694581280788177
39,2020-05-30,0,56,0,0.0,3.0,784.0,0.3826530612244898
39,2020-05-31,0,12,0,0.0,3.0,762.0,0.39370078740157477
39,2020-06-01,0,17,0,0.0,0.0,593.0,0.0
39,2020-06-02,0,119,0,0.0,0.0,566.0,0.0
39,2020-06-03,0,105,0,0.0,0.0,512.0,0.0
39,2020-06-04,1,244,0,0.4098360655737705,1.0,651.0,0.15360983102918588
39,2020-06-05,0,141,0,0.0,1.0,694.0,0.1440922190201729
39,2020-06-06,0,54,0,0.0,1.0,692.0,0.1445086705202312
39,2020-06-07,0,10,0,0.0,1.0,690.0,0.14492753623188406
39,2020-06-08,1,99,0,1.0101010101010102,2.0,772.0,0.2590673575129534
39,2020-06-09,1,136,0,0.7352941176470588,3.0,789.0,0.38022813688212925
39,2020-06-10,1,116,0,0.8620689655172413,4.0,800.0,0.5
39,2020-06-11,1,97,0,1.0309278350515463,4.0,653.0,0.6125574272588056
39,2020-06-12,0,127,0,0.0,4.0,639.0,0.6259780907668232
39,2020-06-13,0,78,0,0.0,4.0,663.0,0.603318250377074
39,2020-06-14,0,15,0,0.0,4.0,668.0,0.5988023952095809
39,2020-06-15,0,98,0,0.0,3.0,667.0,0.4497751124437781
39,2020-06-16,3,163,0,1.8404907975460123,5.0,694.0,0.7204610951008645
39,2020-06-17,2,107,0,1.8691588785046727,6.0,685.0,0.8759124087591241
39,2020-06-18,0,89,0,0.0,5.0,677.0,0.7385524372230428
39,2020-06-19,0,119,0,0.0,5.0,669.0,0.7473841554559043
39,2020-06-20,0,53,0,0.0,5.0,644.0,0.7763975155279503
39,2020-06-21,0,16,0,0.0,5.0,645.0,0.7751937984496124
39,2020-06-22,2,98,0,2.0408163265306123,7.0,645.0,1.0852713178294573
39,2020-06-23,2,113,0,1.7699115044247788,6.0,595.0,1.0084033613445378
39,2020-06-24,0,132,0,0.0,4.0,620.0,0.6451612903225806
39,2020-06-25,1,117,0,0.8547008547008548,5.0,648.0,0.7716049382716049
39,2020-06-26,1,119,0,0.8403361344537815,6.0,648.0,0.9259259259259258
39,2020-06-27,0,67,0,0.0,6.0,662.0,0.906344410876133
39,2020-06-28,2,19,0,10.526315789473683,8.0,665.0,1.2030075187969926
39,2020-06-29,2,175,0,1.1428571428571428,8.0,742.0,1.078167115902965
39,2020-06-30,0,211,0,0.0,6.0,840.0,0.7142857142857143
39,2020-07-01,2,184,0,1.0869565217391304,8.0,892.0,0.8968609865470852
39,2020-07-02,1,372,0,0.2688172043010753,8.0,1147.0,0.6974716652136007
39,2020-07-03,1,452,0,0.22123893805309736,8.0,1480.0,0.5405405405405406
39,2020-07-04,1,124,0,0.8064516129032258,9.0,1537.0,0.5855562784645413
39,2020-07-05,1,51,0,1.9607843137254901,8.0,1569.0,0.5098789037603569
39,2020-07-06,0,167,0,0.0,6.0,1561.0,0.38436899423446513
39,2020-07-07,1,193,0,0.5181347150259068,7.0,1543.0,0.45366169799092676
39,2020-07-08,2,297,0,0.6734006734006733,7.0,1656.0,0.4227053140096618
39,2020-07-09,1,456,0,0.21929824561403508,7.0,1740.0,0.40229885057471265
39,2020-07-10,6,725,0,0.8275862068965517,12.0,2013.0,0.5961251862891207
39,2020-07-11,0,114,0,0.0,11.0,2003.0,0.5491762356465303
39,2020-07-12,0,29,0,0.0,10.0,1981.0,0.5047955577990914
39,2020-07-13,3,227,0,1.3215859030837005,13.0,2041.0,0.6369426751592357
39,2020-07-14,0,31,0,0.0,12.0,1879.0,0.6386375731772219
39,2020-07-15,0,208,0,0.0,10.0,1790.0,0.5586592178770949
39,2020-07-16,1,273,0,0.3663003663003663,10.0,1607.0,0.6222775357809583
39,2020-07-17,7,599,0,1.1686143572621035,11.0,1481.0,0.7427413909520594
39,2020-07-18,2,161,0,1.2422360248447204,13.0,1528.0,0.8507853403141361
39,2020-07-19,4,49,0,8.16326530612245,17.0,1548.0,1.0981912144702841
39,2020-07-20,3,431,0,0.6960556844547563,17.0,1752.0,0.9703196347031963
39,2020-07-21,2,243,0,0.823045267489712,19.0,1964.0,0.9674134419551934
39,2020-07-22,0,456,0,0.0,19.0,2212.0,0.8589511754068716
39,2020-07-23,4,305,0,1.3114754098360655,22.0,2244.0,0.9803921568627451
39,2020-07-24,6,382,0,1.5706806282722512,21.0,2027.0,1.0360138135175136
39,2020-07-25,1,155,0,0.6451612903225806,20.0,2021.0,0.9896091044037605
39,2020-07-26,1,38,0,2.631578947368421,17.0,2010.0,0.845771144278607
39,2020-07-27,3,211,0,1.4218009478672986,17.0,1790.0,0.9497206703910615
39,2020-07-28,0,234,0,0.0,15.0,1781.0,0.8422234699606962
39,2020-07-29,2,260,0,0.7692307692307693,17.0,1585.0,1.0725552050473186
39,2020-07-30,0,330,0,0.0,13.0,1610.0,0.8074534161490683
39,2020-07-31,0,397,0,0.0,7.0,1625.0,0.43076923076923074
39,2020-08-01,1,109,0,0.9174311926605505,7.0,1579.0,0.44331855604813175
39,2020-08-02,0,30,0,0.0,6.0,1571.0,0.3819223424570337
39,2020-08-03,1,196,0,0.5102040816326531,4.0,1556.0,0.2570694087403599
39,2020-08-04,1,270,0,0.3703703703703704,5.0,1592.0,0.314070351758794
39,2020-08-05,2,176,0,1.1363636363636365,5.0,1508.0,0.33156498673740054
39,2020-08-06,1,199,0,0.5025125628140703,6.0,1377.0,0.4357298474945534
39,2020-08-07,6,228,0,2.631578947368421,12.0,1208.0,0.9933774834437087
39,2020-08-08,3,104,0,2.8846153846153846,14.0,1203.0,1.1637572734829593
39,2020-08-09,0,38,0,0.0,14.0,1211.0,1.1560693641618496
39,2020-08-10,2,159,0,1.257861635220126,15.0,1174.0,1.2776831345826234
39,2020-08-11,2,225,0,0.8888888888888888,16.0,1129.0,1.41718334809566
39,2020-08-12,3,167,0,1.7964071856287425,17.0,1120.0,1.5178571428571428
39,2020-08-13,2,182,0,1.098901098901099,18.0,1103.0,1.6319129646418857
39,2020-08-14,6,252,0,2.380952380952381,18.0,1127.0,1.5971606033717833
39,2020-08-15,1,54,0,1.8518518518518516,16.0,1077.0,1.4856081708449396
39,2020-08-16,2,40,0,5.0,18.0,1079.0,1.6682113067655238
39,2020-08-17,5,274,0,1.824817518248175,21.0,1194.0,1.7587939698492463
39,2020-08-18,7,291,0,2.405498281786942,26.0,1260.0,2.0634920634920633
39,2020-08-19,3,312,0,0.9615384615384616,26.0,1405.0,1.8505338078291813
39,2020-08-20,7,360,0,1.9444444444444444,31.0,1583.0,1.9583070120025268
39,2020-08-21,7,400,0,1.7500000000000002,32.0,1731.0,1.848642403235124
39,2020-08-22,4,224,0,1.7857142857142856,35.0,1901.0,1.841136244082062
39,2020-08-23,0,59,0,0.0,33.0,1920.0,1.7187500000000002
39,2020-08-24,6,339,0,1.7699115044247788,34.0,1985.0,1.712846347607053
39,2020-08-25,5,312,0,1.6025641025641024,32.0,2006.0,1.5952143569292123
39,2020-08-26,7,469,0,1.4925373134328357,36.0,2163.0,1.6643550624133148
39,2020-08-27,9,455,0,1.9780219780219779,38.0,2258.0,1.6829052258635961
39,2020-08-28,12,561,0,2.13903743315508,43.0,2419.0,1.7775940471269118
39,2020-08-29,7,280,0,2.5,46.0,2475.0,1.8585858585858588
39,2020-08-30,1,84,0,1.1904761904761905,47.0,2500.0,1.8800000000000001
39,2020-08-31,6,447,0,1.342281879194631,47.0,2608.0,1.8021472392638036
39,2020-09-01,18,553,0,3.25497287522604,60.0,2849.0,2.106002106002106
39,2020-09-02,7,377,0,1.8567639257294428,60.0,2757.0,2.176278563656148
39,2020-09-03,5,355,0,1.4084507042253522,56.0,2657.0,2.107640195709447
39,2020-09-04,17,483,0,3.5196687370600417,61.0,2579.0,2.365257851880574
39,2020-09-05,6,321,0,1.8691588785046727,60.0,2620.0,2.2900763358778624
39,2020-09-06,3,75,0,4.0,62.0,2611.0,2.3745691306013024
39,2020-09-07,5,335,0,1.4925373134328357,61.0,2499.0,2.4409763905562225
39,2020-09-08,16,482,0,3.319502074688797,59.0,2428.0,2.42998352553542
39,2020-09-09,10,637,0,1.5698587127158554,62.0,2688.0,2.306547619047619
39,2020-09-10,8,520,0,1.5384615384615385,65.0,2853.0,2.278303540133193
39,2020-09-11,13,618,0,2.103559870550162,61.0,2988.0,2.0414993306559572
39,2020-09-12,16,456,0,3.508771929824561,71.0,3123.0,2.2734550112071727
39,2020-09-13,6,92,0,6.521739130434782,74.0,3140.0,2.3566878980891723
39,2020-09-14,14,616,0,2.272727272727273,83.0,3421.0,2.4261911721718796
39,2020-09-15,10,674,0,1.483679525222552,77.0,3613.0,2.131192914475505
39,2020-09-16,18,756,0,2.380952380952381,85.0,3732.0,2.277599142550911
39,2020-09-17,16,690,0,2.318840579710145,93.0,3902.0,2.383393131727319
39,2020-09-18,14,556,0,2.5179856115107913,94.0,3840.0,2.4479166666666665
39,2020-09-19,4,327,0,1.2232415902140672,82.0,3711.0,2.2096469954190243
39,2020-09-20,1,39,0,2.564102564102564,77.0,3658.0,2.104975396391471
39,2020-09-21,22,539,0,4.081632653061225,85.0,3581.0,2.3736386484222285
39,2020-09-22,26,573,0,4.537521815008725,101.0,3480.0,2.902298850574713
39,2020-09-23,20,529,0,3.780718336483932,103.0,3253.0,3.166308023363049
39,2020-09-24,26,498,0,5.220883534136546,113.0,3061.0,3.691604050963737
39,2020-09-25,19,443,0,4.288939051918736,118.0,2948.0,4.002713704206242
39,2020-09-26,11,230,0,4.782608695652174,125.0,2851.0,4.384426517011574
39,2020-09-27,2,42,0,4.761904761904762,126.0,2854.0,4.414856341976174
39,2020-09-28,18,363,0,4.958677685950414,122.0,2678.0,4.5556385362210605
39,2020-09-29,21,485,0,4.329896907216495,117.0,2590.0,4.517374517374517
39,2020-09-30,15,498,0,3.0120481927710845,112.0,2559.0,4.376709652207893
39,2020-10-01,23,489,0,4.703476482617587,109.0,2550.0,4.2745098039215685
39,2020-10-02,29,462,0,6.277056277056277,119.0,2569.0,4.632152588555858
39,2020-10-03,28,300,0,9.333333333333334,136.0,2639.0,5.15346722243274
39,2020-10-04,0,73,0,0.0,134.0,2670.0,5.0187265917602994
39,2020-10-05,20,420,0,4.761904761904762,136.0,2727.0,4.987165383204987
39,2020-10-06,32,493,0,6.490872210953347,147.0,2735.0,5.374771480804387
39,2020-10-07,36,464,0,7.758620689655173,168.0,2701.0,6.219918548685672
39,2020-10-08,36,480,0,7.5,181.0,2692.0,6.723625557206538
39,2020-10-09,75,577,0,12.99826689774697,227.0,2807.0,8.086925543284645
39,2020-10-10,39,357,0,10.92436974789916,238.0,2864.0,8.310055865921788
39,2020-10-11,5,62,0,8.064516129032258,243.0,2853.0,8.517350157728707
39,2020-10-12,69,529,0,13.043478260869565,292.0,2962.0,9.858203916272789
39,2020-10-13,103,693,0,14.862914862914863,363.0,3162.0,11.480075901328274
39,2020-10-14,110,766,0,14.360313315926893,437.0,3464.0,12.615473441108547
39,2020-10-15,117,807,0,14.49814126394052,518.0,3791.0,13.663940912687945
39,2020-10-16,152,830,0,18.313253012048193,595.0,4044.0,14.713155291790306
39,2020-10-17,71,572,0,12.412587412587413,627.0,4259.0,14.72176567269312
39,2020-10-18,14,96,0,14.583333333333334,636.0,4293.0,14.814814814814813
39,2020-10-19,176,822,0,21.41119221411192,743.0,4586.0,16.201482773658963
39,2020-10-20,262,1145,0,22.882096069868997,902.0,5038.0,17.903930131004365
