geometry,INSEE_COM,INSEE_DEP,INSEE_REG,CODE_EPCI,POPULATION,NOM_COM
"{""type"":""Polygon"",""coordinates"":[[[5.310031,46.921247],[5.292492,46.940787],[5.262011,46.927388],[5.262403,46.912901],[5.278636,46.908204],[5.312078,46.911651],[5.310031,46.921247]]]}",71207,71,27,247100647,287,Fretterans
"{""type"":""Polygon"",""coordinates"":[[[3.747647,47.060198],[3.761227,47.07068],[3.778715,47.073067],[3.769993,47.094078],[3.789854,47.106856],[3.773522,47.113967],[3.741311,47.103077],[3.736796,47.090177],[3.736265,47.071024],[3.747647,47.060198]]]}",58076,58,27,200067882,76,Chougny
"{""type"":""Polygon"",""coordinates"":[[[6.058597,47.564314],[6.03487,47.58182],[5.992519,47.562002],[5.995629,47.540518],[6.014758,47.535411],[6.058597,47.564314]]]}",70452,70,27,247000367,268,Rosey
"{""type"":""Polygon"",""coordinates"":[[[5.84168,46.540034],[5.817799,46.507338],[5.808314,46.485914],[5.82391,46.48333],[5.829024,46.482138],[5.84615,46.48133],[5.862733,46.492214],[5.899749,46.465751],[5.929475,46.487568],[5.920794,46.498614],[5.90101,46.493349],[5.878538,46.501089],[5.857711,46.517249],[5.862454,46.538166],[5.8518,46.54434],[5.84168,46.540034]]]}",39130,39,27,243900610,806,Nanchez
"{""type"":""Polygon"",""coordinates"":[[[6.212788,47.394065],[6.185953,47.393503],[6.19053,47.373276],[6.200214,47.36944],[6.212788,47.394065]]]}",25491,25,27,242504447,116,Rignosot
"{""type"":""Polygon"",""coordinates"":[[[5.492651,46.611363],[5.462791,46.624449],[5.468048,46.605325],[5.492651,46.611363]]]}",39474,39,27,200072056,355,Sainte-Agnès
"{""type"":""Polygon"",""coordinates"":[[[3.734272,46.554358],[3.741892,46.539111],[3.768659,46.53932],[3.780669,46.52836],[3.811348,46.520518],[3.812637,46.536543],[3.836353,46.557801],[3.825565,46.572819],[3.809424,46.571006],[3.794699,46.569346],[3.764784,46.552541],[3.734272,46.554358]]]}",71220,71,27,200070316,487,Gilly-sur-Loire
"{""type"":""Polygon"",""coordinates"":[[[5.982206,47.834504],[6.000387,47.818929],[6.017021,47.82756],[6.011229,47.854598],[5.998431,47.851447],[5.995181,47.848445],[5.982206,47.834504]]]}",70545,70,27,200041879,136,Venisey
"{""type"":""Polygon"",""coordinates"":[[[6.030208,47.425142],[6.014399,47.408006],[6.028036,47.385382],[6.029935,47.382495],[6.050184,47.37625],[6.081085,47.376376],[6.081828,47.387268],[6.052976,47.412703],[6.030208,47.425142]]]}",70493,70,27,247000706,441,Sorans-lès-Breurey
"{""type"":""Polygon"",""coordinates"":[[[3.660857,47.652227],[3.658783,47.644836],[3.676216,47.625352],[3.702944,47.627424],[3.711771,47.631728],[3.700948,47.639426],[3.660857,47.652227]]]}",89314,89,27,200067080,181,Prégilbert
"{""type"":""Polygon"",""coordinates"":[[[6.130547,46.71949],[6.102664,46.724087],[6.098724,46.737517],[6.076246,46.749295],[6.07448,46.746434],[6.067811,46.736917],[6.095084,46.728485],[6.113029,46.707853],[6.130547,46.71949]]]}",39237,39,27,200069623,49,Fraroz
"{""type"":""Polygon"",""coordinates"":[[[3.93203,46.972338],[3.919961,46.952333],[3.917708,46.922075],[3.904876,46.913473],[3.892588,46.893843],[3.902445,46.887588],[3.925339,46.893866],[3.922521,46.903212],[3.946954,46.916665],[3.997125,46.908347],[4.012045,46.921898],[4.017494,46.931033],[3.987921,46.960771],[3.985139,46.981416],[3.955519,46.983546],[3.93203,46.972338]]]}",58309,58,27,200067882,415,Villapourçon
"{""type"":""Polygon"",""coordinates"":[[[4.547792,47.624124],[4.572024,47.656791],[4.573651,47.662569],[4.482629,47.661235],[4.486274,47.658811],[4.507335,47.655991],[4.508192,47.634606],[4.547792,47.624124]]]}",21276,21,27,242101434,120,Fontaines-en-Duesmois
"{""type"":""Polygon"",""coordinates"":[[[5.978748,47.399143],[6.014399,47.408006],[6.030208,47.425142],[6.005508,47.427335],[5.986457,47.434639],[5.985882,47.434729],[5.973803,47.400634],[5.978748,47.399143]]]}",70355,70,27,247000706,285,Montarlot-lès-Rioz
"{""type"":""Polygon"",""coordinates"":[[[4.86252,47.270356],[4.896527,47.275429],[4.897126,47.275954],[4.903568,47.293689],[4.890549,47.328357],[4.839833,47.324782],[4.818503,47.309894],[4.816489,47.307473],[4.825701,47.287692],[4.841809,47.278933],[4.86252,47.270356]]]}",21273,21,27,200039055,1326,Fleurey-sur-Ouche
"{""type"":""Polygon"",""coordinates"":[[[5.713617,47.821451],[5.685421,47.812839],[5.676382,47.779137],[5.682127,47.775532],[5.715469,47.776375],[5.72323,47.798528],[5.727919,47.818423],[5.713617,47.821451]]]}",70400,70,27,200070332,102,Ouge
"{""type"":""Polygon"",""coordinates"":[[[3.459115,47.223654],[3.434404,47.190665],[3.440646,47.181254],[3.473204,47.170541],[3.482229,47.175527],[3.473684,47.213327],[3.459115,47.223654]]]}",58184,58,27,200068088,106,Moussy
"{""type"":""Polygon"",""coordinates"":[[[6.602411,47.199466],[6.584737,47.211683],[6.6004,47.233326],[6.604999,47.23918],[6.598265,47.24107],[6.517629,47.24207],[6.502926,47.216142],[6.533445,47.188932],[6.550816,47.200028],[6.602411,47.199466]]]}",25453,25,27,242504181,1421,Pierrefontaine-les-Varans
"{""type"":""Polygon"",""coordinates"":[[[4.232888,46.394516],[4.219328,46.418053],[4.234046,46.440716],[4.210919,46.436742],[4.203666,46.425981],[4.172886,46.422041],[4.193601,46.384171],[4.232888,46.394516]]]}",71268,71,27,200071884,350,Lugny-lès-Charolles
"{""type"":""Polygon"",""coordinates"":[[[6.060762,46.727759],[6.047524,46.738651],[6.024173,46.747403],[6.006997,46.738666],[6.022258,46.715221],[6.03489,46.716469],[6.052286,46.716175],[6.060762,46.727759]]]}",39254,39,27,200069623,136,Gillois
"{""type"":""Polygon"",""coordinates"":[[[6.480109,47.529492],[6.493689,47.535736],[6.500815,47.540504],[6.493269,47.547251],[6.480988,47.554587],[6.480109,47.529492]]]}",70553,70,27,247000714,120,Villargent
"{""type"":""Polygon"",""coordinates"":[[[5.407656,46.447986],[5.408457,46.439032],[5.406682,46.418703],[5.432473,46.400263],[5.449159,46.429662],[5.436101,46.43901],[5.407656,46.447986]]]}",39010,39,27,200090579,95,Andelot-Morval
"{""type"":""Polygon"",""coordinates"":[[[5.864997,47.231013],[5.88781,47.248867],[5.87563,47.254031],[5.856429,47.253403],[5.852007,47.248417],[5.849899,47.243152],[5.864997,47.231013]]]}",25371,25,27,242500361,200,Mazerolles-le-Salin
"{""type"":""Polygon"",""coordinates"":[[[6.184801,47.341136],[6.162387,47.336946],[6.1504,47.31831],[6.177778,47.31737],[6.184801,47.341136]]]}",25132,25,27,242504447,129,Châtillon-Guyotte
"{""type"":""Polygon"",""coordinates"":[[[3.525823,47.920915],[3.521432,47.918809],[3.527813,47.914471],[3.564215,47.907808],[3.571729,47.895778],[3.579106,47.923411],[3.571374,47.926364],[3.563571,47.925996],[3.556538,47.92671],[3.525823,47.920915]]]}",89031,89,27,200067304,630,Beaumont
"{""type"":""Polygon"",""coordinates"":[[[5.908802,46.908839],[5.910148,46.886109],[5.926377,46.881258],[5.940989,46.886127],[5.939483,46.887274],[5.908802,46.908839]]]}",39586,39,27,200071595,32,Aresches
"{""type"":""Polygon"",""coordinates"":[[[4.580138,46.878002],[4.591145,46.890851],[4.587222,46.903333],[4.556206,46.90045],[4.542387,46.90589],[4.533116,46.898425],[4.556989,46.882766],[4.580138,46.878002]]]}",71183,71,27,200070530,153,Dracy-lès-Couches
