Lat,Lon,Title,Code,Date,Personnes décédées (cumul),jour,mois
<<<<<<< HEAD
47.425673873656244,4.7714997100743615,Côte-d'Or,21,2020-06-13,248,13,6
47.16579196560603,6.3626638301480805,Doubs,25,2020-06-13,149,13,6
46.729472171089704,5.697415885127798,Jura,39,2020-06-13,60,13,6
47.115749125879404,3.50405091784385,Nièvre,58,2020-06-13,27,13,6
47.64118494206776,6.087000679964537,Haute-Saône,70,2020-06-13,77,13,6
46.64492672218591,4.54288214285374,Saône-et-Loire,71,2020-06-13,199,13,6
47.840415193284855,3.5633099736470286,Yonne,89,2020-06-13,89,13,6
47.63196993309085,6.928299074513746,Territoire de Belfort,90,2020-06-13,183,13,6
=======
47.425673873656244,4.7714997100743615,Côte-d'Or,21,2020-06-12,248,12,6
47.16579196560603,6.3626638301480805,Doubs,25,2020-06-12,149,12,6
46.729472171089704,5.697415885127798,Jura,39,2020-06-12,60,12,6
47.115749125879404,3.50405091784385,Nièvre,58,2020-06-12,27,12,6
47.64118494206776,6.087000679964537,Haute-Saône,70,2020-06-12,77,12,6
46.64492672218591,4.54288214285374,Saône-et-Loire,71,2020-06-12,199,12,6
47.840415193284855,3.5633099736470286,Yonne,89,2020-06-12,89,12,6
47.63196993309085,6.928299074513746,Territoire de Belfort,90,2020-06-12,181,12,6
>>>>>>> 569260aac7dfe5d6b642394c902dc2ffba8410e8
