dep,sexe,jour,Personnes hospitalisées,Personnes en réanimation,Personnes décédées (cumul),dep_ok
71,0,2020-04-07,191,36,74,71
89,0,2020-04-07,94,19,17,89
90,0,2020-04-07,216,43,94,90
21,0,2020-04-08,310,74,94,21
25,0,2020-04-08,199,81,59,25
39,0,2020-04-08,100,12,19,39
58,0,2020-04-08,36,9,7,58
70,0,2020-04-08,87,18,45,70
71,0,2020-04-08,191,36,75,71
89,0,2020-04-08,95,19,17,89
90,0,2020-04-08,209,43,96,90
21,0,2020-04-09,290,73,95,21
25,0,2020-04-09,199,77,60,25
39,0,2020-04-09,105,13,23,39
58,0,2020-04-09,37,8,7,58
70,0,2020-04-09,91,18,45,70
71,0,2020-04-09,188,35,81,71
89,0,2020-04-09,91,18,18,89
90,0,2020-04-09,210,41,98,90
21,0,2020-04-10,350,79,102,21
25,0,2020-04-10,190,75,65,25
39,0,2020-04-10,111,16,24,39
58,0,2020-04-10,48,10,7,58
70,0,2020-04-10,89,17,47,70
71,0,2020-04-10,184,36,89,71
89,0,2020-04-10,88,20,23,89
90,0,2020-04-10,222,37,102,90
21,0,2020-04-11,325,72,106,21
25,0,2020-04-11,186,77,68,25
39,0,2020-04-11,112,14,26,39
58,0,2020-04-11,53,10,7,58
70,0,2020-04-11,87,17,48,70
71,0,2020-04-11,174,33,91,71
89,0,2020-04-11,85,20,25,89
90,0,2020-04-11,217,35,107,90
21,0,2020-04-12,344,72,116,21
25,0,2020-04-12,213,75,72,25
39,0,2020-04-12,117,15,27,39
58,0,2020-04-12,56,10,7,58
70,0,2020-04-12,85,17,49,70
71,0,2020-04-12,175,34,92,71
89,0,2020-04-12,84,20,26,89
90,0,2020-04-12,220,35,111,90
21,0,2020-04-13,340,73,119,21
25,0,2020-04-13,212,75,72,25
39,0,2020-04-13,124,17,28,39
58,0,2020-04-13,60,11,8,58
70,0,2020-04-13,85,17,50,70
71,0,2020-04-13,176,34,92,71
89,0,2020-04-13,83,20,28,89
90,0,2020-04-13,229,37,115,90
21,0,2020-04-14,346,73,133,21
25,0,2020-04-14,234,75,80,25
39,0,2020-04-14,131,18,30,39
58,0,2020-04-14,58,10,12,58
70,0,2020-04-14,95,18,51,70
71,0,2020-04-14,180,34,97,71
89,0,2020-04-14,91,21,32,89
90,0,2020-04-14,226,36,116,90
21,0,2020-04-15,361,78,141,21
25,0,2020-04-15,230,70,81,25
39,0,2020-04-15,132,18,32,39
58,0,2020-04-15,55,11,12,58
70,0,2020-04-15,89,16,56,70
71,0,2020-04-15,187,31,104,71
89,0,2020-04-15,86,19,32,89
90,0,2020-04-15,201,31,123,90
21,0,2020-04-16,384,81,149,21
25,0,2020-04-16,221,71,85,25
39,0,2020-04-16,132,17,34,39
58,0,2020-04-16,63,11,12,58
70,0,2020-04-16,89,16,57,70
71,0,2020-04-16,190,32,113,71
89,0,2020-04-16,96,19,33,89
90,0,2020-04-16,195,32,124,90
21,0,2020-04-17,380,74,154,21
25,0,2020-04-17,213,66,88,25
39,0,2020-04-17,145,17,34,39
58,0,2020-04-17,61,10,12,58
70,0,2020-04-17,95,17,58,70
71,0,2020-04-17,201,30,115,71
89,0,2020-04-17,97,19,33,89
90,0,2020-04-17,188,29,129,90
21,0,2020-04-18,391,77,159,21
25,0,2020-04-18,192,59,93,25
39,0,2020-04-18,139,14,37,39
58,0,2020-04-18,60,11,14,58
70,0,2020-04-18,96,17,58,70
71,0,2020-04-18,202,29,116,71
89,0,2020-04-18,90,19,37,89
90,0,2020-04-18,181,29,130,90
21,0,2020-04-19,367,66,165,21
25,0,2020-04-19,190,53,94,25
39,0,2020-04-19,136,14,37,39
58,0,2020-04-19,59,11,15,58
70,0,2020-04-19,96,17,58,70
71,0,2020-04-19,202,30,120,71
89,0,2020-04-19,94,19,38,89
90,0,2020-04-19,183,29,130,90
21,0,2020-04-20,367,65,171,21
25,0,2020-04-20,193,53,95,25
39,0,2020-04-20,136,12,37,39
58,0,2020-04-20,58,10,18,58
70,0,2020-04-20,90,19,60,70
71,0,2020-04-20,209,30,123,71
89,0,2020-04-20,93,20,41,89
90,0,2020-04-20,188,29,132,90
21,0,2020-04-21,366,63,178,21
25,0,2020-04-21,196,52,99,25
39,0,2020-04-21,122,9,39,39
58,0,2020-04-21,58,9,19,58
70,0,2020-04-21,91,18,60,70
71,0,2020-04-21,207,30,135,71
89,0,2020-04-21,104,20,41,89
90,0,2020-04-21,175,28,134,90
21,0,2020-04-22,361,63,179,21
25,0,2020-04-22,198,55,99,25
39,0,2020-04-22,115,11,40,39
58,0,2020-04-22,55,7,21,58
70,0,2020-04-22,91,17,62,70
71,0,2020-04-22,227,29,137,71
89,0,2020-04-22,119,26,43,89
90,0,2020-04-22,168,26,140,90
21,0,2020-04-23,340,56,189,21
25,0,2020-04-23,177,50,106,25
39,0,2020-04-23,108,10,43,39
58,0,2020-04-23,51,7,21,58
70,0,2020-04-23,96,17,63,70
71,0,2020-04-23,230,27,141,71
89,0,2020-04-23,117,27,49,89
90,0,2020-04-23,164,23,141,90
21,0,2020-04-24,303,54,200,21
25,0,2020-04-24,177,49,106,25
39,0,2020-04-24,108,9,43,39
58,0,2020-04-24,52,8,21,58
70,0,2020-04-24,114,15,63,70
71,0,2020-04-24,214,25,146,71
89,0,2020-04-24,109,23,50,89
90,0,2020-04-24,156,20,141,90
21,0,2020-04-25,292,59,203,21
25,0,2020-04-25,171,46,112,25
39,0,2020-04-25,104,8,43,39
58,0,2020-04-25,52,8,22,58
70,0,2020-04-25,111,13,66,70
71,0,2020-04-25,223,25,147,71
89,0,2020-04-25,115,23,51,89
90,0,2020-04-25,148,19,142,90
21,0,2020-04-26,285,50,207,21
25,0,2020-04-26,179,49,113,25
39,0,2020-04-26,104,8,43,39
58,0,2020-04-26,51,7,22,58
70,0,2020-04-26,113,13,67,70
71,0,2020-04-26,224,26,149,71
89,0,2020-04-26,113,22,53,89
90,0,2020-04-26,149,20,143,90
21,0,2020-04-27,288,52,213,21
25,0,2020-04-27,179,49,115,25
39,0,2020-04-27,103,9,44,39
58,0,2020-04-27,50,6,22,58
70,0,2020-04-27,101,13,67,70
71,0,2020-04-27,231,26,154,71
89,0,2020-04-27,112,21,54,89
90,0,2020-04-27,146,20,145,90
21,0,2020-04-28,288,53,215,21
25,0,2020-04-28,178,40,116,25
39,0,2020-04-28,97,10,44,39
58,0,2020-04-28,50,6,22,58
70,0,2020-04-28,98,13,67,70
71,0,2020-04-28,234,28,155,71
89,0,2020-04-28,108,21,55,89
90,0,2020-04-28,146,20,145,90
21,0,2020-04-29,285,54,217,21
25,0,2020-04-29,168,41,116,25
39,0,2020-04-29,93,9,44,39
58,0,2020-04-29,51,6,22,58
70,0,2020-04-29,97,12,69,70
71,0,2020-04-29,243,24,158,71
89,0,2020-04-29,110,21,59,89
90,0,2020-04-29,139,19,147,90
21,0,2020-04-30,287,57,218,21
25,0,2020-04-30,160,38,118,25
39,0,2020-04-30,99,8,46,39
58,0,2020-04-30,52,4,22,58
70,0,2020-04-30,101,9,69,70
71,0,2020-04-30,238,24,159,71
89,0,2020-04-30,109,22,59,89
90,0,2020-04-30,135,19,147,90
21,0,2020-05-01,274,56,218,21
25,0,2020-05-01,155,38,118,25
39,0,2020-05-01,98,8,46,39
58,0,2020-05-01,50,4,22,58
70,0,2020-05-01,102,9,69,70
71,0,2020-05-01,228,24,159,71
89,0,2020-05-01,102,21,62,89
90,0,2020-05-01,131,18,149,90
21,0,2020-05-02,278,57,218,21
25,0,2020-05-02,157,38,118,25
39,0,2020-05-02,98,8,46,39
58,0,2020-05-02,49,4,23,58
70,0,2020-05-02,101,8,70,70
71,0,2020-05-02,229,22,160,71
89,0,2020-05-02,100,18,64,89
90,0,2020-05-02,127,17,151,90
21,0,2020-05-03,276,57,220,21
25,0,2020-05-03,156,38,118,25
39,0,2020-05-03,98,8,46,39
58,0,2020-05-03,49,4,23,58
70,0,2020-05-03,100,7,71,70
71,0,2020-05-03,229,25,163,71
89,0,2020-05-03,106,18,64,89
90,0,2020-05-03,129,17,151,90
21,0,2020-05-04,273,50,220,21
25,0,2020-05-04,156,38,121,25
39,0,2020-05-04,97,5,48,39
58,0,2020-05-04,49,4,23,58
70,0,2020-05-04,98,7,73,70
71,0,2020-05-04,222,21,166,71
89,0,2020-05-04,115,20,65,89
90,0,2020-05-04,131,16,153,90
21,0,2020-05-05,267,34,221,21
25,0,2020-05-05,145,32,128,25
39,0,2020-05-05,83,6,48,39
58,0,2020-05-05,48,4,23,58
70,0,2020-05-05,97,8,73,70
71,0,2020-05-05,224,19,166,71
89,0,2020-05-05,110,18,67,89
90,0,2020-05-05,139,14,158,90
21,0,2020-05-06,270,27,224,21
25,0,2020-05-06,140,31,132,25
39,0,2020-05-06,84,6,48,39
58,0,2020-05-06,46,3,24,58
70,0,2020-05-06,93,4,73,70
71,0,2020-05-06,225,14,167,71
89,0,2020-05-06,109,16,69,89
90,0,2020-05-06,144,13,159,90
21,0,2020-05-07,244,28,227,21
25,0,2020-05-07,134,29,134,25
39,0,2020-05-07,83,5,49,39
58,0,2020-05-07,42,3,24,58
70,0,2020-05-07,78,4,73,70
71,0,2020-05-07,218,13,168,71
89,0,2020-05-07,107,17,70,89
90,0,2020-05-07,143,13,161,90
21,0,2020-05-08,225,28,228,21
25,0,2020-05-08,124,29,134,25
39,0,2020-05-08,86,5,49,39
58,0,2020-05-08,42,3,24,58
70,0,2020-05-08,77,5,74,70
71,0,2020-05-08,209,13,172,71
89,0,2020-05-08,108,17,71,89
90,0,2020-05-08,140,15,162,90
21,0,2020-05-09,226,27,230,21
25,0,2020-05-09,122,28,134,25
39,0,2020-05-09,74,3,52,39
58,0,2020-05-09,42,3,24,58
70,0,2020-05-09,79,5,74,70
71,0,2020-05-09,208,13,173,71
89,0,2020-05-09,109,17,72,89
90,0,2020-05-09,142,15,162,90
21,0,2020-05-10,218,24,230,21
25,0,2020-05-10,124,28,134,25
39,0,2020-05-10,74,3,52,39
58,0,2020-05-10,41,1,25,58
70,0,2020-05-10,80,5,74,70
71,0,2020-05-10,207,13,175,71
89,0,2020-05-10,113,17,72,89
90,0,2020-05-10,143,15,164,90
21,0,2020-05-11,174,22,230,21
25,0,2020-05-11,128,27,137,25
39,0,2020-05-11,75,5,55,39
58,0,2020-05-11,42,3,25,58
70,0,2020-05-11,79,5,75,70
71,0,2020-05-11,203,14,179,71
89,0,2020-05-11,113,16,74,89
90,0,2020-05-11,144,16,164,90
21,0,2020-05-12,141,24,234,21
25,0,2020-05-12,130,29,136,25
39,0,2020-05-12,71,3,56,39
58,0,2020-05-12,44,4,25,58
70,0,2020-05-12,77,3,75,70
71,0,2020-05-12,189,14,182,71
89,0,2020-05-12,110,13,74,89
90,0,2020-05-12,134,15,165,90
21,0,2020-05-13,135,23,235,21
25,0,2020-05-13,128,28,136,25
39,0,2020-05-13,72,3,56,39
58,0,2020-05-13,39,2,25,58
70,0,2020-05-13,78,2,75,70
71,0,2020-05-13,187,11,185,71
89,0,2020-05-13,110,13,74,89
90,0,2020-05-13,130,14,167,90
21,0,2020-05-14,133,23,235,21
25,0,2020-05-14,118,27,137,25
39,0,2020-05-14,70,3,56,39
58,0,2020-05-14,38,2,25,58
70,0,2020-05-14,79,2,76,70
71,0,2020-05-14,189,12,185,71
89,0,2020-05-14,112,13,74,89
90,0,2020-05-14,124,13,168,90
21,0,2020-05-15,121,22,235,21
25,0,2020-05-15,115,25,137,25
39,0,2020-05-15,67,3,57,39
58,0,2020-05-15,39,3,25,58
70,0,2020-05-15,78,2,76,70
71,0,2020-05-15,183,13,186,71
89,0,2020-05-15,108,13,74,89
90,0,2020-05-15,120,13,168,90
21,0,2020-05-16,121,22,235,21
25,0,2020-05-16,108,24,138,25
