dep,sexe,jour,Personnes hospitalisées,Personnes en réanimation,Personnes décédées (cumul),dep_ok
90,0,2020-03-18,25,9,0,90
90,0,2020-03-19,39,9,3,90
90,0,2020-03-20,49,9,5,90
90,0,2020-03-21,61,11,6,90
90,0,2020-03-22,68,14,14,90
90,0,2020-03-23,94,20,24,90
90,0,2020-03-24,109,22,27,90
90,0,2020-03-25,138,27,30,90
90,0,2020-03-26,137,30,35,90
90,0,2020-03-27,147,30,43,90
90,0,2020-03-28,164,34,44,90
90,0,2020-03-29,171,40,51,90
90,0,2020-03-30,177,40,61,90
90,0,2020-03-31,201,43,61,90
90,0,2020-04-01,219,44,64,90
90,0,2020-04-02,216,46,75,90
90,0,2020-04-03,217,43,78,90
90,0,2020-04-04,204,41,83,90
90,0,2020-04-05,212,43,86,90
90,0,2020-04-06,221,42,89,90
90,0,2020-04-07,216,43,94,90
90,0,2020-04-08,209,43,96,90
90,0,2020-04-09,210,41,98,90
90,0,2020-04-10,222,37,102,90
90,0,2020-04-11,217,35,107,90
90,0,2020-04-12,220,35,111,90
90,0,2020-04-13,229,37,115,90
90,0,2020-04-14,226,36,116,90
90,0,2020-04-15,201,31,123,90
90,0,2020-04-16,195,32,124,90
90,0,2020-04-17,188,29,129,90
90,0,2020-04-18,181,29,130,90
90,0,2020-04-19,183,29,130,90
90,0,2020-04-20,188,29,132,90
90,0,2020-04-21,175,28,134,90
90,0,2020-04-22,168,26,140,90
90,0,2020-04-23,164,23,141,90
90,0,2020-04-24,156,20,141,90
90,0,2020-04-25,148,19,142,90
90,0,2020-04-26,149,20,143,90
90,0,2020-04-27,146,20,145,90
90,0,2020-04-28,146,20,145,90
90,0,2020-04-29,139,19,147,90
90,0,2020-04-30,135,19,147,90
90,0,2020-05-01,131,18,149,90
90,0,2020-05-02,127,17,151,90
90,0,2020-05-03,129,17,151,90
90,0,2020-05-04,131,16,153,90
90,0,2020-05-05,139,14,158,90
90,0,2020-05-06,144,13,159,90
90,0,2020-05-07,143,13,161,90
90,0,2020-05-08,140,15,162,90
90,0,2020-05-09,142,15,162,90
90,0,2020-05-10,143,15,164,90
90,0,2020-05-11,144,16,164,90
90,0,2020-05-12,134,15,165,90
90,0,2020-05-13,130,14,167,90
90,0,2020-05-14,124,13,168,90
90,0,2020-05-15,120,13,168,90
90,0,2020-05-16,112,13,168,90
90,0,2020-05-17,113,13,168,90
90,0,2020-05-18,114,13,168,90
90,0,2020-05-19,109,12,168,90
90,0,2020-05-20,110,11,168,90
90,0,2020-05-21,75,11,169,90
90,0,2020-05-22,76,11,169,90
90,0,2020-05-23,72,10,169,90
90,0,2020-05-24,71,9,170,90
90,0,2020-05-25,72,8,171,90
90,0,2020-05-26,69,8,171,90
90,0,2020-05-27,61,7,172,90
90,0,2020-05-28,59,7,173,90
90,0,2020-05-29,55,6,174,90
90,0,2020-05-30,57,6,174,90
90,0,2020-05-31,57,6,175,90
90,0,2020-06-01,56,6,175,90
90,0,2020-06-02,53,6,176,90
90,0,2020-06-03,49,4,176,90
90,0,2020-06-04,43,4,177,90
90,0,2020-06-05,43,4,177,90
90,0,2020-06-06,43,4,177,90
90,0,2020-06-07,42,4,177,90
90,0,2020-06-08,42,4,177,90
90,0,2020-06-09,41,4,179,90
90,0,2020-06-10,37,4,181,90
90,0,2020-06-11,37,4,181,90
90,0,2020-06-12,35,4,181,90
90,0,2020-06-13,33,3,183,90
90,0,2020-06-14,33,3,183,90
90,0,2020-06-15,34,3,183,90
90,0,2020-06-16,32,3,183,90
90,0,2020-06-17,29,1,184,90
90,0,2020-06-18,27,1,185,90
90,0,2020-06-19,27,1,185,90
90,0,2020-06-20,27,1,185,90
90,0,2020-06-21,27,1,185,90
90,0,2020-06-22,28,2,185,90
90,0,2020-06-23,29,2,185,90
90,0,2020-06-24,28,2,185,90
90,0,2020-06-25,25,1,186,90
90,0,2020-06-26,25,1,186,90
90,0,2020-06-27,24,1,186,90
90,0,2020-06-28,23,1,186,90
90,0,2020-06-29,22,1,187,90
90,0,2020-06-30,11,0,187,90
90,0,2020-07-01,10,0,187,90
90,0,2020-07-02,10,0,187,90
90,0,2020-07-03,10,0,187,90
90,0,2020-07-04,10,0,187,90
90,0,2020-07-05,10,0,187,90
90,0,2020-07-06,11,0,187,90
90,0,2020-07-07,11,0,187,90
90,0,2020-07-08,11,0,187,90
90,0,2020-07-09,7,0,187,90
90,0,2020-07-10,7,0,199,90
90,0,2020-07-11,7,0,199,90
90,0,2020-07-12,7,0,199,90
90,0,2020-07-13,7,0,199,90
90,0,2020-07-14,7,0,199,90
90,0,2020-07-15,4,0,200,90
90,0,2020-07-16,4,0,200,90
90,0,2020-07-17,4,0,200,90
90,0,2020-07-18,4,0,200,90
90,0,2020-07-19,4,0,200,90
90,0,2020-07-20,4,0,200,90
90,0,2020-07-21,4,0,200,90
90,0,2020-07-22,1,0,200,90
90,0,2020-07-23,0,0,200,90
90,0,2020-07-24,0,0,200,90
90,0,2020-07-25,0,0,200,90
90,0,2020-07-26,0,0,200,90
90,0,2020-07-27,0,0,200,90
90,0,2020-07-28,0,0,200,90
90,0,2020-07-29,0,0,200,90
90,0,2020-07-30,2,0,200,90
90,0,2020-07-31,3,0,200,90
90,0,2020-08-01,3,0,200,90
90,0,2020-08-02,3,0,200,90
90,0,2020-08-03,3,0,200,90
90,0,2020-08-04,3,0,200,90
90,0,2020-08-05,4,0,200,90
90,0,2020-08-06,4,0,200,90
90,0,2020-08-07,4,0,200,90
90,0,2020-08-08,4,0,200,90
90,0,2020-08-09,4,0,200,90
90,0,2020-08-10,3,0,200,90
90,0,2020-08-11,3,0,200,90
90,0,2020-08-12,5,1,200,90
90,0,2020-08-13,5,1,200,90
90,0,2020-08-14,5,1,200,90
90,0,2020-08-15,5,1,200,90
90,0,2020-08-16,5,1,200,90
90,0,2020-08-17,4,1,200,90
90,0,2020-08-18,3,1,200,90
90,0,2020-08-19,3,1,200,90
90,0,2020-08-20,2,1,200,90
90,0,2020-08-21,2,1,200,90
90,0,2020-08-22,2,1,200,90
90,0,2020-08-23,2,1,200,90
90,0,2020-08-24,2,1,200,90
90,0,2020-08-25,2,1,200,90
90,0,2020-08-26,2,0,200,90
90,0,2020-08-27,2,0,200,90
90,0,2020-08-28,3,0,200,90
90,0,2020-08-29,3,0,200,90
90,0,2020-08-30,3,0,200,90
90,0,2020-08-31,3,0,200,90
90,0,2020-09-01,3,1,200,90
90,0,2020-09-02,2,1,200,90
90,0,2020-09-03,1,1,200,90
90,0,2020-09-04,3,1,200,90
90,0,2020-09-05,3,1,200,90
90,0,2020-09-06,3,1,200,90
90,0,2020-09-07,1,1,200,90
90,0,2020-09-08,2,0,200,90
90,0,2020-09-09,2,0,200,90
90,0,2020-09-10,5,1,200,90
90,0,2020-09-11,5,1,200,90
90,0,2020-09-12,5,1,200,90
90,0,2020-09-13,5,1,200,90
90,0,2020-09-14,3,1,201,90
90,0,2020-09-15,5,2,201,90
90,0,2020-09-16,5,2,201,90
90,0,2020-09-17,3,2,201,90
90,0,2020-09-18,5,2,201,90
90,0,2020-09-19,5,2,201,90
90,0,2020-09-20,5,2,201,90
90,0,2020-09-21,5,2,201,90
90,0,2020-09-22,3,2,201,90
90,0,2020-09-23,6,3,201,90
90,0,2020-09-24,6,4,201,90
90,0,2020-09-25,6,4,201,90
90,0,2020-09-26,6,4,201,90
90,0,2020-09-27,6,4,201,90
90,0,2020-09-28,6,4,201,90
90,0,2020-09-29,8,3,201,90
90,0,2020-09-30,7,2,201,90
90,0,2020-10-01,7,2,201,90
90,0,2020-10-02,7,2,201,90
90,0,2020-10-03,8,3,201,90
90,0,2020-10-04,8,3,202,90
90,0,2020-10-05,9,4,202,90
90,0,2020-10-06,9,3,201,90
90,0,2020-10-07,8,3,201,90
90,0,2020-10-08,12,5,201,90
90,0,2020-10-09,12,4,201,90
90,0,2020-10-10,11,4,201,90
90,0,2020-10-11,12,4,201,90
90,0,2020-10-12,13,4,201,90
90,0,2020-10-13,16,6,201,90
90,0,2020-10-14,17,5,202,90
90,0,2020-10-15,14,4,202,90
90,0,2020-10-16,17,4,202,90
90,0,2020-10-17,17,4,202,90
90,0,2020-10-18,16,4,202,90
90,0,2020-10-19,17,6,202,90
90,0,2020-10-20,21,5,202,90
90,0,2020-10-21,22,7,202,90
90,0,2020-10-22,21,9,203,90
90,0,2020-10-23,23,9,203,90
90,0,2020-10-24,35,10,205,90
90,0,2020-10-25,36,10,206,90
90,0,2020-10-26,36,11,206,90
90,0,2020-10-27,50,13,206,90
90,0,2020-10-28,58,12,206,90
90,0,2020-10-29,60,10,206,90
90,0,2020-10-30,63,11,210,90
90,0,2020-10-31,59,10,211,90
90,0,2020-11-01,56,8,213,90
90,0,2020-11-02,57,8,214,90
90,0,2020-11-03,57,8,214,90
90,0,2020-11-04,72,13,215,90
90,0,2020-11-05,78,14,216,90
90,0,2020-11-06,102,19,216,90
90,0,2020-11-07,97,18,217,90
90,0,2020-11-08,97,15,221,90
90,0,2020-11-09,127,18,225,90
90,0,2020-11-10,133,21,228,90
90,0,2020-11-11,128,23,228,90
90,0,2020-11-12,145,23,228,90
90,0,2020-11-13,143,23,228,90
90,0,2020-11-14,130,22,231,90
90,0,2020-11-15,126,23,231,90
90,0,2020-11-16,138,26,233,90
90,0,2020-11-17,149,23,235,90
90,0,2020-11-18,145,23,239,90
90,0,2020-11-19,138,20,244,90
90,0,2020-11-20,142,23,247,90
90,0,2020-11-21,142,23,247,90
90,0,2020-11-22,141,24,249,90
90,0,2020-11-23,154,24,252,90
90,0,2020-11-24,150,22,255,90
90,0,2020-11-25,147,21,259,90
90,0,2020-11-26,138,21,262,90
90,0,2020-11-27,140,25,264,90
90,0,2020-11-28,129,24,270,90
90,0,2020-11-29,128,23,271,90
90,0,2020-11-30,149,24,273,90
90,0,2020-12-01,155,25,273,90
90,0,2020-12-02,155,23,283,90
90,0,2020-12-03,163,23,284,90
90,0,2020-12-04,164,21,286,90
90,0,2020-12-05,159,20,289,90
90,0,2020-12-06,158,20,289,90
90,0,2020-12-07,161,19,293,90
90,0,2020-12-08,174,21,299,90
90,0,2020-12-09,177,21,307,90
90,0,2020-12-10,175,22,310,90
90,0,2020-12-11,182,21,321,90
90,0,2020-12-12,187,21,328,90
90,0,2020-12-13,187,22,329,90
90,0,2020-12-14,209,22,333,90
90,0,2020-12-15,212,26,335,90
90,0,2020-12-16,220,22,339,90
90,0,2020-12-17,210,22,341,90
90,0,2020-12-18,203,21,345,90
90,0,2020-12-19,180,22,349,90
90,0,2020-12-20,189,23,352,90
90,0,2020-12-21,190,22,354,90
90,0,2020-12-22,193,25,360,90
90,0,2020-12-23,200,24,363,90
90,0,2020-12-24,194,23,369,90
90,0,2020-12-25,187,19,374,90
90,0,2020-12-26,185,20,376,90
90,0,2020-12-27,183,20,379,90
90,0,2020-12-28,191,20,383,90
90,0,2020-12-29,193,18,390,90
90,0,2020-12-30,196,18,393,90
90,0,2020-12-31,193,21,394,90
90,0,2021-01-01,193,21,394,90
90,0,2021-01-02,196,18,402,90
90,0,2021-01-03,191,17,406,90
90,0,2021-01-04,200,18,407,90
90,0,2021-01-05,195,20,411,90
90,0,2021-01-06,192,20,412,90
90,0,2021-01-07,188,18,415,90
90,0,2021-01-08,187,23,418,90
90,0,2021-01-09,182,23,420,90
90,0,2021-01-10,173,22,425,90
