dep,jour,P,T,cl_age90,taux_positivite_quotidien,positifs_7j,tests_7j,taux_positivite_7j
25,2020-05-13,6,292,0,2.054794520547945,,,
25,2020-05-14,5,357,0,1.400560224089636,,,
25,2020-05-15,6,431,0,1.3921113689095126,,,
25,2020-05-16,7,176,0,3.977272727272727,,,
25,2020-05-17,1,70,0,1.4285714285714286,,,
25,2020-05-18,5,376,0,1.3297872340425532,,,
25,2020-05-19,7,444,0,1.5765765765765765,37.0,2146.0,1.7241379310344827
25,2020-05-20,5,377,0,1.3262599469496021,36.0,2231.0,1.6136261766024205
25,2020-05-21,1,90,0,1.1111111111111112,32.0,1964.0,1.6293279022403258
25,2020-05-22,5,301,0,1.6611295681063125,31.0,1834.0,1.6902944383860414
25,2020-05-23,1,157,0,0.6369426751592357,25.0,1815.0,1.3774104683195594
25,2020-05-24,1,42,0,2.380952380952381,25.0,1787.0,1.3989927252378287
25,2020-05-25,2,320,0,0.625,22.0,1731.0,1.270941652224148
25,2020-05-26,3,369,0,0.8130081300813009,18.0,1656.0,1.0869565217391304
25,2020-05-27,4,341,0,1.1730205278592376,17.0,1620.0,1.0493827160493827
25,2020-05-28,2,300,0,0.6666666666666667,18.0,1830.0,0.9836065573770493
25,2020-05-29,1,316,0,0.31645569620253167,14.0,1845.0,0.7588075880758808
25,2020-05-30,5,223,0,2.242152466367713,18.0,1911.0,0.9419152276295133
25,2020-05-31,2,59,0,3.389830508474576,19.0,1928.0,0.9854771784232365
25,2020-06-01,1,66,0,1.5151515151515151,18.0,1674.0,1.0752688172043012
25,2020-06-02,10,351,0,2.849002849002849,25.0,1656.0,1.5096618357487923
25,2020-06-03,2,361,0,0.554016620498615,23.0,1676.0,1.3723150357995226
25,2020-06-04,7,355,0,1.971830985915493,28.0,1731.0,1.6175621028307337
25,2020-06-05,3,344,0,0.872093023255814,30.0,1759.0,1.7055144968732234
25,2020-06-06,4,205,0,1.951219512195122,29.0,1741.0,1.665709362435382
25,2020-06-07,0,43,0,0.0,27.0,1725.0,1.565217391304348
25,2020-06-08,2,365,0,0.547945205479452,28.0,2024.0,1.383399209486166
25,2020-06-09,4,329,0,1.21580547112462,22.0,2002.0,1.098901098901099
25,2020-06-10,10,363,0,2.7548209366391188,30.0,2004.0,1.4970059880239521
25,2020-06-11,1,332,0,0.30120481927710846,24.0,1981.0,1.2115093387178193
25,2020-06-12,6,312,0,1.9230769230769231,27.0,1949.0,1.3853258081067215
25,2020-06-13,1,220,0,0.45454545454545453,24.0,1964.0,1.2219959266802443
25,2020-06-14,1,67,0,1.4925373134328357,25.0,1988.0,1.2575452716297788
25,2020-06-15,2,372,0,0.5376344086021506,25.0,1995.0,1.2531328320802004
25,2020-06-16,0,334,0,0.0,21.0,2000.0,1.05
25,2020-06-17,5,266,0,1.8796992481203008,16.0,1903.0,0.8407777193904361
25,2020-06-18,1,302,0,0.33112582781456956,16.0,1873.0,0.8542445274959957
25,2020-06-19,4,337,0,1.1869436201780417,14.0,1898.0,0.7376185458377239
25,2020-06-20,1,261,0,0.38314176245210724,14.0,1939.0,0.7220216606498195
25,2020-06-21,0,88,0,0.0,13.0,1960.0,0.6632653061224489
25,2020-06-22,2,286,0,0.6993006993006993,13.0,1874.0,0.6937033084311632
25,2020-06-23,1,345,0,0.2898550724637681,14.0,1885.0,0.7427055702917772
25,2020-06-24,5,338,0,1.4792899408284024,14.0,1957.0,0.7153806847215125
25,2020-06-25,3,259,0,1.1583011583011582,16.0,1914.0,0.8359456635318705
25,2020-06-26,2,357,0,0.5602240896358543,14.0,1934.0,0.7238883143743536
25,2020-06-27,1,175,0,0.5714285714285714,14.0,1848.0,0.7575757575757576
25,2020-06-28,0,102,0,0.0,14.0,1862.0,0.7518796992481203
25,2020-06-29,4,375,0,1.0666666666666667,16.0,1951.0,0.8200922603792926
25,2020-06-30,6,375,0,1.6,21.0,1981.0,1.0600706713780919
25,2020-07-01,5,387,0,1.2919896640826873,21.0,2030.0,1.0344827586206897
25,2020-07-02,2,341,0,0.5865102639296188,20.0,2112.0,0.946969696969697
25,2020-07-03,1,416,0,0.2403846153846154,19.0,2171.0,0.8751727314601566
25,2020-07-04,0,267,0,0.0,18.0,2263.0,0.7954043305346884
25,2020-07-05,0,73,0,0.0,18.0,2234.0,0.8057296329453895
25,2020-07-06,4,400,0,1.0,18.0,2259.0,0.796812749003984
25,2020-07-07,3,378,0,0.7936507936507936,15.0,2262.0,0.6631299734748011
25,2020-07-08,5,442,0,1.1312217194570136,15.0,2317.0,0.6473888649115235
25,2020-07-09,6,588,0,1.0204081632653061,19.0,2564.0,0.7410296411856474
25,2020-07-10,2,569,0,0.35149384885764495,20.0,2717.0,0.7361059992638941
25,2020-07-11,2,287,0,0.6968641114982579,22.0,2737.0,0.8037997807818781
25,2020-07-12,4,114,0,3.508771929824561,26.0,2778.0,0.9359251259899208
25,2020-07-13,6,510,0,1.1764705882352942,28.0,2888.0,0.9695290858725761
25,2020-07-14,1,101,0,0.9900990099009901,26.0,2611.0,0.9957870547682881
25,2020-07-15,2,669,0,0.29895366218236175,23.0,2838.0,0.810429880197322
25,2020-07-16,1,577,0,0.17331022530329288,18.0,2827.0,0.6367173682348779
25,2020-07-17,3,567,0,0.5291005291005291,19.0,2825.0,0.6725663716814159
25,2020-07-18,2,385,0,0.5194805194805194,19.0,2923.0,0.6500171057133082
25,2020-07-19,0,88,0,0.0,15.0,2897.0,0.5177770107007249
25,2020-07-20,9,550,0,1.6363636363636365,18.0,2937.0,0.6128702757916241
25,2020-07-21,4,574,0,0.6968641114982579,21.0,3410.0,0.6158357771260997
25,2020-07-22,3,752,0,0.39893617021276595,22.0,3493.0,0.6298310907529345
25,2020-07-23,5,559,0,0.8944543828264758,26.0,3475.0,0.7482014388489209
25,2020-07-24,6,549,0,1.092896174863388,29.0,3457.0,0.8388776395718831
25,2020-07-25,2,324,0,0.6172839506172839,29.0,3396.0,0.8539458186101295
25,2020-07-26,1,82,0,1.2195121951219512,30.0,3390.0,0.8849557522123894
25,2020-07-27,6,596,0,1.006711409395973,27.0,3436.0,0.7857974388824215
25,2020-07-28,4,557,0,0.718132854578097,27.0,3419.0,0.7897045919859609
25,2020-07-29,5,607,0,0.8237232289950577,29.0,3274.0,0.885766646304215
25,2020-07-30,8,512,0,1.5625,32.0,3227.0,0.9916330957545708
25,2020-07-31,8,721,0,1.1095700416088765,34.0,3399.0,1.0002942041776994
25,2020-08-01,3,379,0,0.79155672823219,35.0,3454.0,1.013317892298784
25,2020-08-02,2,119,0,1.680672268907563,36.0,3491.0,1.031223145230593
25,2020-08-03,8,633,0,1.263823064770932,38.0,3528.0,1.0770975056689343
25,2020-08-04,1,572,0,0.17482517482517482,35.0,3543.0,0.9878633926051369
25,2020-08-05,3,490,0,0.6122448979591837,33.0,3426.0,0.9632224168126094
25,2020-08-06,10,482,0,2.0746887966804977,35.0,3396.0,1.0306242638398115
25,2020-08-07,4,474,0,0.8438818565400843,31.0,3149.0,0.9844395046046364
25,2020-08-08,3,336,0,0.8928571428571428,31.0,3106.0,0.9980682549903412
25,2020-08-09,0,107,0,0.0,29.0,3094.0,0.9372979961215255
25,2020-08-10,12,491,0,2.4439918533604885,33.0,2952.0,1.1178861788617886
25,2020-08-11,8,551,0,1.4519056261343013,40.0,2931.0,1.3647219379051518
25,2020-08-12,11,553,0,1.9891500904159132,48.0,2994.0,1.6032064128256511
25,2020-08-13,17,592,0,2.871621621621622,55.0,3104.0,1.7719072164948453
25,2020-08-14,17,758,0,2.242744063324538,68.0,3388.0,2.0070838252656436
25,2020-08-15,3,169,0,1.7751479289940828,68.0,3221.0,2.111145606954362
25,2020-08-16,3,188,0,1.5957446808510638,71.0,3302.0,2.150211992731678
25,2020-08-17,18,883,0,2.0385050962627407,77.0,3694.0,2.0844612885760694
25,2020-08-18,26,874,0,2.9748283752860414,95.0,4017.0,2.364948966890714
25,2020-08-19,13,840,0,1.5476190476190477,97.0,4304.0,2.253717472118959
25,2020-08-20,14,871,0,1.6073478760045925,94.0,4583.0,2.051058258782457
25,2020-08-21,16,995,0,1.6080402010050252,93.0,4820.0,1.929460580912863
25,2020-08-22,3,588,0,0.5102040816326531,93.0,5239.0,1.7751479289940828
25,2020-08-23,4,249,0,1.6064257028112447,94.0,5300.0,1.7735849056603774
25,2020-08-24,17,1077,0,1.5784586815227482,93.0,5494.0,1.6927557335274845
25,2020-08-25,30,838,0,3.579952267303103,97.0,5458.0,1.7772077684133383
25,2020-08-26,28,1255,0,2.2310756972111556,112.0,5873.0,1.907032181168057
25,2020-08-27,30,1061,0,2.827521206409048,128.0,6063.0,2.111166089394689
25,2020-08-28,34,1268,0,2.6813880126182967,146.0,6336.0,2.304292929292929
25,2020-08-29,17,853,0,1.992966002344666,160.0,6601.0,2.423875170428723
25,2020-08-30,8,350,0,2.2857142857142856,164.0,6702.0,2.4470307370934052
25,2020-08-31,45,1266,0,3.5545023696682465,192.0,6891.0,2.786242925555072
25,2020-09-01,30,1133,0,2.64783759929391,192.0,7186.0,2.671861953799054
25,2020-09-02,30,1191,0,2.518891687657431,194.0,7122.0,2.723953945520921
25,2020-09-03,22,1151,0,1.9113814074717639,186.0,7212.0,2.579034941763727
25,2020-09-04,56,1169,0,4.790419161676647,208.0,7113.0,2.9242232531983694
25,2020-09-05,30,873,0,3.436426116838488,221.0,7133.0,3.0982756203560915
25,2020-09-06,6,169,0,3.5502958579881656,219.0,6952.0,3.1501726121979288
25,2020-09-07,46,1308,0,3.5168195718654434,220.0,6994.0,3.1455533314269375
25,2020-09-08,50,1477,0,3.3852403520649963,240.0,7338.0,3.2706459525756335
25,2020-09-09,39,1585,0,2.460567823343849,249.0,7732.0,3.2203828246249353
25,2020-09-10,51,1866,0,2.7331189710610935,278.0,8447.0,3.291109269563158
25,2020-09-11,44,1783,0,2.467750981491868,266.0,9061.0,2.9356583158591767
25,2020-09-12,30,1272,0,2.358490566037736,266.0,9460.0,2.8118393234672303
25,2020-09-13,6,200,0,3.0,266.0,9491.0,2.8026551469813508
25,2020-09-14,77,1923,0,4.004160166406656,297.0,10106.0,2.9388482089847616
25,2020-09-15,63,1798,0,3.5038932146829813,310.0,10427.0,2.9730507336721974
