dep,jour,P,T,cl_age90,taux_positivite_quotidien,positifs_7j,tests_7j,taux_positivite_7j
89,2020-05-13,4,384,0,1.0416666666666665,,,
89,2020-05-14,0,351,0,0.0,,,
89,2020-05-15,4,416,0,0.9615384615384616,,,
89,2020-05-16,8,196,0,4.081632653061225,,,
89,2020-05-17,3,52,0,5.769230769230769,,,
89,2020-05-18,2,435,0,0.45977011494252873,,,
89,2020-05-19,8,433,0,1.8475750577367205,29.0,2267.0,1.2792236435818263
89,2020-05-20,5,394,0,1.2690355329949239,30.0,2277.0,1.3175230566534915
89,2020-05-21,2,64,0,3.125,32.0,1990.0,1.6080402010050252
89,2020-05-22,2,356,0,0.5617977528089888,30.0,1930.0,1.5544041450777202
89,2020-05-23,5,182,0,2.7472527472527473,27.0,1916.0,1.4091858037578289
89,2020-05-24,3,58,0,5.172413793103448,27.0,1922.0,1.4047866805411031
89,2020-05-25,0,373,0,0.0,25.0,1860.0,1.3440860215053763
89,2020-05-26,2,358,0,0.5586592178770949,19.0,1785.0,1.0644257703081232
89,2020-05-27,1,303,0,0.33003300330033003,15.0,1694.0,0.885478158205431
89,2020-05-28,0,275,0,0.0,13.0,1905.0,0.6824146981627297
89,2020-05-29,0,356,0,0.0,11.0,1905.0,0.5774278215223096
89,2020-05-30,1,139,0,0.7194244604316548,7.0,1862.0,0.37593984962406013
89,2020-05-31,0,45,0,0.0,4.0,1849.0,0.2163331530557058
89,2020-06-01,0,48,0,0.0,4.0,1524.0,0.26246719160104987
89,2020-06-02,8,494,0,1.6194331983805668,10.0,1660.0,0.6024096385542169
89,2020-06-03,6,310,0,1.935483870967742,15.0,1667.0,0.8998200359928014
89,2020-06-04,2,279,0,0.7168458781362007,17.0,1671.0,1.0173548773189707
89,2020-06-05,2,314,0,0.6369426751592357,19.0,1629.0,1.1663597298956414
89,2020-06-06,2,128,0,1.5625,20.0,1618.0,1.2360939431396787
89,2020-06-07,0,39,0,0.0,20.0,1612.0,1.240694789081886
89,2020-06-08,1,312,0,0.3205128205128205,21.0,1876.0,1.1194029850746268
89,2020-06-09,0,273,0,0.0,13.0,1655.0,0.785498489425982
89,2020-06-10,1,286,0,0.34965034965034963,8.0,1631.0,0.4904966278356836
89,2020-06-11,1,321,0,0.3115264797507788,7.0,1673.0,0.41841004184100417
89,2020-06-12,0,286,0,0.0,5.0,1645.0,0.303951367781155
89,2020-06-13,0,123,0,0.0,3.0,1640.0,0.1829268292682927
89,2020-06-14,0,73,0,0.0,3.0,1674.0,0.17921146953405018
89,2020-06-15,0,249,0,0.0,2.0,1611.0,0.12414649286157665
89,2020-06-16,2,236,0,0.847457627118644,4.0,1574.0,0.25412960609911056
89,2020-06-17,0,289,0,0.0,3.0,1577.0,0.19023462270133165
89,2020-06-18,0,212,0,0.0,2.0,1468.0,0.13623978201634876
89,2020-06-19,0,330,0,0.0,2.0,1512.0,0.13227513227513227
89,2020-06-20,1,106,0,0.9433962264150944,3.0,1495.0,0.2006688963210702
89,2020-06-21,0,34,0,0.0,3.0,1456.0,0.20604395604395606
89,2020-06-22,1,200,0,0.5,4.0,1407.0,0.28429282160625446
89,2020-06-23,2,170,0,1.1764705882352942,4.0,1341.0,0.2982848620432513
89,2020-06-24,2,213,0,0.9389671361502347,6.0,1265.0,0.47430830039525695
89,2020-06-25,2,168,0,1.1904761904761905,8.0,1221.0,0.6552006552006553
89,2020-06-26,0,260,0,0.0,8.0,1151.0,0.6950477845351868
89,2020-06-27,3,134,0,2.2388059701492535,10.0,1179.0,0.8481764206955046
89,2020-06-28,4,55,0,7.2727272727272725,14.0,1200.0,1.1666666666666667
89,2020-06-29,0,313,0,0.0,13.0,1313.0,0.9900990099009901
89,2020-06-30,0,513,0,0.0,11.0,1656.0,0.6642512077294686
89,2020-07-01,2,305,0,0.6557377049180327,11.0,1748.0,0.6292906178489702
89,2020-07-02,1,279,0,0.35842293906810035,10.0,1859.0,0.5379236148466917
89,2020-07-03,0,295,0,0.0,10.0,1894.0,0.5279831045406547
89,2020-07-04,0,266,0,0.0,7.0,2026.0,0.3455083909180652
89,2020-07-05,1,59,0,1.694915254237288,4.0,2030.0,0.19704433497536944
89,2020-07-06,0,278,0,0.0,4.0,1995.0,0.20050125313283207
89,2020-07-07,2,304,0,0.6578947368421052,6.0,1786.0,0.33594624860022393
89,2020-07-08,0,312,0,0.0,4.0,1793.0,0.2230897936419409
89,2020-07-09,1,268,0,0.3731343283582089,4.0,1782.0,0.22446689113355783
89,2020-07-10,2,290,0,0.6896551724137931,6.0,1777.0,0.3376477208778841
89,2020-07-11,5,154,0,3.2467532467532463,11.0,1665.0,0.6606606606606606
89,2020-07-12,1,63,0,1.5873015873015872,11.0,1669.0,0.659077291791492
89,2020-07-13,0,260,0,0.0,11.0,1651.0,0.6662628709872804
89,2020-07-14,1,64,0,1.5625,10.0,1411.0,0.7087172218284904
89,2020-07-15,3,284,0,1.056338028169014,13.0,1383.0,0.9399855386840202
89,2020-07-16,2,481,0,0.4158004158004158,14.0,1596.0,0.8771929824561403
89,2020-07-17,2,373,0,0.5361930294906166,14.0,1679.0,0.8338296605122096
89,2020-07-18,0,237,0,0.0,9.0,1762.0,0.5107832009080591
89,2020-07-19,0,61,0,0.0,8.0,1760.0,0.45454545454545453
89,2020-07-20,2,354,0,0.5649717514124294,10.0,1854.0,0.5393743257820928
89,2020-07-21,2,317,0,0.6309148264984227,11.0,2107.0,0.5220692928334125
89,2020-07-22,0,276,0,0.0,8.0,2099.0,0.38113387327298714
89,2020-07-23,5,377,0,1.3262599469496021,11.0,1995.0,0.5513784461152882
89,2020-07-24,3,384,0,0.78125,12.0,2006.0,0.5982053838484547
89,2020-07-25,1,226,0,0.4424778761061947,13.0,1995.0,0.6516290726817042
89,2020-07-26,3,49,0,6.122448979591836,16.0,1983.0,0.8068582955118508
89,2020-07-27,4,381,0,1.0498687664041995,18.0,2010.0,0.8955223880597015
89,2020-07-28,2,483,0,0.4140786749482402,18.0,2176.0,0.8272058823529412
89,2020-07-29,5,365,0,1.36986301369863,23.0,2265.0,1.0154525386313467
89,2020-07-30,2,393,0,0.5089058524173028,20.0,2281.0,0.8768084173608066
89,2020-07-31,3,365,0,0.821917808219178,20.0,2262.0,0.8841732979664014
89,2020-08-01,1,211,0,0.47393364928909953,20.0,2247.0,0.8900756564307966
89,2020-08-02,0,57,0,0.0,17.0,2255.0,0.753880266075388
89,2020-08-03,4,354,0,1.1299435028248588,17.0,2228.0,0.763016157989228
89,2020-08-04,4,350,0,1.1428571428571428,19.0,2095.0,0.9069212410501194
89,2020-08-05,6,312,0,1.9230769230769231,20.0,2042.0,0.9794319294809012
89,2020-08-06,8,355,0,2.2535211267605635,26.0,2004.0,1.2974051896207583
89,2020-08-07,2,321,0,0.6230529595015576,25.0,1960.0,1.2755102040816326
89,2020-08-08,1,202,0,0.49504950495049505,25.0,1951.0,1.2813941568426448
89,2020-08-09,0,57,0,0.0,25.0,1951.0,1.2813941568426448
89,2020-08-10,2,340,0,0.5882352941176471,23.0,1937.0,1.1874032008260196
89,2020-08-11,3,358,0,0.8379888268156425,22.0,1945.0,1.1311053984575836
89,2020-08-12,5,338,0,1.4792899408284024,21.0,1971.0,1.06544901065449
89,2020-08-13,5,380,0,1.3157894736842104,18.0,1996.0,0.9018036072144289
89,2020-08-14,4,416,0,0.9615384615384616,20.0,2091.0,0.9564801530368245
89,2020-08-15,3,107,0,2.803738317757009,22.0,1996.0,1.1022044088176353
89,2020-08-16,1,72,0,1.3888888888888888,23.0,2011.0,1.1437095972153157
89,2020-08-17,8,526,0,1.520912547528517,29.0,2197.0,1.3199817933545746
89,2020-08-18,11,485,0,2.268041237113402,37.0,2324.0,1.5920826161790018
89,2020-08-19,4,471,0,0.8492569002123143,36.0,2457.0,1.465201465201465
89,2020-08-20,11,461,0,2.386117136659436,42.0,2538.0,1.6548463356973995
89,2020-08-21,13,590,0,2.2033898305084745,51.0,2712.0,1.8805309734513276
89,2020-08-22,8,405,0,1.9753086419753085,56.0,3010.0,1.8604651162790697
89,2020-08-23,8,81,0,9.876543209876543,63.0,3019.0,2.0867837032129843
89,2020-08-24,17,667,0,2.548725637181409,72.0,3160.0,2.278481012658228
89,2020-08-25,16,570,0,2.807017543859649,77.0,3245.0,2.3728813559322033
89,2020-08-26,25,640,0,3.90625,98.0,3414.0,2.870533099004101
89,2020-08-27,14,743,0,1.8842530282637955,101.0,3696.0,2.732683982683983
89,2020-08-28,26,694,0,3.7463976945244957,114.0,3800.0,3.0
89,2020-08-29,9,529,0,1.7013232514177694,115.0,3924.0,2.9306829765545364
89,2020-08-30,1,83,0,1.2048192771084338,108.0,3926.0,2.750891492613347
89,2020-08-31,36,1009,0,3.5678889990089195,127.0,4268.0,2.9756326148078727
89,2020-09-01,16,583,0,2.7444253859348198,127.0,4281.0,2.9665965895818736
89,2020-09-02,12,565,0,2.1238938053097343,114.0,4206.0,2.710413694721826
89,2020-09-03,19,681,0,2.7900146842878124,119.0,4144.0,2.871621621621622
89,2020-09-04,13,724,0,1.7955801104972375,106.0,4174.0,2.539530426449449
89,2020-09-05,2,357,0,0.5602240896358543,99.0,4002.0,2.47376311844078
89,2020-09-06,2,139,0,1.4388489208633095,100.0,4058.0,2.464268112370626
89,2020-09-07,20,787,0,2.5412960609911055,84.0,3836.0,2.18978102189781
89,2020-09-08,15,737,0,2.03527815468114,83.0,3990.0,2.080200501253133
89,2020-09-09,15,829,0,1.8094089264173705,86.0,4254.0,2.0216267042783262
89,2020-09-10,28,915,0,3.060109289617486,95.0,4488.0,2.1167557932263814
89,2020-09-11,42,943,0,4.453870625662779,124.0,4707.0,2.6343743360951777
89,2020-09-12,16,494,0,3.2388663967611335,138.0,4844.0,2.8488852188274154
89,2020-09-13,4,85,0,4.705882352941177,140.0,4790.0,2.9227557411273484
89,2020-09-14,38,879,0,4.323094425483505,158.0,4882.0,3.2363785333879553
89,2020-09-15,31,830,0,3.734939759036145,174.0,4975.0,3.4974874371859297
