jour,Département,Hospitalisations,Réanimations
2020-06-21,Territoire de Belfort,27,1
2020-06-22,Côte-d'Or,24,2
2020-06-22,Doubs,21,2
2020-06-22,Jura,11,0
2020-06-22,Nièvre,12,1
2020-06-22,Haute-Saône,19,0
2020-06-22,Saône-et-Loire,34,4
2020-06-22,Yonne,22,1
2020-06-22,Territoire de Belfort,28,2
2020-06-23,Côte-d'Or,25,2
2020-06-23,Doubs,19,2
2020-06-23,Jura,12,0
2020-06-23,Nièvre,12,1
2020-06-23,Haute-Saône,19,0
2020-06-23,Saône-et-Loire,28,5
2020-06-23,Yonne,23,1
2020-06-23,Territoire de Belfort,29,2
2020-06-24,Côte-d'Or,24,2
2020-06-24,Doubs,18,2
2020-06-24,Jura,13,0
2020-06-24,Nièvre,9,1
2020-06-24,Haute-Saône,19,0
2020-06-24,Saône-et-Loire,27,5
2020-06-24,Yonne,24,1
2020-06-24,Territoire de Belfort,28,2
2020-06-25,Côte-d'Or,23,2
2020-06-25,Doubs,18,2
2020-06-25,Jura,13,0
2020-06-25,Nièvre,9,1
2020-06-25,Haute-Saône,19,0
2020-06-25,Saône-et-Loire,27,5
2020-06-25,Yonne,23,1
2020-06-25,Territoire de Belfort,25,1
2020-06-26,Côte-d'Or,23,2
2020-06-26,Doubs,19,2
2020-06-26,Jura,13,0
2020-06-26,Nièvre,8,1
2020-06-26,Haute-Saône,19,0
2020-06-26,Saône-et-Loire,28,5
2020-06-26,Yonne,23,1
2020-06-26,Territoire de Belfort,25,1
2020-06-27,Côte-d'Or,24,2
2020-06-27,Doubs,19,2
2020-06-27,Jura,15,1
2020-06-27,Nièvre,8,1
2020-06-27,Haute-Saône,19,0
2020-06-27,Saône-et-Loire,28,5
2020-06-27,Yonne,24,1
2020-06-27,Territoire de Belfort,24,1
2020-06-28,Côte-d'Or,25,2
2020-06-28,Doubs,19,2
2020-06-28,Jura,15,1
2020-06-28,Nièvre,8,1
2020-06-28,Haute-Saône,19,0
2020-06-28,Saône-et-Loire,28,5
2020-06-28,Yonne,24,1
2020-06-28,Territoire de Belfort,23,1
2020-06-29,Côte-d'Or,24,2
2020-06-29,Doubs,18,2
2020-06-29,Jura,15,1
2020-06-29,Nièvre,8,1
2020-06-29,Haute-Saône,19,0
2020-06-29,Saône-et-Loire,29,4
2020-06-29,Yonne,27,1
2020-06-29,Territoire de Belfort,22,1
2020-06-30,Côte-d'Or,24,2
2020-06-30,Doubs,17,2
2020-06-30,Jura,15,1
2020-06-30,Nièvre,8,1
2020-06-30,Haute-Saône,18,0
2020-06-30,Saône-et-Loire,28,4
2020-06-30,Yonne,26,1
2020-06-30,Territoire de Belfort,11,0
2020-07-01,Côte-d'Or,18,1
2020-07-01,Doubs,17,2
2020-07-01,Jura,15,1
2020-07-01,Nièvre,7,1
2020-07-01,Haute-Saône,18,0
2020-07-01,Saône-et-Loire,25,3
2020-07-01,Yonne,22,1
2020-07-01,Territoire de Belfort,10,0
2020-07-02,Côte-d'Or,18,1
2020-07-02,Doubs,16,2
2020-07-02,Jura,6,0
2020-07-02,Nièvre,7,1
2020-07-02,Haute-Saône,18,0
2020-07-02,Saône-et-Loire,24,2
2020-07-02,Yonne,22,1
2020-07-02,Territoire de Belfort,10,0
2020-07-03,Côte-d'Or,12,1
2020-07-03,Doubs,10,0
2020-07-03,Jura,6,0
2020-07-03,Nièvre,8,1
2020-07-03,Haute-Saône,18,0
2020-07-03,Saône-et-Loire,24,2
2020-07-03,Yonne,22,1
2020-07-03,Territoire de Belfort,10,0
2020-07-04,Côte-d'Or,11,1
2020-07-04,Doubs,10,0
2020-07-04,Jura,6,0
2020-07-04,Nièvre,8,1
2020-07-04,Haute-Saône,18,0
2020-07-04,Saône-et-Loire,24,2
2020-07-04,Yonne,22,1
2020-07-04,Territoire de Belfort,10,0
2020-07-05,Côte-d'Or,11,1
2020-07-05,Doubs,10,0
2020-07-05,Jura,6,0
2020-07-05,Nièvre,8,1
2020-07-05,Haute-Saône,18,0
2020-07-05,Saône-et-Loire,24,2
2020-07-05,Yonne,22,1
2020-07-05,Territoire de Belfort,10,0
2020-07-06,Côte-d'Or,8,1
2020-07-06,Doubs,10,0
2020-07-06,Jura,6,0
2020-07-06,Nièvre,8,1
2020-07-06,Haute-Saône,18,0
2020-07-06,Saône-et-Loire,24,2
2020-07-06,Yonne,24,1
2020-07-06,Territoire de Belfort,11,0
2020-07-07,Côte-d'Or,6,1
2020-07-07,Doubs,12,0
2020-07-07,Jura,5,0
2020-07-07,Nièvre,8,1
2020-07-07,Haute-Saône,15,0
2020-07-07,Saône-et-Loire,24,2
2020-07-07,Yonne,24,2
2020-07-07,Territoire de Belfort,11,0
2020-07-08,Côte-d'Or,7,1
2020-07-08,Doubs,12,0
2020-07-08,Jura,5,0
2020-07-08,Nièvre,7,1
2020-07-08,Haute-Saône,15,0
2020-07-08,Saône-et-Loire,23,3
2020-07-08,Yonne,22,2
2020-07-08,Territoire de Belfort,11,0
2020-07-09,Côte-d'Or,7,1
2020-07-09,Doubs,12,0
2020-07-09,Jura,5,0
2020-07-09,Nièvre,7,1
2020-07-09,Haute-Saône,15,0
2020-07-09,Saône-et-Loire,14,2
2020-07-09,Yonne,19,2
2020-07-09,Territoire de Belfort,7,0
2020-07-10,Côte-d'Or,7,1
2020-07-10,Doubs,11,0
2020-07-10,Jura,5,0
2020-07-10,Nièvre,7,1
2020-07-10,Haute-Saône,15,0
2020-07-10,Saône-et-Loire,15,2
2020-07-10,Yonne,19,2
2020-07-10,Territoire de Belfort,7,0
2020-07-11,Côte-d'Or,10,1
2020-07-11,Doubs,11,0
2020-07-11,Jura,4,0
2020-07-11,Nièvre,7,1
2020-07-11,Haute-Saône,15,0
2020-07-11,Saône-et-Loire,17,4
2020-07-11,Yonne,19,2
2020-07-11,Territoire de Belfort,7,0
2020-07-12,Côte-d'Or,10,1
2020-07-12,Doubs,11,0
2020-07-12,Jura,4,0
2020-07-12,Nièvre,7,1
2020-07-12,Haute-Saône,15,0
2020-07-12,Saône-et-Loire,17,4
2020-07-12,Yonne,19,2
2020-07-12,Territoire de Belfort,7,0
2020-07-13,Côte-d'Or,10,1
2020-07-13,Doubs,11,0
2020-07-13,Jura,4,1
2020-07-13,Nièvre,7,1
2020-07-13,Haute-Saône,15,0
2020-07-13,Saône-et-Loire,19,4
2020-07-13,Yonne,19,1
2020-07-13,Territoire de Belfort,7,0
2020-07-14,Côte-d'Or,10,1
2020-07-14,Doubs,11,0
2020-07-14,Jura,4,1
2020-07-14,Nièvre,7,1
2020-07-14,Haute-Saône,15,0
2020-07-14,Saône-et-Loire,19,4
2020-07-14,Yonne,18,1
2020-07-14,Territoire de Belfort,7,0
2020-07-15,Côte-d'Or,9,1
2020-07-15,Doubs,11,0
2020-07-15,Jura,5,1
2020-07-15,Nièvre,8,1
2020-07-15,Haute-Saône,15,0
2020-07-15,Saône-et-Loire,19,4
2020-07-15,Yonne,18,2
2020-07-15,Territoire de Belfort,4,0
2020-07-16,Côte-d'Or,9,2
2020-07-16,Doubs,4,0
2020-07-16,Jura,5,1
2020-07-16,Nièvre,9,1
2020-07-16,Haute-Saône,15,0
2020-07-16,Saône-et-Loire,20,4
2020-07-16,Yonne,18,2
2020-07-16,Territoire de Belfort,4,0
2020-07-17,Côte-d'Or,9,2
2020-07-17,Doubs,4,0
2020-07-17,Jura,5,1
2020-07-17,Nièvre,8,0
2020-07-17,Haute-Saône,15,0
2020-07-17,Saône-et-Loire,16,2
2020-07-17,Yonne,19,2
2020-07-17,Territoire de Belfort,4,0
2020-07-18,Côte-d'Or,9,2
2020-07-18,Doubs,4,0
2020-07-18,Jura,4,1
2020-07-18,Nièvre,7,0
2020-07-18,Haute-Saône,15,0
2020-07-18,Saône-et-Loire,13,1
2020-07-18,Yonne,19,2
2020-07-18,Territoire de Belfort,4,0
2020-07-19,Côte-d'Or,9,2
2020-07-19,Doubs,4,0
2020-07-19,Jura,4,1
2020-07-19,Nièvre,7,0
2020-07-19,Haute-Saône,15,0
2020-07-19,Saône-et-Loire,13,1
2020-07-19,Yonne,19,2
2020-07-19,Territoire de Belfort,4,0
2020-07-20,Côte-d'Or,8,2
2020-07-20,Doubs,4,0
2020-07-20,Jura,4,1
2020-07-20,Nièvre,6,0
2020-07-20,Haute-Saône,14,0
2020-07-20,Saône-et-Loire,14,1
2020-07-20,Yonne,20,2
2020-07-20,Territoire de Belfort,4,0
2020-07-21,Côte-d'Or,6,2
2020-07-21,Doubs,4,0
2020-07-21,Jura,3,1
2020-07-21,Nièvre,2,0
2020-07-21,Haute-Saône,14,0
2020-07-21,Saône-et-Loire,11,1
2020-07-21,Yonne,15,2
2020-07-21,Territoire de Belfort,4,0
2020-07-22,Côte-d'Or,6,2
2020-07-22,Doubs,3,0
2020-07-22,Jura,3,1
2020-07-22,Nièvre,2,0
2020-07-22,Haute-Saône,14,0
2020-07-22,Saône-et-Loire,10,1
2020-07-22,Yonne,16,2
2020-07-22,Territoire de Belfort,1,0
2020-07-23,Côte-d'Or,6,2
2020-07-23,Doubs,2,0
2020-07-23,Jura,2,1
2020-07-23,Nièvre,2,0
2020-07-23,Haute-Saône,3,0
2020-07-23,Saône-et-Loire,8,1
2020-07-23,Yonne,19,2
2020-07-23,Territoire de Belfort,0,0
2020-07-24,Côte-d'Or,6,2
2020-07-24,Doubs,1,0
2020-07-24,Jura,2,1
2020-07-24,Nièvre,0,0
2020-07-24,Haute-Saône,1,0
2020-07-24,Saône-et-Loire,8,1
2020-07-24,Yonne,18,2
2020-07-24,Territoire de Belfort,0,0
2020-07-25,Côte-d'Or,7,2
2020-07-25,Doubs,1,0
2020-07-25,Jura,2,1
2020-07-25,Nièvre,0,0
2020-07-25,Haute-Saône,0,0
2020-07-25,Saône-et-Loire,9,1
2020-07-25,Yonne,15,2
2020-07-25,Territoire de Belfort,0,0
2020-07-26,Côte-d'Or,7,2
2020-07-26,Doubs,1,0
2020-07-26,Jura,2,1
2020-07-26,Nièvre,0,0
2020-07-26,Haute-Saône,0,0
2020-07-26,Saône-et-Loire,9,1
2020-07-26,Yonne,15,2
2020-07-26,Territoire de Belfort,0,0
2020-07-27,Côte-d'Or,6,2
2020-07-27,Doubs,1,0
2020-07-27,Jura,2,1
2020-07-27,Nièvre,0,0
2020-07-27,Haute-Saône,0,0
2020-07-27,Saône-et-Loire,9,1
2020-07-27,Yonne,15,2
2020-07-27,Territoire de Belfort,0,0
2020-07-28,Côte-d'Or,6,1
2020-07-28,Doubs,1,0
2020-07-28,Jura,1,0
2020-07-28,Nièvre,0,0
2020-07-28,Haute-Saône,0,0
2020-07-28,Saône-et-Loire,5,1
2020-07-28,Yonne,15,2
2020-07-28,Territoire de Belfort,0,0
2020-07-29,Côte-d'Or,5,1
2020-07-29,Doubs,1,0
2020-07-29,Jura,1,0
2020-07-29,Nièvre,0,0
2020-07-29,Haute-Saône,0,0
2020-07-29,Saône-et-Loire,3,1
2020-07-29,Yonne,13,2
2020-07-29,Territoire de Belfort,0,0
2020-07-30,Côte-d'Or,3,0
2020-07-30,Doubs,2,0
2020-07-30,Jura,1,0
2020-07-30,Nièvre,0,0
2020-07-30,Haute-Saône,0,0
2020-07-30,Saône-et-Loire,2,1
2020-07-30,Yonne,12,2
2020-07-30,Territoire de Belfort,2,0
2020-07-31,Côte-d'Or,3,0
2020-07-31,Doubs,2,0
2020-07-31,Jura,1,0
2020-07-31,Nièvre,0,0
2020-07-31,Haute-Saône,0,0
2020-07-31,Saône-et-Loire,2,1
2020-07-31,Yonne,12,3
2020-07-31,Territoire de Belfort,3,0
2020-08-01,Côte-d'Or,3,0
2020-08-01,Doubs,2,0
2020-08-01,Jura,1,0
2020-08-01,Nièvre,0,0
2020-08-01,Haute-Saône,0,0
2020-08-01,Saône-et-Loire,2,1
2020-08-01,Yonne,12,3
2020-08-01,Territoire de Belfort,3,0
2020-08-02,Côte-d'Or,3,0
2020-08-02,Doubs,2,0
2020-08-02,Jura,1,0
2020-08-02,Nièvre,0,0
2020-08-02,Haute-Saône,0,0
2020-08-02,Saône-et-Loire,2,1
2020-08-02,Yonne,12,3
2020-08-02,Territoire de Belfort,3,0
2020-08-03,Côte-d'Or,3,0
2020-08-03,Doubs,1,0
2020-08-03,Jura,1,0
2020-08-03,Nièvre,0,0
2020-08-03,Haute-Saône,0,0
2020-08-03,Saône-et-Loire,4,1
2020-08-03,Yonne,9,3
2020-08-03,Territoire de Belfort,3,0
2020-08-04,Côte-d'Or,3,0
2020-08-04,Doubs,1,0
2020-08-04,Jura,1,0
2020-08-04,Nièvre,0,0
2020-08-04,Haute-Saône,0,0
2020-08-04,Saône-et-Loire,4,1
2020-08-04,Yonne,9,3
2020-08-04,Territoire de Belfort,3,0
2020-08-05,Côte-d'Or,2,0
2020-08-05,Doubs,1,0
2020-08-05,Jura,1,0
2020-08-05,Nièvre,0,0
2020-08-05,Haute-Saône,0,0
2020-08-05,Saône-et-Loire,3,1
2020-08-05,Yonne,10,3
2020-08-05,Territoire de Belfort,4,0
2020-08-06,Côte-d'Or,2,0
2020-08-06,Doubs,1,0
2020-08-06,Jura,0,0
2020-08-06,Nièvre,0,0
2020-08-06,Haute-Saône,0,0
2020-08-06,Saône-et-Loire,3,1
2020-08-06,Yonne,14,3
2020-08-06,Territoire de Belfort,4,0
2020-08-07,Côte-d'Or,2,0
2020-08-07,Doubs,1,0
2020-08-07,Jura,0,0
2020-08-07,Nièvre,0,0
2020-08-07,Haute-Saône,0,0
2020-08-07,Saône-et-Loire,3,1
2020-08-07,Yonne,14,3
2020-08-07,Territoire de Belfort,4,0
2020-08-08,Côte-d'Or,2,0
2020-08-08,Doubs,1,0
2020-08-08,Jura,0,0
2020-08-08,Nièvre,0,0
2020-08-08,Haute-Saône,0,0
2020-08-08,Saône-et-Loire,3,1
2020-08-08,Yonne,13,3
2020-08-08,Territoire de Belfort,4,0
2020-08-09,Côte-d'Or,2,0
2020-08-09,Doubs,1,0
2020-08-09,Jura,0,0
2020-08-09,Nièvre,0,0
2020-08-09,Haute-Saône,0,0
2020-08-09,Saône-et-Loire,3,1
2020-08-09,Yonne,13,3
2020-08-09,Territoire de Belfort,4,0
2020-08-10,Côte-d'Or,2,0
2020-08-10,Doubs,1,0
2020-08-10,Jura,0,0
2020-08-10,Nièvre,0,0
2020-08-10,Haute-Saône,0,0
2020-08-10,Saône-et-Loire,3,1
2020-08-10,Yonne,15,2
2020-08-10,Territoire de Belfort,3,0
2020-08-11,Côte-d'Or,2,0
2020-08-11,Doubs,1,0
2020-08-11,Jura,0,0
2020-08-11,Nièvre,0,0
2020-08-11,Haute-Saône,0,0
2020-08-11,Saône-et-Loire,4,1
2020-08-11,Yonne,15,2
2020-08-11,Territoire de Belfort,3,0
2020-08-12,Côte-d'Or,2,0
2020-08-12,Doubs,1,0
2020-08-12,Jura,0,0
2020-08-12,Nièvre,0,0
2020-08-12,Haute-Saône,0,0
2020-08-12,Saône-et-Loire,4,1
2020-08-12,Yonne,15,2
2020-08-12,Territoire de Belfort,5,1
2020-08-13,Côte-d'Or,2,0
2020-08-13,Doubs,1,0
2020-08-13,Jura,0,0
2020-08-13,Nièvre,0,0
2020-08-13,Haute-Saône,0,0
2020-08-13,Saône-et-Loire,5,1
2020-08-13,Yonne,15,2
2020-08-13,Territoire de Belfort,5,1
2020-08-14,Côte-d'Or,2,0
2020-08-14,Doubs,1,0
2020-08-14,Jura,0,0
2020-08-14,Nièvre,0,0
2020-08-14,Haute-Saône,0,0
2020-08-14,Saône-et-Loire,5,1
2020-08-14,Yonne,16,0
2020-08-14,Territoire de Belfort,5,1
2020-08-15,Côte-d'Or,2,0
2020-08-15,Doubs,2,0
2020-08-15,Jura,0,0
2020-08-15,Nièvre,0,0
2020-08-15,Haute-Saône,0,0
2020-08-15,Saône-et-Loire,6,1
2020-08-15,Yonne,16,0
2020-08-15,Territoire de Belfort,5,1
2020-08-16,Côte-d'Or,2,0
2020-08-16,Doubs,2,0
2020-08-16,Jura,0,0
2020-08-16,Nièvre,0,0
2020-08-16,Haute-Saône,0,0
2020-08-16,Saône-et-Loire,6,1
2020-08-16,Yonne,16,0
2020-08-16,Territoire de Belfort,5,1
2020-08-17,Côte-d'Or,3,0
2020-08-17,Doubs,3,0
2020-08-17,Jura,0,0
2020-08-17,Nièvre,0,0
2020-08-17,Haute-Saône,0,0
2020-08-17,Saône-et-Loire,6,1
2020-08-17,Yonne,17,0
2020-08-17,Territoire de Belfort,4,1
2020-08-18,Côte-d'Or,3,0
2020-08-18,Doubs,3,0
2020-08-18,Jura,0,0
2020-08-18,Nièvre,0,0
2020-08-18,Haute-Saône,0,0
2020-08-18,Saône-et-Loire,6,1
2020-08-18,Yonne,14,0
2020-08-18,Territoire de Belfort,3,1
2020-08-19,Côte-d'Or,2,0
2020-08-19,Doubs,3,0
2020-08-19,Jura,0,0
2020-08-19,Nièvre,0,0
2020-08-19,Haute-Saône,0,0
2020-08-19,Saône-et-Loire,3,1
2020-08-19,Yonne,14,0
2020-08-19,Territoire de Belfort,3,1
2020-08-20,Côte-d'Or,3,1
2020-08-20,Doubs,1,0
2020-08-20,Jura,0,0
2020-08-20,Nièvre,0,0
2020-08-20,Haute-Saône,0,0
2020-08-20,Saône-et-Loire,4,1
2020-08-20,Yonne,13,1
2020-08-20,Territoire de Belfort,2,1
2020-08-21,Côte-d'Or,3,1
2020-08-21,Doubs,1,0
2020-08-21,Jura,0,0
2020-08-21,Nièvre,0,0
2020-08-21,Haute-Saône,0,0
2020-08-21,Saône-et-Loire,2,1
2020-08-21,Yonne,10,1
2020-08-21,Territoire de Belfort,2,1
2020-08-22,Côte-d'Or,3,1
2020-08-22,Doubs,2,1
2020-08-22,Jura,0,0
2020-08-22,Nièvre,0,0
2020-08-22,Haute-Saône,0,0
2020-08-22,Saône-et-Loire,2,1
2020-08-22,Yonne,10,1
2020-08-22,Territoire de Belfort,2,1
2020-08-23,Côte-d'Or,3,1
2020-08-23,Doubs,2,1
2020-08-23,Jura,0,0
2020-08-23,Nièvre,0,0
2020-08-23,Haute-Saône,0,0
2020-08-23,Saône-et-Loire,3,1
2020-08-23,Yonne,10,1
2020-08-23,Territoire de Belfort,2,1
2020-08-24,Côte-d'Or,4,1
2020-08-24,Doubs,3,1
2020-08-24,Jura,0,0
2020-08-24,Nièvre,0,0
2020-08-24,Haute-Saône,0,0
2020-08-24,Saône-et-Loire,3,1
2020-08-24,Yonne,10,1
2020-08-24,Territoire de Belfort,2,1
2020-08-25,Côte-d'Or,4,1
2020-08-25,Doubs,3,1
2020-08-25,Jura,0,0
2020-08-25,Nièvre,1,0
2020-08-25,Haute-Saône,0,0
2020-08-25,Saône-et-Loire,3,1
2020-08-25,Yonne,7,1
2020-08-25,Territoire de Belfort,2,1
2020-08-26,Côte-d'Or,2,1
2020-08-26,Doubs,3,1
2020-08-26,Jura,1,0
2020-08-26,Nièvre,1,0
2020-08-26,Haute-Saône,0,0
2020-08-26,Saône-et-Loire,3,1
2020-08-26,Yonne,6,1
2020-08-26,Territoire de Belfort,2,0
2020-08-27,Côte-d'Or,4,1
2020-08-27,Doubs,4,1
2020-08-27,Jura,1,0
2020-08-27,Nièvre,1,0
2020-08-27,Haute-Saône,0,0
2020-08-27,Saône-et-Loire,3,1
2020-08-27,Yonne,6,1
2020-08-27,Territoire de Belfort,2,0
2020-08-28,Côte-d'Or,4,1
2020-08-28,Doubs,4,1
2020-08-28,Jura,2,0
2020-08-28,Nièvre,1,0
2020-08-28,Haute-Saône,0,0
2020-08-28,Saône-et-Loire,5,1
2020-08-28,Yonne,7,1
2020-08-28,Territoire de Belfort,3,0
2020-08-29,Côte-d'Or,4,1
2020-08-29,Doubs,4,1
2020-08-29,Jura,2,0
2020-08-29,Nièvre,1,0
2020-08-29,Haute-Saône,0,0
2020-08-29,Saône-et-Loire,5,1
2020-08-29,Yonne,7,1
2020-08-29,Territoire de Belfort,3,0
2020-08-30,Côte-d'Or,4,1
2020-08-30,Doubs,4,1
2020-08-30,Jura,2,0
2020-08-30,Nièvre,1,0
2020-08-30,Haute-Saône,0,0
2020-08-30,Saône-et-Loire,5,1
2020-08-30,Yonne,7,1
2020-08-30,Territoire de Belfort,3,0
2020-08-31,Côte-d'Or,4,1
2020-08-31,Doubs,4,1
2020-08-31,Jura,2,0
2020-08-31,Nièvre,1,0
2020-08-31,Haute-Saône,0,0
2020-08-31,Saône-et-Loire,5,2
2020-08-31,Yonne,7,1
2020-08-31,Territoire de Belfort,3,0
2020-09-01,Côte-d'Or,5,1
2020-09-01,Doubs,4,1
2020-09-01,Jura,2,0
2020-09-01,Nièvre,1,0
2020-09-01,Haute-Saône,0,0
2020-09-01,Saône-et-Loire,4,2
2020-09-01,Yonne,5,1
2020-09-01,Territoire de Belfort,3,1
2020-09-02,Côte-d'Or,7,1
2020-09-02,Doubs,3,1
2020-09-02,Jura,2,0
2020-09-02,Nièvre,2,0
2020-09-02,Haute-Saône,0,0
2020-09-02,Saône-et-Loire,6,3
2020-09-02,Yonne,8,1
2020-09-02,Territoire de Belfort,2,1
2020-09-03,Côte-d'Or,8,2
2020-09-03,Doubs,3,1
2020-09-03,Jura,2,0
2020-09-03,Nièvre,2,0
2020-09-03,Haute-Saône,0,0
2020-09-03,Saône-et-Loire,5,3
2020-09-03,Yonne,8,1
2020-09-03,Territoire de Belfort,1,1
2020-09-04,Côte-d'Or,9,2
2020-09-04,Doubs,3,1
2020-09-04,Jura,2,0
2020-09-04,Nièvre,3,0
2020-09-04,Haute-Saône,0,0
2020-09-04,Saône-et-Loire,5,3
2020-09-04,Yonne,7,1
2020-09-04,Territoire de Belfort,3,1
2020-09-05,Côte-d'Or,9,2
2020-09-05,Doubs,3,1
2020-09-05,Jura,2,0
2020-09-05,Nièvre,3,0
2020-09-05,Haute-Saône,2,0
2020-09-05,Saône-et-Loire,5,3
2020-09-05,Yonne,8,1
2020-09-05,Territoire de Belfort,3,1
2020-09-06,Côte-d'Or,9,2
2020-09-06,Doubs,3,1
2020-09-06,Jura,2,0
2020-09-06,Nièvre,3,0
2020-09-06,Haute-Saône,2,0
2020-09-06,Saône-et-Loire,5,3
2020-09-06,Yonne,8,1
2020-09-06,Territoire de Belfort,3,1
2020-09-07,Côte-d'Or,8,2
2020-09-07,Doubs,4,2
2020-09-07,Jura,2,0
2020-09-07,Nièvre,4,0
2020-09-07,Haute-Saône,2,0
2020-09-07,Saône-et-Loire,8,3
2020-09-07,Yonne,8,1
2020-09-07,Territoire de Belfort,1,1
2020-09-08,Côte-d'Or,8,2
2020-09-08,Doubs,5,2
2020-09-08,Jura,2,0
2020-09-08,Nièvre,4,0
2020-09-08,Haute-Saône,2,0
2020-09-08,Saône-et-Loire,7,3
2020-09-08,Yonne,8,1
2020-09-08,Territoire de Belfort,2,0
2020-09-09,Côte-d'Or,7,2
2020-09-09,Doubs,6,2
2020-09-09,Jura,2,0
2020-09-09,Nièvre,4,0
2020-09-09,Haute-Saône,2,0
2020-09-09,Saône-et-Loire,8,1
2020-09-09,Yonne,8,1
2020-09-09,Territoire de Belfort,2,0
2020-09-10,Côte-d'Or,7,3
2020-09-10,Doubs,7,2
2020-09-10,Jura,2,0
2020-09-10,Nièvre,4,0
2020-09-10,Haute-Saône,2,0
2020-09-10,Saône-et-Loire,10,0
2020-09-10,Yonne,9,1
2020-09-10,Territoire de Belfort,5,1
2020-09-11,Côte-d'Or,6,3
2020-09-11,Doubs,6,2
2020-09-11,Jura,2,0
2020-09-11,Nièvre,4,0
2020-09-11,Haute-Saône,2,0
2020-09-11,Saône-et-Loire,13,1
2020-09-11,Yonne,8,1
2020-09-11,Territoire de Belfort,5,1
2020-09-12,Côte-d'Or,6,3
2020-09-12,Doubs,6,2
2020-09-12,Jura,2,0
2020-09-12,Nièvre,4,0
2020-09-12,Haute-Saône,2,0
2020-09-12,Saône-et-Loire,15,1
2020-09-12,Yonne,8,1
2020-09-12,Territoire de Belfort,5,1
2020-09-13,Côte-d'Or,6,3
2020-09-13,Doubs,6,2
2020-09-13,Jura,2,0
2020-09-13,Nièvre,4,0
2020-09-13,Haute-Saône,2,0
2020-09-13,Saône-et-Loire,13,1
2020-09-13,Yonne,8,1
2020-09-13,Territoire de Belfort,5,1
2020-09-14,Côte-d'Or,6,3
2020-09-14,Doubs,6,1
2020-09-14,Jura,3,0
2020-09-14,Nièvre,4,0
2020-09-14,Haute-Saône,2,0
2020-09-14,Saône-et-Loire,16,1
2020-09-14,Yonne,10,1
2020-09-14,Territoire de Belfort,3,1
2020-09-15,Côte-d'Or,7,3
2020-09-15,Doubs,6,1
2020-09-15,Jura,3,0
2020-09-15,Nièvre,4,0
2020-09-15,Haute-Saône,2,0
2020-09-15,Saône-et-Loire,18,1
2020-09-15,Yonne,10,1
2020-09-15,Territoire de Belfort,5,2
2020-09-16,Côte-d'Or,7,3
2020-09-16,Doubs,6,1
2020-09-16,Jura,4,0
2020-09-16,Nièvre,5,0
2020-09-16,Haute-Saône,2,0
2020-09-16,Saône-et-Loire,28,3
2020-09-16,Yonne,8,1
2020-09-16,Territoire de Belfort,5,2
2020-09-17,Côte-d'Or,12,3
2020-09-17,Doubs,6,0
2020-09-17,Jura,4,0
2020-09-17,Nièvre,6,0
2020-09-17,Haute-Saône,2,0
2020-09-17,Saône-et-Loire,28,2
2020-09-17,Yonne,9,1
2020-09-17,Territoire de Belfort,3,2
2020-09-18,Côte-d'Or,11,3
2020-09-18,Doubs,7,0
2020-09-18,Jura,4,0
2020-09-18,Nièvre,6,0
2020-09-18,Haute-Saône,2,0
2020-09-18,Saône-et-Loire,27,2
2020-09-18,Yonne,9,1
2020-09-18,Territoire de Belfort,5,2
2020-09-19,Côte-d'Or,11,3
2020-09-19,Doubs,7,0
2020-09-19,Jura,3,1
2020-09-19,Nièvre,7,0
2020-09-19,Haute-Saône,2,0
2020-09-19,Saône-et-Loire,29,2
2020-09-19,Yonne,9,1
2020-09-19,Territoire de Belfort,5,2
2020-09-20,Côte-d'Or,11,3
2020-09-20,Doubs,7,0
2020-09-20,Jura,3,1
2020-09-20,Nièvre,7,0
2020-09-20,Haute-Saône,2,0
2020-09-20,Saône-et-Loire,31,2
2020-09-20,Yonne,9,1
2020-09-20,Territoire de Belfort,5,2
2020-09-21,Côte-d'Or,13,3
2020-09-21,Doubs,7,0
2020-09-21,Jura,3,1
2020-09-21,Nièvre,7,0
2020-09-21,Haute-Saône,2,0
2020-09-21,Saône-et-Loire,37,2
2020-09-21,Yonne,11,1
2020-09-21,Territoire de Belfort,5,2
2020-09-22,Côte-d'Or,13,3
2020-09-22,Doubs,7,1
2020-09-22,Jura,3,1
2020-09-22,Nièvre,6,0
2020-09-22,Haute-Saône,2,0
2020-09-22,Saône-et-Loire,44,1
2020-09-22,Yonne,14,3
2020-09-22,Territoire de Belfort,3,2
2020-09-23,Côte-d'Or,20,4
2020-09-23,Doubs,7,1
2020-09-23,Jura,5,1
2020-09-23,Nièvre,4,0
2020-09-23,Haute-Saône,2,0
2020-09-23,Saône-et-Loire,46,1
2020-09-23,Yonne,14,3
2020-09-23,Territoire de Belfort,6,3
2020-09-24,Côte-d'Or,20,4
2020-09-24,Doubs,8,2
2020-09-24,Jura,8,1
2020-09-24,Nièvre,4,0
2020-09-24,Haute-Saône,2,0
2020-09-24,Saône-et-Loire,44,1
2020-09-24,Yonne,13,3
2020-09-24,Territoire de Belfort,6,4
2020-09-25,Côte-d'Or,22,4
2020-09-25,Doubs,9,2
2020-09-25,Jura,9,1
2020-09-25,Nièvre,1,1
2020-09-25,Haute-Saône,2,0
2020-09-25,Saône-et-Loire,47,2
2020-09-25,Yonne,14,3
2020-09-25,Territoire de Belfort,6,4
2020-09-26,Côte-d'Or,27,5
2020-09-26,Doubs,11,4
