jour,Département,Nouvelles hospitalisations en 24h,Nouvelles entrées en réanimation en 24h,Nouveaux décès à l'hôpital en 24h,Nouveaux retours à domicile en 24h
2020-04-03,Nièvre,7,0,1,0
2020-04-03,Haute-Saône,10,1,2,4
2020-04-03,Saône-et-Loire,21,3,7,22
2020-04-03,Yonne,16,2,1,10
2020-04-03,Territoire de Belfort,16,1,3,10
2020-04-04,Côte-d'Or,54,7,3,7
2020-04-04,Doubs,22,7,3,17
2020-04-04,Jura,16,2,3,3
2020-04-04,Nièvre,8,0,0,4
2020-04-04,Haute-Saône,9,3,3,6
2020-04-04,Saône-et-Loire,13,2,3,10
2020-04-04,Yonne,8,0,1,6
2020-04-04,Territoire de Belfort,17,1,5,24
2020-04-05,Côte-d'Or,22,2,4,10
2020-04-05,Doubs,21,2,3,10
2020-04-05,Jura,11,0,1,3
2020-04-05,Nièvre,8,3,0,1
2020-04-05,Haute-Saône,7,3,4,1
2020-04-05,Saône-et-Loire,13,0,2,2
2020-04-05,Yonne,0,0,1,0
2020-04-05,Territoire de Belfort,14,2,3,5
2020-04-06,Côte-d'Or,31,14,3,4
2020-04-06,Doubs,7,3,2,7
2020-04-06,Jura,3,2,3,0
2020-04-06,Nièvre,4,0,1,0
2020-04-06,Haute-Saône,9,1,7,2
2020-04-06,Saône-et-Loire,46,3,4,22
2020-04-06,Yonne,12,1,3,6
2020-04-06,Territoire de Belfort,15,0,3,4
2020-04-07,Côte-d'Or,46,6,7,14
2020-04-07,Doubs,24,10,7,9
2020-04-07,Jura,20,3,1,7
2020-04-07,Nièvre,1,0,1,2
2020-04-07,Haute-Saône,16,2,1,12
2020-04-07,Saône-et-Loire,27,4,5,22
2020-04-07,Yonne,5,2,2,11
2020-04-07,Territoire de Belfort,24,2,5,25
2020-04-08,Côte-d'Or,25,2,11,12
2020-04-08,Doubs,21,3,1,20
2020-04-08,Jura,14,1,1,4
2020-04-08,Nièvre,5,1,0,3
2020-04-08,Haute-Saône,7,2,0,3
2020-04-08,Saône-et-Loire,23,5,1,19
2020-04-08,Yonne,11,0,0,10
2020-04-08,Territoire de Belfort,11,0,2,17
2020-04-09,Côte-d'Or,9,0,1,29
2020-04-09,Doubs,15,5,1,15
2020-04-09,Jura,18,2,4,8
2020-04-09,Nièvre,1,0,0,0
2020-04-09,Haute-Saône,10,0,0,6
2020-04-09,Saône-et-Loire,23,3,6,13
2020-04-09,Yonne,1,0,1,3
2020-04-09,Territoire de Belfort,9,0,2,6
2020-04-10,Côte-d'Or,73,7,7,9
2020-04-10,Doubs,11,1,5,15
2020-04-10,Jura,8,4,1,2
2020-04-10,Nièvre,13,2,0,2
2020-04-10,Haute-Saône,5,1,2,7
2020-04-10,Saône-et-Loire,17,2,8,12
2020-04-10,Yonne,16,3,5,13
2020-04-10,Territoire de Belfort,34,0,4,16
2020-04-11,Côte-d'Or,12,0,4,32
2020-04-11,Doubs,13,2,3,14
2020-04-11,Jura,8,0,2,6
2020-04-11,Nièvre,7,0,0,2
2020-04-11,Haute-Saône,0,0,1,2
2020-04-11,Saône-et-Loire,19,1,2,23
2020-04-11,Yonne,10,0,2,11
2020-04-11,Territoire de Belfort,13,0,5,14
2020-04-12,Côte-d'Or,34,1,10,6
2020-04-12,Doubs,47,2,4,16
2020-04-12,Jura,6,1,1,0
2020-04-12,Nièvre,3,1,0,1
2020-04-12,Haute-Saône,1,0,1,2
2020-04-12,Saône-et-Loire,6,3,1,4
2020-04-12,Yonne,4,0,1,0
2020-04-12,Territoire de Belfort,11,1,4,4
2020-04-13,Côte-d'Or,13,3,3,12
2020-04-13,Doubs,5,1,0,5
2020-04-13,Jura,7,2,1,0
2020-04-13,Nièvre,5,2,1,0
2020-04-13,Haute-Saône,1,1,1,0
2020-04-13,Saône-et-Loire,2,2,0,1
2020-04-13,Yonne,1,0,2,0
2020-04-13,Territoire de Belfort,17,2,4,4
2020-04-14,Côte-d'Or,21,0,14,1
2020-04-14,Doubs,39,0,8,9
2020-04-14,Jura,9,1,2,0
2020-04-14,Nièvre,2,0,4,1
2020-04-14,Haute-Saône,12,2,1,2
2020-04-14,Saône-et-Loire,14,0,5,5
2020-04-14,Yonne,18,2,4,5
2020-04-14,Territoire de Belfort,3,0,1,2
2020-04-15,Côte-d'Or,41,7,8,23
2020-04-15,Doubs,6,0,1,13
2020-04-15,Jura,14,1,2,10
2020-04-15,Nièvre,2,1,0,4
2020-04-15,Haute-Saône,14,0,5,18
2020-04-15,Saône-et-Loire,28,1,7,12
2020-04-15,Yonne,11,0,1,15
2020-04-15,Territoire de Belfort,4,0,7,21
2020-04-16,Côte-d'Or,35,5,8,6
2020-04-16,Doubs,7,5,4,12
2020-04-16,Jura,11,1,2,8
2020-04-16,Nièvre,10,1,0,1
2020-04-16,Haute-Saône,6,0,1,5
2020-04-16,Saône-et-Loire,30,1,9,19
2020-04-16,Yonne,14,1,1,2
2020-04-16,Territoire de Belfort,10,2,2,14
2020-04-17,Côte-d'Or,27,0,5,23
2020-04-17,Doubs,8,1,3,14
2020-04-17,Jura,16,2,0,2
2020-04-17,Nièvre,4,0,0,4
2020-04-17,Haute-Saône,5,1,1,3
2020-04-17,Saône-et-Loire,27,1,2,12
2020-04-17,Yonne,10,0,0,3
2020-04-17,Territoire de Belfort,11,0,5,10
2020-04-18,Côte-d'Or,19,4,5,3
2020-04-18,Doubs,3,1,5,22
2020-04-18,Jura,9,2,3,11
2020-04-18,Nièvre,3,2,2,2
2020-04-18,Haute-Saône,2,0,0,0
2020-04-18,Saône-et-Loire,7,2,1,5
2020-04-18,Yonne,1,0,4,4
2020-04-18,Territoire de Belfort,7,1,1,14
2020-04-19,Côte-d'Or,15,6,6,31
2020-04-19,Doubs,5,1,1,6
2020-04-19,Jura,0,0,0,4
2020-04-19,Nièvre,1,1,1,0
2020-04-19,Haute-Saône,0,0,0,0
2020-04-19,Saône-et-Loire,9,3,4,8
2020-04-19,Yonne,7,0,1,1
2020-04-19,Territoire de Belfort,3,1,0,3
2020-04-20,Côte-d'Or,10,1,6,6
2020-04-20,Doubs,5,1,1,1
2020-04-20,Jura,1,0,0,1
2020-04-20,Nièvre,2,0,3,0
2020-04-20,Haute-Saône,10,2,2,13
2020-04-20,Saône-et-Loire,13,1,3,2
