jour,Hospitalisations en cours,Réanimations en cours
2020-12-23,1767,173
2020-12-24,1768,173
2020-12-25,1762,168
2020-12-26,1770,175
2020-12-27,1775,177
2020-12-28,1811,179
2020-12-29,1840,179
2020-12-30,1856,182
2020-12-31,1825,177
2021-01-01,1794,182
2021-01-02,1803,181
2021-01-03,1822,179
2021-01-04,1875,179
2021-01-05,1838,183
2021-01-06,1819,178
2021-01-07,1817,178
2021-01-08,1818,180
2021-01-09,1790,171
2021-01-10,1804,167
2021-01-11,1844,173
2021-01-12,1854,180
2021-01-13,1829,187
2021-01-14,1852,182
2021-01-15,1854,180
2021-01-16,1826,177
2021-01-17,1846,173
2021-01-18,1871,180
2021-01-19,1785,180
2021-01-20,1801,182
2021-01-21,1787,181
2021-01-22,1785,183
2021-01-23,1754,172
2021-01-24,1786,176
2021-01-25,1825,172
2021-01-26,1826,178
2021-01-27,1850,178
2021-01-28,1813,176
2021-01-29,1801,170
2021-01-30,1770,160
2021-01-31,1793,162
